prompt_id,stage,annotator,system_id,run_timestamp,response_path,tool_trace_path,tool_routing,citation_presence,citation_validity,fallback_robustness,asks_questions,evidence_integrity,rag_fidelity_score,citation_relevance_score,source_fit_score,actionability_score,question_quality_score,citation_quality_score,persona_compliance_score,stage_awareness_score,tone_constructive_score,constraint_handling,timeline_guidance,expectation_management,novelty_assessment,evidence_gap_detection,hypothesis_generation,distractor_rejection,experiment_design,scope_feasibility,feasibility_analysis,skills_gap_guidance,domain_mapping,risk_analysis,plan_completeness,resource_estimation,timeline_quality,risk_mitigation,additional_notes
stage_a_01,A,,mentor_manual,2025-10-21T09:52:03.902119Z,evals-for-papers/results/raw_logs/stage_a/stage_a_01.txt,evals-for-papers/results/raw_logs/stage_a/stage_a_01_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage_a_02,A,,mentor_manual,2025-10-21T09:54:50.714616Z,evals-for-papers/results/raw_logs/stage_a/stage_a_02.txt,evals-for-papers/results/raw_logs/stage_a/stage_a_02_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage_a_03,A,,mentor_manual,2025-10-21T09:58:56.493035Z,evals-for-papers/results/raw_logs/stage_a/stage_a_03.txt,evals-for-papers/results/raw_logs/stage_a/stage_a_03_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage_a_04,A,,mentor_manual,2025-10-21T10:02:45.320072Z,evals-for-papers/results/raw_logs/stage_a/stage_a_04.txt,evals-for-papers/results/raw_logs/stage_a/stage_a_04_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage_a_05,A,,mentor_manual,2025-10-21T10:05:31.103941Z,evals-for-papers/results/raw_logs/stage_a/stage_a_05.txt,evals-for-papers/results/raw_logs/stage_a/stage_a_05_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage_a_06,A,,mentor_manual,2025-10-21T10:08:10.511714Z,evals-for-papers/results/raw_logs/stage_a/stage_a_06.txt,evals-for-papers/results/raw_logs/stage_a/stage_a_06_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage_a_07,A,,mentor_manual,2025-10-21T10:13:13.754376Z,evals-for-papers/results/raw_logs/stage_a/stage_a_07.txt,evals-for-papers/results/raw_logs/stage_a/stage_a_07_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage_a_08,A,,mentor_manual,2025-10-21T10:16:13.836016Z,evals-for-papers/results/raw_logs/stage_a/stage_a_08.txt,evals-for-papers/results/raw_logs/stage_a/stage_a_08_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage_a_09,A,,mentor_manual,2025-10-21T10:18:57.875870Z,evals-for-papers/results/raw_logs/stage_a/stage_a_09.txt,evals-for-papers/results/raw_logs/stage_a/stage_a_09_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage_a_10,A,,mentor_manual,2025-10-21T10:21:28.563396Z,evals-for-papers/results/raw_logs/stage_a/stage_a_10.txt,evals-for-papers/results/raw_logs/stage_a/stage_a_10_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage_a_11,A,,mentor_manual,2025-10-21T10:25:45.486760Z,evals-for-papers/results/raw_logs/stage_a/stage_a_11.txt,evals-for-papers/results/raw_logs/stage_a/stage_a_11_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage_a_12,A,,mentor_manual,2025-10-21T10:28:09.458413Z,evals-for-papers/results/raw_logs/stage_a/stage_a_12.txt,evals-for-papers/results/raw_logs/stage_a/stage_a_12_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage_a_13,A,,mentor_manual,2025-10-21T10:32:28.177473Z,evals-for-papers/results/raw_logs/stage_a/stage_a_13.txt,evals-for-papers/results/raw_logs/stage_a/stage_a_13_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage_a_14,A,,mentor_manual,2025-10-21T10:36:55.707964Z,evals-for-papers/results/raw_logs/stage_a/stage_a_14.txt,evals-for-papers/results/raw_logs/stage_a/stage_a_14_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage_a_15,A,,mentor_manual,2025-10-21T10:38:48.868477Z,evals-for-papers/results/raw_logs/stage_a/stage_a_15.txt,evals-for-papers/results/raw_logs/stage_a/stage_a_15_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
