prompt_id,stage,annotator,system_id,run_timestamp,response_path,tool_trace_path,tool_routing,citation_presence,citation_validity,fallback_robustness,asks_questions,evidence_integrity,rag_fidelity_score,citation_relevance_score,source_fit_score,actionability_score,question_quality_score,citation_quality_score,persona_compliance_score,stage_awareness_score,tone_constructive_score,constraint_handling,timeline_guidance,expectation_management,novelty_assessment,evidence_gap_detection,hypothesis_generation,distractor_rejection,experiment_design,scope_feasibility,feasibility_analysis,skills_gap_guidance,domain_mapping,risk_analysis,plan_completeness,resource_estimation,timeline_quality,risk_mitigation,additional_notes
stage_a_01,A,single_turn_oct21,mentor_manual,2025-10-21T11:56:09.678285Z,evals-for-papers/results/raw_logs/stage_a/stage_a_01.txt,evals-for-papers/results/raw_logs/stage_a/stage_a_01_tools.json,0,1,1,0,1,1.0,2.00,2.00,1.67,1.00,0.67,1.60,2.00,2.00,2.00,,,,,,,,,,,,,,,,,,
stage_a_02,A,single_turn_oct21,mentor_manual,2025-10-21T11:58:14.496350Z,evals-for-papers/results/raw_logs/stage_a/stage_a_02.txt,evals-for-papers/results/raw_logs/stage_a/stage_a_02_tools.json,0,1,1,0,0,1.0,1.50,2.00,1.67,0.93,1.33,2.00,2.00,2.00,2.00,,,,,,,,,,,,,,,,,,
stage_a_03,A,single_turn_oct21,mentor_manual,2025-10-21T12:00:50.103045Z,evals-for-papers/results/raw_logs/stage_a/stage_a_03.txt,evals-for-papers/results/raw_logs/stage_a/stage_a_03_tools.json,1,1,1,0,1,0.8333333333333334,0.83,1.33,1.27,1.00,1.33,1.67,2.00,2.00,2.00,,,,,,,,,,,,,,,,,,
stage_a_04,A,single_turn_oct21,mentor_manual,2025-10-21T12:02:51.053764Z,evals-for-papers/results/raw_logs/stage_a/stage_a_04.txt,evals-for-papers/results/raw_logs/stage_a/stage_a_04_tools.json,0,1,1,0,1,1.0,2.00,2.00,2.00,0.87,1.33,1.67,2.00,2.00,2.00,1,,,,,,,,,,,,,,,,,
stage_a_05,A,single_turn_oct21,mentor_manual,2025-10-21T12:04:32.068063Z,evals-for-papers/results/raw_logs/stage_a/stage_a_05.txt,evals-for-papers/results/raw_logs/stage_a/stage_a_05_tools.json,0,1,1,0,1,1.0,2.00,2.00,2.00,1.00,2.00,2.00,2.00,2.00,2.00,,1,,,,,,,,,,,,,,,,
stage_a_06,A,single_turn_oct21,mentor_manual,2025-10-21T12:06:31.289261Z,evals-for-papers/results/raw_logs/stage_a/stage_a_06.txt,evals-for-papers/results/raw_logs/stage_a/stage_a_06_tools.json,1,1,1,0,1,0.6666666666666666,0.67,1.33,1.33,1.00,0.67,1.67,2.00,2.00,2.00,,,1,,,,,,,,,,,,,,,
stage_a_07,A,single_turn_oct21,mentor_manual,2025-10-21T12:08:40.530770Z,evals-for-papers/results/raw_logs/stage_a/stage_a_07.txt,evals-for-papers/results/raw_logs/stage_a/stage_a_07_tools.json,0,1,1,0,0,1.0,2.00,2.00,1.67,1.00,0.67,2.00,2.00,2.00,2.00,1,,,,,,,,,,,,,,,,,
stage_a_08,A,single_turn_oct21,mentor_manual,2025-10-21T12:11:09.604976Z,evals-for-papers/results/raw_logs/stage_a/stage_a_08.txt,evals-for-papers/results/raw_logs/stage_a/stage_a_08_tools.json,0,1,1,0,0,1.0,2.00,2.00,2.00,1.00,0.67,2.00,2.00,2.00,2.00,1,1,,,,,,,,,,,,,,,,
stage_a_09,A,single_turn_oct21,mentor_manual,2025-10-21T12:13:48.487694Z,evals-for-papers/results/raw_logs/stage_a/stage_a_09.txt,evals-for-papers/results/raw_logs/stage_a/stage_a_09_tools.json,1,1,1,0,1,1.0,2.00,2.00,2.00,0.90,1.33,2.00,1.67,2.00,2.00,,,1,,,,,,,,,,,,,,,
stage_a_10,A,single_turn_oct21,mentor_manual,2025-10-21T12:16:16.251935Z,evals-for-papers/results/raw_logs/stage_a/stage_a_10.txt,evals-for-papers/results/raw_logs/stage_a/stage_a_10_tools.json,0,1,1,0,0,1.0,2.00,2.00,2.00,1.00,1.33,1.67,2.00,2.00,2.00,,,,,,,,,,,,,,,0,,,
