prompt_id,stage,annotator,system_id,run_timestamp,response_path,tool_trace_path,tool_routing,citation_presence,citation_validity,fallback_robustness,asks_questions,evidence_integrity,rag_fidelity_score,citation_relevance_score,source_fit_score,actionability_score,question_quality_score,citation_quality_score,persona_compliance_score,stage_awareness_score,tone_constructive_score,constraint_handling,timeline_guidance,expectation_management,novelty_assessment,evidence_gap_detection,hypothesis_generation,distractor_rejection,experiment_design,scope_feasibility,feasibility_analysis,skills_gap_guidance,domain_mapping,risk_analysis,plan_completeness,resource_estimation,timeline_quality,risk_mitigation,additional_notes,student_actionability_score,student_clarity_score,student_constraint_fit_score,student_confidence_gain_score,student_path_ready,student_failure_modes,student_outcome_score
stage_a_01,A,student_judge_pilot,mentor_manual,2025-10-28T09:32:41.942316Z,evals-for-papers/results/raw_logs/stage_a/stage_a_01.txt,evals-for-papers/results/raw_logs/stage_a/stage_a_01_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.87,1.87,1.87,1.80,1,1,1.86
stage_a_02,A,student_judge_pilot,mentor_manual,2025-10-28T09:33:01.416164Z,evals-for-papers/results/raw_logs/stage_a/stage_a_02.txt,evals-for-papers/results/raw_logs/stage_a/stage_a_02_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.60,1.60,1.60,1.53,1,1,1.59
stage_a_03,A,student_judge_pilot,mentor_manual,2025-10-28T09:33:24.673323Z,evals-for-papers/results/raw_logs/stage_a/stage_a_03.txt,evals-for-papers/results/raw_logs/stage_a/stage_a_03_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.97,1.87,1.77,1.87,1,1,1.88
stage_a_04,A,student_judge_pilot,mentor_manual,2025-10-28T09:33:53.852116Z,evals-for-papers/results/raw_logs/stage_a/stage_a_04.txt,evals-for-papers/results/raw_logs/stage_a/stage_a_04_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.93,1.87,1.77,1.83,1,1,1.86
stage_a_05,A,student_judge_pilot,mentor_manual,2025-10-28T09:34:12.506459Z,evals-for-papers/results/raw_logs/stage_a/stage_a_05.txt,evals-for-papers/results/raw_logs/stage_a/stage_a_05_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.80,1.77,1.73,1.77,1,1,1.77
stage_a_06,A,student_judge_pilot,mentor_manual,2025-10-28T09:34:34.269606Z,evals-for-papers/results/raw_logs/stage_a/stage_a_06.txt,evals-for-papers/results/raw_logs/stage_a/stage_a_06_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.93,1.87,1.77,1.83,1,1,1.86
stage_a_07,A,student_judge_pilot,mentor_manual,2025-10-28T09:34:54.106825Z,evals-for-papers/results/raw_logs/stage_a/stage_a_07.txt,evals-for-papers/results/raw_logs/stage_a/stage_a_07_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.73,1.80,1.60,1.63,1,1,1.70
stage_a_08,A,student_judge_pilot,mentor_manual,2025-10-28T09:35:22.037583Z,evals-for-papers/results/raw_logs/stage_a/stage_a_08.txt,evals-for-papers/results/raw_logs/stage_a/stage_a_08_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.93,1.87,1.80,1.87,1,1,1.87
stage_a_09,A,student_judge_pilot,mentor_manual,2025-10-28T09:36:09.421588Z,evals-for-papers/results/raw_logs/stage_a/stage_a_09.txt,evals-for-papers/results/raw_logs/stage_a/stage_a_09_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.93,1.87,1.80,1.87,1,1,1.87
stage_a_10,A,student_judge_pilot,mentor_manual,2025-10-28T09:36:29.481263Z,evals-for-papers/results/raw_logs/stage_a/stage_a_10.txt,evals-for-papers/results/raw_logs/stage_a/stage_a_10_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.93,1.87,1.80,1.80,1,1,1.86
stage_a_11,A,student_judge_pilot,mentor_manual,2025-10-28T09:37:03.459904Z,evals-for-papers/results/raw_logs/stage_a/stage_a_11.txt,evals-for-papers/results/raw_logs/stage_a/stage_a_11_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.80,1.93,1.57,1.77,1,1,1.77
stage_a_12,A,student_judge_pilot,mentor_manual,2025-10-28T09:37:30.004548Z,evals-for-papers/results/raw_logs/stage_a/stage_a_12.txt,evals-for-papers/results/raw_logs/stage_a/stage_a_12_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.93,1.87,1.80,1.73,1,1,1.85
stage_a_13,A,student_judge_pilot,mentor_manual,2025-10-28T09:37:57.331799Z,evals-for-papers/results/raw_logs/stage_a/stage_a_13.txt,evals-for-papers/results/raw_logs/stage_a/stage_a_13_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.77,1.87,1.57,1.77,1,1,1.74
stage_a_14,A,student_judge_pilot,mentor_manual,2025-10-28T09:38:38.371073Z,evals-for-papers/results/raw_logs/stage_a/stage_a_14.txt,evals-for-papers/results/raw_logs/stage_a/stage_a_14_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.47,1.67,1.13,1.33,1,1,1.41
stage_a_15,A,student_judge_pilot,mentor_manual,2025-10-28T09:39:00.931460Z,evals-for-papers/results/raw_logs/stage_a/stage_a_15.txt,evals-for-papers/results/raw_logs/stage_a/stage_a_15_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.87,1.93,1.97,1.90,1,1,1.91
