prompt_id,stage,annotator,system_id,run_timestamp,response_path,tool_trace_path,tool_routing,citation_validity,fallback_robustness,evidence_integrity,rag_fidelity_score,citation_relevance_score,source_fit_score,actionability_score,clarification_quality_score,citation_quality_score,persona_compliance_score,stage_awareness_score,tone_constructive_score,timeline_guidance,expectation_management,novelty_assessment,evidence_gap_detection,hypothesis_generation,distractor_rejection,experiment_design,scope_feasibility,feasibility_analysis,skills_gap_guidance,domain_mapping,risk_analysis,plan_completeness,resource_estimation,timeline_quality,risk_mitigation,additional_notes,student_actionability_score,student_clarity_score,student_constraint_fit_score,student_confidence_gain_score,student_path_ready,student_failure_modes,student_outcome_score
stage_b_01,B,,mentor_manual,2025-11-02T12:10:59.429813Z,evals-for-papers/results/raw_logs/stage_b/stage_b_01.txt,evals-for-papers/results/raw_logs/stage_b/stage_b_01_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage_b_02,B,,mentor_manual,2025-11-02T12:11:31.275897Z,evals-for-papers/results/raw_logs/stage_b/stage_b_02.txt,evals-for-papers/results/raw_logs/stage_b/stage_b_02_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage_b_03,B,,mentor_manual,2025-11-02T12:13:17.565968Z,evals-for-papers/results/raw_logs/stage_b/stage_b_03.txt,evals-for-papers/results/raw_logs/stage_b/stage_b_03_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage_b_04,B,,mentor_manual,2025-11-02T12:14:14.146565Z,evals-for-papers/results/raw_logs/stage_b/stage_b_04.txt,evals-for-papers/results/raw_logs/stage_b/stage_b_04_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage_b_05,B,,mentor_manual,2025-11-02T12:15:46.937087Z,evals-for-papers/results/raw_logs/stage_b/stage_b_05.txt,evals-for-papers/results/raw_logs/stage_b/stage_b_05_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage_b_06,B,,mentor_manual,2025-11-02T12:16:51.172321Z,evals-for-papers/results/raw_logs/stage_b/stage_b_06.txt,evals-for-papers/results/raw_logs/stage_b/stage_b_06_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage_b_07,B,,mentor_manual,2025-11-02T12:18:27.984647Z,evals-for-papers/results/raw_logs/stage_b/stage_b_07.txt,evals-for-papers/results/raw_logs/stage_b/stage_b_07_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage_b_08,B,,mentor_manual,2025-11-02T12:20:02.972061Z,evals-for-papers/results/raw_logs/stage_b/stage_b_08.txt,evals-for-papers/results/raw_logs/stage_b/stage_b_08_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage_b_09,B,,mentor_manual,2025-11-02T12:22:09.744750Z,evals-for-papers/results/raw_logs/stage_b/stage_b_09.txt,evals-for-papers/results/raw_logs/stage_b/stage_b_09_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage_b_10,B,,mentor_manual,2025-11-02T12:23:39.652250Z,evals-for-papers/results/raw_logs/stage_b/stage_b_10.txt,evals-for-papers/results/raw_logs/stage_b/stage_b_10_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage_b_11,B,,mentor_manual,2025-11-02T12:23:46.034734Z,evals-for-papers/results/raw_logs/stage_b/stage_b_11.txt,evals-for-papers/results/raw_logs/stage_b/stage_b_11_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage_b_12,B,,mentor_manual,2025-11-02T12:25:08.740085Z,evals-for-papers/results/raw_logs/stage_b/stage_b_12.txt,evals-for-papers/results/raw_logs/stage_b/stage_b_12_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage_b_13,B,,mentor_manual,2025-11-02T12:25:10.787549Z,evals-for-papers/results/raw_logs/stage_b/stage_b_13.txt,evals-for-papers/results/raw_logs/stage_b/stage_b_13_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage_b_14,B,,mentor_manual,2025-11-02T12:25:22.436610Z,evals-for-papers/results/raw_logs/stage_b/stage_b_14.txt,evals-for-papers/results/raw_logs/stage_b/stage_b_14_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage_b_15,B,,mentor_manual,2025-11-02T12:27:59.292172Z,evals-for-papers/results/raw_logs/stage_b/stage_b_15.txt,evals-for-papers/results/raw_logs/stage_b/stage_b_15_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
