prompt_id,stage,annotator,system_id,run_timestamp,response_path,tool_trace_path,tool_routing,citation_validity,fallback_robustness,evidence_integrity,rag_fidelity_score,citation_relevance_score,source_fit_score,actionability_score,clarification_quality_score,citation_quality_score,persona_compliance_score,stage_awareness_score,tone_constructive_score,timeline_guidance,expectation_management,novelty_assessment,evidence_gap_detection,hypothesis_generation,distractor_rejection,experiment_design,scope_feasibility,feasibility_analysis,skills_gap_guidance,domain_mapping,risk_analysis,plan_completeness,resource_estimation,timeline_quality,risk_mitigation,additional_notes,student_actionability_score,student_clarity_score,student_constraint_fit_score,student_confidence_gain_score,student_path_ready,student_failure_modes,student_outcome_score
stage_b_01,B,expert_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-10-31T18:01:14.269796Z,evals-for-papers/results/raw_logs/stage_b/stage_b_01_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,1,0,1.0,2.00,2.00,2.00,0.67,,2.00,2.00,2.00,2.00,,,1,0,0,1,,,,,,,,,,,,,,,,,,
stage_b_02,B,expert_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-10-31T18:03:30.424005Z,evals-for-papers/results/raw_logs/stage_b/stage_b_02_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,1,0,1.0,2.00,2.00,2.00,0.97,,2.00,1.67,2.00,1.67,,,1,,1,1,1,,,,,,,,,,,,,,,,,
stage_b_03,B,expert_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-10-31T18:06:14.768960Z,evals-for-papers/results/raw_logs/stage_b/stage_b_03_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,1,0,1.0,1.83,2.00,2.00,0.97,,2.00,1.60,2.00,2.00,,1,0,,,,,1,,,,,,,,,,,,,,,,
stage_b_04,B,expert_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-10-31T18:08:02.170228Z,evals-for-papers/results/raw_logs/stage_b/stage_b_04_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,1,0,1.0,1.00,2.00,2.00,0.87,,2.00,2.00,2.00,2.00,,,,,0,,,,1,1,,,,,,,,,,,,,,
stage_b_05,B,expert_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-10-31T18:10:12.459437Z,evals-for-papers/results/raw_logs/stage_b/stage_b_05_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,1,0,1.0,2.00,2.00,2.00,0.73,,2.00,0.67,1.33,0.93,,,1,,1,,,,,,1,,,,,,,,,,,,,
stage_b_06,B,expert_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-10-31T18:12:22.321047Z,evals-for-papers/results/raw_logs/stage_b/stage_b_06_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,1,0,1.0,1.67,1.97,2.00,0.73,,2.00,2.00,2.00,2.00,,,1,,,,,,1,,,1,,,,,,,,,,,,
stage_b_07,B,expert_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-10-31T18:14:03.376566Z,evals-for-papers/results/raw_logs/stage_b/stage_b_07_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,1,0,1.0,2.00,2.00,2.00,0.93,,2.00,2.00,2.00,2.00,,,1,,,,,,0,,,,,,,,,,,,,,,
stage_b_08,B,expert_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-10-31T18:16:06.156175Z,evals-for-papers/results/raw_logs/stage_b/stage_b_08_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,1,0,1.0,2.00,2.00,2.00,0.73,,1.67,2.00,2.00,2.00,,,1,,1,,,,,,,1,,,,,,,,,,,,
stage_b_09,B,expert_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-10-31T18:18:09.528306Z,evals-for-papers/results/raw_logs/stage_b/stage_b_09_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,1,0,1.0,2.00,2.00,2.00,0.60,,2.00,2.00,1.33,1.67,,1,1,,,,,,,,,1,,,,,,,,,,,,
stage_b_10,B,expert_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-10-31T18:20:16.806325Z,evals-for-papers/results/raw_logs/stage_b/stage_b_10_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,1,0,1.0,2.00,1.97,2.00,0.53,,2.00,2.00,1.33,1.67,,1,1,,,,,,,,,1,,,,,,,,,,,,
