prompt_id,stage,annotator,system_id,run_timestamp,response_path,tool_trace_path,tool_routing,citation_presence,citation_validity,fallback_robustness,asks_questions,evidence_integrity,rag_fidelity_score,citation_relevance_score,source_fit_score,actionability_score,question_quality_score,citation_quality_score,persona_compliance_score,stage_awareness_score,tone_constructive_score,constraint_handling,timeline_guidance,expectation_management,novelty_assessment,evidence_gap_detection,hypothesis_generation,distractor_rejection,experiment_design,scope_feasibility,feasibility_analysis,skills_gap_guidance,domain_mapping,risk_analysis,plan_completeness,resource_estimation,timeline_quality,risk_mitigation,additional_notes
stage_b_01,B,single_turn_oct21,mentor_manual,2025-10-21T18:19:04.635847Z,evals-for-papers/results/raw_logs/stage_b/stage_b_01.txt,evals-for-papers/results/raw_logs/stage_b/stage_b_01_tools.json,1,1,1,0,1,1.0,2.00,2.00,2.00,0.93,0.67,2.00,2.00,2.00,2.00,,,,1,0,1,1,,,,,,,,,,,
stage_b_02,B,single_turn_oct21,mentor_manual,2025-10-21T18:21:49.520147Z,evals-for-papers/results/raw_logs/stage_b/stage_b_02.txt,evals-for-papers/results/raw_logs/stage_b/stage_b_02_tools.json,1,1,1,0,0,1.0,2.00,2.00,2.00,1.00,1.33,2.00,2.00,2.00,2.00,,,,1,,1,1,1,,,,,,,,,,
stage_b_03,B,single_turn_oct21,mentor_manual,2025-10-21T18:24:30.092171Z,evals-for-papers/results/raw_logs/stage_b/stage_b_03.txt,evals-for-papers/results/raw_logs/stage_b/stage_b_03_tools.json,0,1,1,0,1,1.0,2.00,2.00,2.00,0.80,0.67,2.00,2.00,2.00,2.00,,,1,1,,,,,1,,,,,,,,,
stage_b_04,B,single_turn_oct21,mentor_manual,2025-10-21T18:27:02.353194Z,evals-for-papers/results/raw_logs/stage_b/stage_b_04.txt,evals-for-papers/results/raw_logs/stage_b/stage_b_04_tools.json,0,1,1,0,1,1.0,2.00,2.00,2.00,0.93,0.67,1.50,2.00,2.00,2.00,,,,,,1,,,,1,1,,,,,,,
stage_b_05,B,single_turn_oct21,mentor_manual,2025-10-21T18:29:26.069693Z,evals-for-papers/results/raw_logs/stage_b/stage_b_05.txt,evals-for-papers/results/raw_logs/stage_b/stage_b_05_tools.json,1,1,1,0,1,1.0,2.00,1.67,2.00,0.80,0.67,2.00,2.00,2.00,2.00,,,,1,,1,,,,,,1,,,,,,
stage_b_06,B,single_turn_oct21,mentor_manual,2025-10-21T18:31:40.292749Z,evals-for-papers/results/raw_logs/stage_b/stage_b_06.txt,evals-for-papers/results/raw_logs/stage_b/stage_b_06_tools.json,1,1,1,0,0,1.0,2.00,2.00,2.00,0.93,1.33,2.00,2.00,2.00,2.00,,,,1,,,,,,1,,,1,,,,,
stage_b_07,B,single_turn_oct21,mentor_manual,2025-10-21T18:33:39.166646Z,evals-for-papers/results/raw_logs/stage_b/stage_b_07.txt,evals-for-papers/results/raw_logs/stage_b/stage_b_07_tools.json,1,1,1,0,0,1.0,2.00,2.00,2.00,1.00,0.67,2.00,2.00,2.00,2.00,,,,1,,,,,,0,,,,,,,,
stage_b_08,B,single_turn_oct21,mentor_manual,2025-10-21T18:35:47.581350Z,evals-for-papers/results/raw_logs/stage_b/stage_b_08.txt,evals-for-papers/results/raw_logs/stage_b/stage_b_08_tools.json,1,1,1,0,0,1.0,2.00,1.97,2.00,0.70,0.67,1.67,1.67,2.00,2.00,,,,1,,1,,,,,,,1,,,,,
stage_b_09,B,single_turn_oct21,mentor_manual,2025-10-21T18:37:44.775233Z,evals-for-papers/results/raw_logs/stage_b/stage_b_09.txt,evals-for-papers/results/raw_logs/stage_b/stage_b_09_tools.json,1,1,1,0,1,1.0,2.00,2.00,1.67,0.93,0.67,1.67,2.00,2.00,2.00,,,1,1,,,,,,,,,1,,,,,
stage_b_10,B,single_turn_oct21,mentor_manual,2025-10-21T18:40:11.617918Z,evals-for-papers/results/raw_logs/stage_b/stage_b_10.txt,evals-for-papers/results/raw_logs/stage_b/stage_b_10_tools.json,1,1,1,0,1,1.0,2.00,2.00,2.00,1.00,1.33,2.00,2.00,2.00,2.00,,,1,1,,,,,,,,,1,,,,,
stage_b_11,B,single_turn_oct21,mentor_manual,2025-10-21T18:43:17.818843Z,evals-for-papers/results/raw_logs/stage_b/stage_b_11.txt,evals-for-papers/results/raw_logs/stage_b/stage_b_11_tools.json,1,1,1,0,1,1.0,2.00,2.00,1.67,0.87,0.67,2.00,2.00,2.00,2.00,,,,1,,,,,,1,,,1,,,,,
stage_b_12,B,single_turn_oct21,mentor_manual,2025-10-21T18:45:33.677725Z,evals-for-papers/results/raw_logs/stage_b/stage_b_12.txt,evals-for-papers/results/raw_logs/stage_b/stage_b_12_tools.json,1,1,1,0,1,1.0,2.00,2.00,2.00,0.87,0.67,2.00,2.00,2.00,2.00,,,,1,,1,,,,0,,,,,,,,
stage_b_13,B,single_turn_oct21,mentor_manual,2025-10-21T18:48:22.195502Z,evals-for-papers/results/raw_logs/stage_b/stage_b_13.txt,evals-for-papers/results/raw_logs/stage_b/stage_b_13_tools.json,1,1,1,0,0,1.0,1.00,1.90,1.67,0.93,0.67,2.00,2.00,2.00,2.00,,,1,1,,,,,,,,,1,,,,,
stage_b_14,B,single_turn_oct21,mentor_manual,2025-10-21T18:51:05.184494Z,evals-for-papers/results/raw_logs/stage_b/stage_b_14.txt,evals-for-papers/results/raw_logs/stage_b/stage_b_14_tools.json,1,1,1,0,0,1.0,2.00,2.00,2.00,0.93,0.67,2.00,2.00,2.00,2.00,,,,1,,,,,,1,,,,,,,,
stage_b_15,B,single_turn_oct21,mentor_manual,2025-10-21T18:53:46.948154Z,evals-for-papers/results/raw_logs/stage_b/stage_b_15.txt,evals-for-papers/results/raw_logs/stage_b/stage_b_15_tools.json,1,1,1,0,0,1.0,2.00,2.00,1.93,0.93,1.33,1.60,2.00,2.00,2.00,,,1,1,,,,,,,,,1,,,,,
