prompt_id,stage,annotator,system_id,run_timestamp,response_path,tool_trace_path,tool_routing,citation_validity,fallback_robustness,evidence_integrity,rag_fidelity_score,citation_relevance_score,source_fit_score,actionability_score,clarification_quality_score,citation_quality_score,persona_compliance_score,stage_awareness_score,tone_constructive_score,timeline_guidance,expectation_management,novelty_assessment,evidence_gap_detection,hypothesis_generation,distractor_rejection,experiment_design,scope_feasibility,feasibility_analysis,skills_gap_guidance,domain_mapping,risk_analysis,plan_completeness,resource_estimation,timeline_quality,risk_mitigation,additional_notes,student_actionability_score,student_clarity_score,student_constraint_fit_score,student_confidence_gain_score,student_path_ready,student_failure_modes,student_outcome_score
stage_b_01,B,student_judge_upgrade,mentor_manual,2025-11-03T08:27:18.532945Z,evals-for-papers/results/raw_logs/stage_b/stage_b_01.txt,evals-for-papers/results/raw_logs/stage_b/stage_b_01_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.63,1.80,1.40,1.77,1,1,1.64
stage_b_02,B,student_judge_upgrade,mentor_manual,2025-11-03T08:27:38.253279Z,evals-for-papers/results/raw_logs/stage_b/stage_b_02.txt,evals-for-papers/results/raw_logs/stage_b/stage_b_02_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.87,1.87,1.50,1.73,1,0,1.75
stage_b_03,B,student_judge_upgrade,mentor_manual,2025-11-03T08:27:53.278141Z,evals-for-papers/results/raw_logs/stage_b/stage_b_03.txt,evals-for-papers/results/raw_logs/stage_b/stage_b_03_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.93,1.87,1.80,1.70,1,1,1.85
stage_b_04,B,student_judge_upgrade,mentor_manual,2025-11-03T08:28:12.463197Z,evals-for-papers/results/raw_logs/stage_b/stage_b_04.txt,evals-for-papers/results/raw_logs/stage_b/stage_b_04_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.93,1.87,1.70,1.73,1,1,1.83
stage_b_05,B,student_judge_upgrade,mentor_manual,2025-11-03T08:28:36.610305Z,evals-for-papers/results/raw_logs/stage_b/stage_b_05.txt,evals-for-papers/results/raw_logs/stage_b/stage_b_05_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.83,1.87,1.57,1.73,1,1,1.76
stage_b_06,B,student_judge_upgrade,mentor_manual,2025-11-03T08:29:00.493179Z,evals-for-papers/results/raw_logs/stage_b/stage_b_06.txt,evals-for-papers/results/raw_logs/stage_b/stage_b_06_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.83,1.87,1.40,1.60,1,1,1.70
stage_b_07,B,student_judge_upgrade,mentor_manual,2025-11-03T08:29:15.088094Z,evals-for-papers/results/raw_logs/stage_b/stage_b_07.txt,evals-for-papers/results/raw_logs/stage_b/stage_b_07_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.67,1.70,1.33,1.67,1,0,1.59
stage_b_08,B,student_judge_upgrade,mentor_manual,2025-11-03T08:29:36.838828Z,evals-for-papers/results/raw_logs/stage_b/stage_b_08.txt,evals-for-papers/results/raw_logs/stage_b/stage_b_08_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.73,1.80,1.53,1.53,1,1,1.67
stage_b_09,B,student_judge_upgrade,mentor_manual,2025-11-03T08:29:56.095270Z,evals-for-papers/results/raw_logs/stage_b/stage_b_09.txt,evals-for-papers/results/raw_logs/stage_b/stage_b_09_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.93,1.87,1.77,1.80,1,1,1.85
stage_b_10,B,student_judge_upgrade,mentor_manual,2025-11-03T08:30:20.272662Z,evals-for-papers/results/raw_logs/stage_b/stage_b_10.txt,evals-for-papers/results/raw_logs/stage_b/stage_b_10_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.47,1.60,1.27,1.60,0,1,1.47
stage_b_11,B,student_judge_upgrade,mentor_manual,2025-11-03T08:30:35.460731Z,evals-for-papers/results/raw_logs/stage_b/stage_b_11.txt,evals-for-papers/results/raw_logs/stage_b/stage_b_11_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.27,0.23,0.07,0,0,0.19
stage_b_12,B,student_judge_upgrade,mentor_manual,2025-11-03T08:30:57.934146Z,evals-for-papers/results/raw_logs/stage_b/stage_b_12.txt,evals-for-papers/results/raw_logs/stage_b/stage_b_12_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,1.67,1.20,1.63,1,0,1.49
stage_b_13,B,student_judge_upgrade,mentor_manual,2025-11-03T08:31:17.841237Z,evals-for-papers/results/raw_logs/stage_b/stage_b_13.txt,evals-for-papers/results/raw_logs/stage_b/stage_b_13_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07,1.30,1.27,1.43,0,0,1.23
stage_b_14,B,student_judge_upgrade,mentor_manual,2025-11-03T08:31:44.378342Z,evals-for-papers/results/raw_logs/stage_b/stage_b_14.txt,evals-for-papers/results/raw_logs/stage_b/stage_b_14_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,0.20,0.20,0.10,0,0,0.16
stage_b_15,B,student_judge_upgrade,mentor_manual,2025-11-03T08:32:03.819408Z,evals-for-papers/results/raw_logs/stage_b/stage_b_15.txt,evals-for-papers/results/raw_logs/stage_b/stage_b_15_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.47,1.67,1.17,1.63,1,1,1.47
