prompt_id,stage,annotator,system_id,run_timestamp,response_path,tool_trace_path,tool_routing,citation_validity,fallback_robustness,evidence_integrity,rag_fidelity_score,citation_relevance_score,source_fit_score,actionability_score,clarification_quality_score,citation_quality_score,persona_compliance_score,stage_awareness_score,tone_constructive_score,timeline_guidance,expectation_management,novelty_assessment,evidence_gap_detection,hypothesis_generation,distractor_rejection,experiment_design,scope_feasibility,feasibility_analysis,skills_gap_guidance,domain_mapping,risk_analysis,plan_completeness,resource_estimation,timeline_quality,risk_mitigation,additional_notes,student_actionability_score,student_clarity_score,student_constraint_fit_score,student_confidence_gain_score,student_path_ready,student_failure_modes,student_outcome_score
stage_b_01,B,student_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-10-31T18:31:35.557711Z,evals-for-papers/results/raw_logs/stage_b/stage_b_01_openrouter-anthropic_claude-sonnet-4.5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.53,1.67,1.47,1.67,1,0,1.57
stage_b_02,B,student_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-10-31T18:31:53.600680Z,evals-for-papers/results/raw_logs/stage_b/stage_b_02_openrouter-anthropic_claude-sonnet-4.5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,1.47,0.57,1.27,0,0,1.05
stage_b_03,B,student_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-10-31T18:32:12.991065Z,evals-for-papers/results/raw_logs/stage_b/stage_b_03_openrouter-anthropic_claude-sonnet-4.5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.67,1.80,1.40,1.63,1,1,1.63
stage_b_04,B,student_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-10-31T18:32:30.730635Z,evals-for-papers/results/raw_logs/stage_b/stage_b_04_openrouter-anthropic_claude-sonnet-4.5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37,1.60,1.23,1.43,1,1,1.40
stage_b_05,B,student_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-10-31T18:32:47.097644Z,evals-for-papers/results/raw_logs/stage_b/stage_b_05_openrouter-anthropic_claude-sonnet-4.5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.53,1.67,1.30,1.67,1,1,1.53
stage_b_06,B,student_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-10-31T18:33:04.361483Z,evals-for-papers/results/raw_logs/stage_b/stage_b_06_openrouter-anthropic_claude-sonnet-4.5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.57,1.57,1.33,1.60,1,1,1.51
stage_b_07,B,student_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-10-31T18:33:22.754984Z,evals-for-papers/results/raw_logs/stage_b/stage_b_07_openrouter-anthropic_claude-sonnet-4.5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.77,1.87,1.70,1.83,1,1,1.78
stage_b_08,B,student_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-10-31T18:33:43.335282Z,evals-for-papers/results/raw_logs/stage_b/stage_b_08_openrouter-anthropic_claude-sonnet-4.5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,1.73,1.17,1.77,1,1,1.51
stage_b_09,B,student_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-10-31T18:34:04.707013Z,evals-for-papers/results/raw_logs/stage_b/stage_b_09_openrouter-anthropic_claude-sonnet-4.5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.10,1.50,0.93,1.60,0,1,1.23
stage_b_10,B,student_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-10-31T18:34:22.835562Z,evals-for-papers/results/raw_logs/stage_b/stage_b_10_openrouter-anthropic_claude-sonnet-4.5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.03,1.37,1.00,1.47,0,1,1.17
