prompt_id,stage,annotator,system_id,run_timestamp,response_path,tool_trace_path,tool_routing,citation_validity,fallback_robustness,evidence_integrity,rag_fidelity_score,citation_relevance_score,source_fit_score,actionability_score,clarification_quality_score,citation_quality_score,persona_compliance_score,stage_awareness_score,tone_constructive_score,timeline_guidance,expectation_management,novelty_assessment,evidence_gap_detection,hypothesis_generation,distractor_rejection,experiment_design,scope_feasibility,feasibility_analysis,skills_gap_guidance,domain_mapping,risk_analysis,plan_completeness,resource_estimation,timeline_quality,risk_mitigation,additional_notes,student_actionability_score,student_clarity_score,student_constraint_fit_score,student_confidence_gain_score,student_path_ready,student_failure_modes,student_outcome_score
stage_b_01,B,student_judge_upgrade,openrouter:openai/gpt-5,2025-10-31T19:05:22.551939Z,evals-for-papers/results/raw_logs/stage_b/stage_b_01_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.70,1.80,1.40,1.80,1,1,1.67
stage_b_02,B,student_judge_upgrade,openrouter:openai/gpt-5,2025-10-31T19:05:42.088936Z,evals-for-papers/results/raw_logs/stage_b/stage_b_02_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.27,1.60,0.87,1.40,0,1,1.27
stage_b_03,B,student_judge_upgrade,openrouter:openai/gpt-5,2025-10-31T19:06:20.983211Z,evals-for-papers/results/raw_logs/stage_b/stage_b_03_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43,1.67,1.10,1.63,1,1,1.44
stage_b_04,B,student_judge_upgrade,openrouter:openai/gpt-5,2025-10-31T19:06:37.419974Z,evals-for-papers/results/raw_logs/stage_b/stage_b_04_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.87,1.93,1.73,1.73,1,1,1.83
stage_b_05,B,student_judge_upgrade,openrouter:openai/gpt-5,2025-10-31T19:06:55.173965Z,evals-for-papers/results/raw_logs/stage_b/stage_b_05_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.67,1.67,1.40,1.73,1,1,1.61
stage_b_06,B,student_judge_upgrade,openrouter:openai/gpt-5,2025-10-31T19:07:13.372673Z,evals-for-papers/results/raw_logs/stage_b/stage_b_06_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37,1.67,1.10,1.60,1,1,1.41
stage_b_07,B,student_judge_upgrade,openrouter:openai/gpt-5,2025-10-31T19:07:32.103703Z,evals-for-papers/results/raw_logs/stage_b/stage_b_07_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.60,1.67,1.30,1.67,1,1,1.55
stage_b_08,B,student_judge_upgrade,openrouter:openai/gpt-5,2025-10-31T19:07:51.267106Z,evals-for-papers/results/raw_logs/stage_b/stage_b_08_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.60,1.67,1.30,1.77,1,1,1.57
stage_b_09,B,student_judge_upgrade,openrouter:openai/gpt-5,2025-10-31T19:08:09.218725Z,evals-for-papers/results/raw_logs/stage_b/stage_b_09_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.30,1.60,1.00,1.43,1,1,1.32
stage_b_10,B,student_judge_upgrade,openrouter:openai/gpt-5,2025-10-31T19:08:37.654300Z,evals-for-papers/results/raw_logs/stage_b/stage_b_10_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.33,1.60,1.03,1.63,0,1,1.37
stage_b_11,B,student_judge_upgrade,openrouter:openai/gpt-5,2025-10-31T19:09:15.265493Z,evals-for-papers/results/raw_logs/stage_b/stage_b_11_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.63,1.73,1.27,1.73,1,1,1.58
stage_b_12,B,student_judge_upgrade,openrouter:openai/gpt-5,2025-10-31T19:09:36.039275Z,evals-for-papers/results/raw_logs/stage_b/stage_b_12_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.23,1.60,0.97,1.57,0,1,1.31
stage_b_13,B,student_judge_upgrade,openrouter:openai/gpt-5,2025-10-31T19:09:55.125332Z,evals-for-papers/results/raw_logs/stage_b/stage_b_13_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.77,1.87,1.67,1.77,1,1,1.77
stage_b_14,B,student_judge_upgrade,openrouter:openai/gpt-5,2025-10-31T19:10:13.043391Z,evals-for-papers/results/raw_logs/stage_b/stage_b_14_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43,1.67,1.23,1.57,1,1,1.46
stage_b_15,B,student_judge_upgrade,openrouter:openai/gpt-5,2025-10-31T19:10:34.065349Z,evals-for-papers/results/raw_logs/stage_b/stage_b_15_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.63,1.73,1.33,1.80,1,1,1.61
