prompt_id,stage,annotator,system_id,run_timestamp,response_path,tool_trace_path,tool_routing,citation_validity,fallback_robustness,evidence_integrity,rag_fidelity_score,citation_relevance_score,source_fit_score,actionability_score,clarification_quality_score,citation_quality_score,persona_compliance_score,stage_awareness_score,tone_constructive_score,timeline_guidance,expectation_management,novelty_assessment,evidence_gap_detection,hypothesis_generation,distractor_rejection,experiment_design,scope_feasibility,feasibility_analysis,skills_gap_guidance,domain_mapping,risk_analysis,plan_completeness,resource_estimation,timeline_quality,risk_mitigation,additional_notes,student_actionability_score,student_clarity_score,student_constraint_fit_score,student_confidence_gain_score,student_path_ready,student_failure_modes,student_outcome_score
stage_c_01,C,expert_judge_upgrade,mentor_manual,2025-10-31T19:42:14.577905Z,evals-for-papers/results/raw_logs/stage_c/stage_c_01.txt,evals-for-papers/results/raw_logs/stage_c/stage_c_01_tools.json,0,1,0,0.8333333333333334,0.83,2.00,1.67,0.93,,2.00,1.67,2.00,2.00,,,,,,,,,,,,,1,1,1,1,,,,,,,,
stage_c_02,C,expert_judge_upgrade,mentor_manual,2025-10-31T19:44:28.667762Z,evals-for-papers/results/raw_logs/stage_c/stage_c_02.txt,evals-for-papers/results/raw_logs/stage_c/stage_c_02_tools.json,1,1,0,1.0,1.67,1.83,2.00,1.00,,2.00,1.00,2.00,1.67,,,,,,,1,,,,,,1,1,1,,,,,,,,,
stage_c_03,C,expert_judge_upgrade,mentor_manual,2025-10-31T19:47:09.129217Z,evals-for-papers/results/raw_logs/stage_c/stage_c_03.txt,evals-for-papers/results/raw_logs/stage_c/stage_c_03_tools.json,0,1,0,1.0,2.00,2.00,2.00,0.90,,2.00,2.00,2.00,2.00,,1,,,,,,,1,,,,1,,,1,,,,,,,,
stage_c_04,C,expert_judge_upgrade,mentor_manual,2025-10-31T19:48:49.400953Z,evals-for-papers/results/raw_logs/stage_c/stage_c_04.txt,evals-for-papers/results/raw_logs/stage_c/stage_c_04_tools.json,0,1,0,1.0,2.00,2.00,2.00,0.97,,2.00,2.00,2.00,2.00,,,,,,,,,,,,,1,1,,,,,,,,,,
stage_c_05,C,expert_judge_upgrade,mentor_manual,2025-10-31T19:50:44.786707Z,evals-for-papers/results/raw_logs/stage_c/stage_c_05.txt,evals-for-papers/results/raw_logs/stage_c/stage_c_05_tools.json,0,1,0,1.0,2.00,2.00,2.00,0.87,,1.67,1.33,2.00,2.00,,,,,,,,,,1,,,1,1,,,,,,,,,,
stage_c_06,C,expert_judge_upgrade,mentor_manual,2025-10-31T19:53:24.971588Z,evals-for-papers/results/raw_logs/stage_c/stage_c_06.txt,evals-for-papers/results/raw_logs/stage_c/stage_c_06_tools.json,0,1,0,1.0,2.00,2.00,2.00,0.87,,2.00,1.33,2.00,2.00,,,,,,,,,,,,,1,1,1,1,,,,,,,,
stage_c_07,C,expert_judge_upgrade,mentor_manual,2025-10-31T19:55:46.012696Z,evals-for-papers/results/raw_logs/stage_c/stage_c_07.txt,evals-for-papers/results/raw_logs/stage_c/stage_c_07_tools.json,0,1,0,1.0,1.67,2.00,2.00,1.00,,1.67,1.00,2.00,1.33,,,,,,,,,,,,,1,1,1,1,,,,,,,,
stage_c_08,C,expert_judge_upgrade,mentor_manual,2025-10-31T19:58:17.301395Z,evals-for-papers/results/raw_logs/stage_c/stage_c_08.txt,evals-for-papers/results/raw_logs/stage_c/stage_c_08_tools.json,0,1,0,1.0,1.17,1.97,1.67,0.93,,2.00,2.00,2.00,1.67,,,,,,,,,1,,,,1,1,,1,,,,,,,,
stage_c_09,C,expert_judge_upgrade,mentor_manual,2025-10-31T20:00:54.662003Z,evals-for-papers/results/raw_logs/stage_c/stage_c_09.txt,evals-for-papers/results/raw_logs/stage_c/stage_c_09_tools.json,1,1,0,0.8333333333333334,0.83,1.33,1.33,1.00,,2.00,1.00,2.00,1.33,,,,,,,1,,,,,,1,,0,1,,,,,,,,
stage_c_10,C,expert_judge_upgrade,mentor_manual,2025-10-31T20:02:57.838905Z,evals-for-papers/results/raw_logs/stage_c/stage_c_10.txt,evals-for-papers/results/raw_logs/stage_c/stage_c_10_tools.json,0,1,0,1.0,2.00,2.00,2.00,0.93,,2.00,1.67,2.00,2.00,,,,,,,,,,,,,1,1,,1,,,,,,,,
