prompt_id,stage,annotator,system_id,run_timestamp,response_path,tool_trace_path,tool_routing,citation_presence,citation_validity,fallback_robustness,asks_questions,evidence_integrity,rag_fidelity_score,citation_relevance_score,source_fit_score,actionability_score,question_quality_score,citation_quality_score,persona_compliance_score,stage_awareness_score,tone_constructive_score,constraint_handling,timeline_guidance,expectation_management,novelty_assessment,evidence_gap_detection,hypothesis_generation,distractor_rejection,experiment_design,scope_feasibility,feasibility_analysis,skills_gap_guidance,domain_mapping,risk_analysis,plan_completeness,resource_estimation,timeline_quality,risk_mitigation,additional_notes
stage_c_01,C,single_turn_oct21,openrouter:anthropic/claude-sonnet-4.5,2025-10-21T19:45:08.745751Z,evals-for-papers/results/raw_logs/stage_c/stage_c_01_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,1,1,0,1,1.0,1.50,2.00,2.00,0.87,0.67,1.33,2.00,1.33,2.00,,,,,,,,,,,,,,1,1,1,1,
stage_c_02,C,single_turn_oct21,openrouter:anthropic/claude-sonnet-4.5,2025-10-21T19:48:18.739963Z,evals-for-papers/results/raw_logs/stage_c/stage_c_02_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,1,1,0,1,1.0,2.00,2.00,2.00,0.87,0.67,2.00,2.00,2.00,2.00,,,,,,,,1,,,,,,1,0,1,,
stage_c_03,C,single_turn_oct21,openrouter:anthropic/claude-sonnet-4.5,2025-10-21T19:51:20.125502Z,evals-for-papers/results/raw_logs/stage_c/stage_c_03_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,0,0,0,0.0,0.67,0.00,2.00,0.73,0.67,0.00,2.00,2.00,2.00,,,1,,,,,,,0,,,,0,,,1,
stage_c_04,C,single_turn_oct21,openrouter:anthropic/claude-sonnet-4.5,2025-10-21T19:53:58.032964Z,evals-for-papers/results/raw_logs/stage_c/stage_c_04_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,1,0,0,1,0.0,1.00,0.00,1.67,0.80,0.67,0.00,2.00,2.00,2.00,1,,,,,,,,,,,,,1,1,,,
stage_c_05,C,single_turn_oct21,openrouter:anthropic/claude-sonnet-4.5,2025-10-21T19:56:54.451043Z,evals-for-papers/results/raw_logs/stage_c/stage_c_05_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,1,1,0,1,1.0,1.50,1.67,1.33,0.87,0.67,0.67,2.00,2.00,2.00,,,,,,,,,,,1,,,1,1,,,
stage_c_06,C,single_turn_oct21,openrouter:anthropic/claude-sonnet-4.5,2025-10-21T19:59:58.092171Z,evals-for-papers/results/raw_logs/stage_c/stage_c_06_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,1,1,0,0,1.0,2.00,2.00,2.00,0.87,0.67,2.00,1.67,1.33,2.00,,,,,,,,,,,,,,1,1,0,1,
stage_c_07,C,single_turn_oct21,openrouter:anthropic/claude-sonnet-4.5,2025-10-21T20:03:36.246063Z,evals-for-papers/results/raw_logs/stage_c/stage_c_07_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,1,1,0,0,1.0,2.00,1.97,2.00,0.73,0.67,2.00,2.00,1.33,2.00,,,,,,,,,,,,,,0,1,0,0,
stage_c_08,C,single_turn_oct21,openrouter:anthropic/claude-sonnet-4.5,2025-10-21T20:06:40.068539Z,evals-for-papers/results/raw_logs/stage_c/stage_c_08_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,1,0,0,1,0.0,1.50,0.00,1.83,0.90,0.67,0.00,2.00,2.00,2.00,,,,,,,,,,1,,,,1,1,,1,
stage_c_09,C,single_turn_oct21,openrouter:anthropic/claude-sonnet-4.5,2025-10-21T20:09:37.636254Z,evals-for-papers/results/raw_logs/stage_c/stage_c_09_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,1,1,0,1,1.0,1.50,2.00,2.00,0.83,0.67,2.00,1.33,2.00,2.00,,,,,,,,1,,,,,,0,,0,1,
stage_c_10,C,single_turn_oct21,openrouter:anthropic/claude-sonnet-4.5,2025-10-21T20:12:56.285761Z,evals-for-papers/results/raw_logs/stage_c/stage_c_10_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,1,1,0,0,1.0,2.00,2.00,2.00,0.77,0.67,2.00,1.33,2.00,2.00,1,,,,,,,,,,,,,1,1,,1,
stage_c_11,C,single_turn_oct21,openrouter:anthropic/claude-sonnet-4.5,2025-10-21T20:16:16.163515Z,evals-for-papers/results/raw_logs/stage_c/stage_c_11_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,1,1,0,1,1.0,2.00,2.00,2.00,0.73,0.67,2.00,2.00,2.00,2.00,,,,,,,,,,,,,,1,1,0,1,
stage_c_12,C,single_turn_oct21,openrouter:anthropic/claude-sonnet-4.5,2025-10-21T20:19:47.018605Z,evals-for-papers/results/raw_logs/stage_c/stage_c_12_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,1,1,0,1,1.0,2.00,2.00,2.00,0.67,0.67,2.00,2.00,2.00,2.00,,,,,,,,1,,,,,,1,1,,0,
stage_c_13,C,single_turn_oct21,openrouter:anthropic/claude-sonnet-4.5,2025-10-21T20:23:27.487342Z,evals-for-papers/results/raw_logs/stage_c/stage_c_13_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,1,1,0,1,1.0,2.00,1.93,2.00,0.73,0.67,2.00,1.67,2.00,2.00,,,,,,,,,,,,,,0,,0,0,
stage_c_14,C,single_turn_oct21,openrouter:anthropic/claude-sonnet-4.5,2025-10-21T20:26:44.813419Z,evals-for-papers/results/raw_logs/stage_c/stage_c_14_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,1,1,0,1,1.0,2.00,2.00,2.00,0.70,0.67,2.00,1.67,2.00,2.00,,,,,,,,1,,,,,,1,,1,1,
stage_c_15,C,single_turn_oct21,openrouter:anthropic/claude-sonnet-4.5,2025-10-21T20:30:03.679125Z,evals-for-papers/results/raw_logs/stage_c/stage_c_15_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,1,1,0,1,1.0,2.00,1.97,1.97,0.87,0.67,2.00,1.67,2.00,2.00,,,,,,,,,,,,,,1,1,1,1,
