prompt_id,stage,annotator,system_id,run_timestamp,response_path,tool_trace_path,tool_routing,citation_presence,citation_validity,fallback_robustness,asks_questions,evidence_integrity,rag_fidelity_score,citation_relevance_score,source_fit_score,actionability_score,question_quality_score,citation_quality_score,persona_compliance_score,stage_awareness_score,tone_constructive_score,constraint_handling,timeline_guidance,expectation_management,novelty_assessment,evidence_gap_detection,hypothesis_generation,distractor_rejection,experiment_design,scope_feasibility,feasibility_analysis,skills_gap_guidance,domain_mapping,risk_analysis,plan_completeness,resource_estimation,timeline_quality,risk_mitigation,additional_notes
stage_c_01,C,single_turn_oct21,mentor_manual,2025-10-21T18:19:27.166700Z,evals-for-papers/results/raw_logs/stage_c/stage_c_01.txt,evals-for-papers/results/raw_logs/stage_c/stage_c_01_tools.json,0,1,1,0,1,1.0,2.00,2.00,2.00,0.87,0.67,2.00,2.00,2.00,2.00,,,,,,,,,,,,,,1,1,1,1,
stage_c_02,C,single_turn_oct21,mentor_manual,2025-10-21T18:22:50.666617Z,evals-for-papers/results/raw_logs/stage_c/stage_c_02.txt,evals-for-papers/results/raw_logs/stage_c/stage_c_02_tools.json,1,1,1,0,0,1.0,2.00,1.93,2.00,1.00,0.67,1.97,1.67,2.00,2.00,,,,,,,,1,,,,,,1,1,1,,
stage_c_03,C,single_turn_oct21,mentor_manual,2025-10-21T18:25:42.287268Z,evals-for-papers/results/raw_logs/stage_c/stage_c_03.txt,evals-for-papers/results/raw_logs/stage_c/stage_c_03_tools.json,0,1,1,0,0,1.0,2.00,2.00,2.00,0.90,1.33,2.00,2.00,2.00,2.00,,,1,,,,,,,1,,,,1,,,1,
stage_c_04,C,single_turn_oct21,mentor_manual,2025-10-21T18:28:21.235617Z,evals-for-papers/results/raw_logs/stage_c/stage_c_04.txt,evals-for-papers/results/raw_logs/stage_c/stage_c_04_tools.json,0,1,1,0,0,1.0,1.67,2.00,2.00,1.00,0.67,2.00,2.00,2.00,2.00,1,,,,,,,,,,,,,1,1,,,
stage_c_05,C,single_turn_oct21,mentor_manual,2025-10-21T18:30:50.162840Z,evals-for-papers/results/raw_logs/stage_c/stage_c_05.txt,evals-for-papers/results/raw_logs/stage_c/stage_c_05_tools.json,0,1,1,0,1,1.0,2.00,2.00,2.00,0.93,0.67,2.00,2.00,2.00,2.00,,,,,,,,,,,1,,,1,1,,,
stage_c_06,C,single_turn_oct21,mentor_manual,2025-10-21T18:33:03.794119Z,evals-for-papers/results/raw_logs/stage_c/stage_c_06.txt,evals-for-papers/results/raw_logs/stage_c/stage_c_06_tools.json,0,1,1,0,0,1.0,2.00,2.00,2.00,0.87,1.33,2.00,1.67,2.00,2.00,,,,,,,,,,,,,,1,1,1,1,
stage_c_07,C,single_turn_oct21,mentor_manual,2025-10-21T18:36:00.943758Z,evals-for-papers/results/raw_logs/stage_c/stage_c_07.txt,evals-for-papers/results/raw_logs/stage_c/stage_c_07_tools.json,0,1,1,0,1,1.0,2.00,2.00,2.00,0.87,0.67,2.00,1.00,2.00,2.00,,,,,,,,,,,,,,1,1,1,1,
stage_c_08,C,single_turn_oct21,mentor_manual,2025-10-21T18:39:00.264151Z,evals-for-papers/results/raw_logs/stage_c/stage_c_08.txt,evals-for-papers/results/raw_logs/stage_c/stage_c_08_tools.json,0,1,1,0,0,1.0,2.00,2.00,1.67,0.93,1.33,2.00,2.00,2.00,2.00,,,,,,,,,,1,,,,1,1,,1,
stage_c_09,C,single_turn_oct21,mentor_manual,2025-10-21T18:42:32.048504Z,evals-for-papers/results/raw_logs/stage_c/stage_c_09.txt,evals-for-papers/results/raw_logs/stage_c/stage_c_09_tools.json,1,1,1,0,1,1.0,1.33,2.00,1.67,0.87,0.67,2.00,2.00,2.00,2.00,,,,,,,,1,,,,,,1,,0,1,
stage_c_10,C,single_turn_oct21,mentor_manual,2025-10-21T18:45:35.853285Z,evals-for-papers/results/raw_logs/stage_c/stage_c_10.txt,evals-for-papers/results/raw_logs/stage_c/stage_c_10_tools.json,0,1,1,0,0,1.0,2.00,2.00,2.00,0.93,1.33,2.00,1.67,2.00,2.00,1,,,,,,,,,,,,,1,1,,1,
stage_c_11,C,single_turn_oct21,mentor_manual,2025-10-21T18:48:17.893759Z,evals-for-papers/results/raw_logs/stage_c/stage_c_11.txt,evals-for-papers/results/raw_logs/stage_c/stage_c_11_tools.json,0,1,1,0,0,1.0,2.00,1.97,2.00,0.80,0.67,2.00,1.67,2.00,2.00,,,,,,,,,,,,,,1,1,1,1,
stage_c_12,C,single_turn_oct21,mentor_manual,2025-10-21T18:51:14.922533Z,evals-for-papers/results/raw_logs/stage_c/stage_c_12.txt,evals-for-papers/results/raw_logs/stage_c/stage_c_12_tools.json,0,1,1,0,0,1.0,2.00,2.00,2.00,0.87,0.67,2.00,2.00,2.00,2.00,,,,,,,,1,,,,,,1,1,,1,
stage_c_13,C,single_turn_oct21,mentor_manual,2025-10-21T18:54:02.820106Z,evals-for-papers/results/raw_logs/stage_c/stage_c_13.txt,evals-for-papers/results/raw_logs/stage_c/stage_c_13_tools.json,0,1,1,0,0,1.0,2.00,2.00,2.00,0.90,0.67,2.00,2.00,2.00,2.00,,,,,,,,,,,,,,1,,1,1,
stage_c_14,C,single_turn_oct21,mentor_manual,2025-10-21T18:57:08.636361Z,evals-for-papers/results/raw_logs/stage_c/stage_c_14.txt,evals-for-papers/results/raw_logs/stage_c/stage_c_14_tools.json,0,1,1,0,0,1.0,2.00,2.00,2.00,0.93,0.67,2.00,2.00,2.00,2.00,,,,,,,,1,,,,,,1,,1,1,
stage_c_15,C,single_turn_oct21,mentor_manual,2025-10-21T19:00:45.677624Z,evals-for-papers/results/raw_logs/stage_c/stage_c_15.txt,evals-for-papers/results/raw_logs/stage_c/stage_c_15_tools.json,0,1,1,0,1,1.0,1.67,2.00,2.00,1.00,0.67,1.67,1.67,2.00,2.00,,,,,,,,,,,,,,1,1,1,1,
