prompt_id,stage,annotator,system_id,run_timestamp,response_path,tool_trace_path,tool_routing,citation_presence,citation_validity,fallback_robustness,asks_questions,evidence_integrity,rag_fidelity_score,citation_relevance_score,source_fit_score,actionability_score,question_quality_score,citation_quality_score,persona_compliance_score,stage_awareness_score,tone_constructive_score,constraint_handling,timeline_guidance,expectation_management,novelty_assessment,evidence_gap_detection,hypothesis_generation,distractor_rejection,experiment_design,scope_feasibility,feasibility_analysis,skills_gap_guidance,domain_mapping,risk_analysis,plan_completeness,resource_estimation,timeline_quality,risk_mitigation,additional_notes,student_actionability_score,student_clarity_score,student_constraint_fit_score,student_confidence_gain_score,student_path_ready,student_failure_modes,student_outcome_score
stage_c_01,C,student_judge_pilot,mentor_manual,2025-10-28T12:16:32.835858Z,evals-for-papers/results/raw_logs/stage_c/stage_c_01.txt,evals-for-papers/results/raw_logs/stage_c/stage_c_01_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.93,1.17,0.73,1.03,1,1,0.96
stage_c_02,C,student_judge_pilot,mentor_manual,2025-10-28T12:17:26.670343Z,evals-for-papers/results/raw_logs/stage_c/stage_c_02.txt,evals-for-papers/results/raw_logs/stage_c/stage_c_02_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40,1.67,1.10,1.50,1,1,1.41
stage_c_03,C,student_judge_pilot,mentor_manual,2025-10-28T12:18:10.919474Z,evals-for-papers/results/raw_logs/stage_c/stage_c_03.txt,evals-for-papers/results/raw_logs/stage_c/stage_c_03_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,1.27,0.73,1.00,0,1,1.00
stage_c_04,C,student_judge_pilot,mentor_manual,2025-10-28T12:18:34.744360Z,evals-for-papers/results/raw_logs/stage_c/stage_c_04.txt,evals-for-papers/results/raw_logs/stage_c/stage_c_04_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43,1.67,1.50,1.47,1,1,1.51
stage_c_05,C,student_judge_pilot,mentor_manual,2025-10-28T12:24:44.831731Z,evals-for-papers/results/raw_logs/stage_c/stage_c_05.txt,evals-for-papers/results/raw_logs/stage_c/stage_c_05_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.70,1.67,1.67,1.60,1,1,1.67
stage_c_06,C,student_judge_pilot,mentor_manual,2025-10-28T12:27:47.411679Z,evals-for-papers/results/raw_logs/stage_c/stage_c_06.txt,evals-for-papers/results/raw_logs/stage_c/stage_c_06_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.23,1.43,1.10,1.33,0,1,1.26
stage_c_07,C,student_judge_pilot,mentor_manual,2025-10-28T12:28:41.526228Z,evals-for-papers/results/raw_logs/stage_c/stage_c_07.txt,evals-for-papers/results/raw_logs/stage_c/stage_c_07_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.83,1.87,1.70,1.90,1,1,1.82
stage_c_08,C,student_judge_pilot,mentor_manual,2025-10-28T12:30:53.040317Z,evals-for-papers/results/raw_logs/stage_c/stage_c_08.txt,evals-for-papers/results/raw_logs/stage_c/stage_c_08_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37,1.60,1.13,1.30,1,1,1.36
stage_c_09,C,student_judge_pilot,mentor_manual,2025-10-28T12:37:08.146191Z,evals-for-papers/results/raw_logs/stage_c/stage_c_09.txt,evals-for-papers/results/raw_logs/stage_c/stage_c_09_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.03,1.33,0.83,1.03,0,0,1.06
stage_c_10,C,student_judge_pilot,mentor_manual,2025-10-28T12:37:32.802230Z,evals-for-papers/results/raw_logs/stage_c/stage_c_10.txt,evals-for-papers/results/raw_logs/stage_c/stage_c_10_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.67,1.93,1.53,1.67,1,1,1.70
