prompt_id,stage,annotator,system_id,run_timestamp,response_path,tool_trace_path,tool_routing,citation_validity,fallback_robustness,evidence_integrity,rag_fidelity_score,citation_relevance_score,source_fit_score,actionability_score,clarification_quality_score,citation_quality_score,persona_compliance_score,stage_awareness_score,tone_constructive_score,timeline_guidance,expectation_management,novelty_assessment,evidence_gap_detection,hypothesis_generation,distractor_rejection,experiment_design,scope_feasibility,feasibility_analysis,skills_gap_guidance,domain_mapping,risk_analysis,plan_completeness,resource_estimation,timeline_quality,risk_mitigation,additional_notes,student_actionability_score,student_clarity_score,student_constraint_fit_score,student_confidence_gain_score,student_path_ready,student_failure_modes,student_outcome_score
stage_c_01,C,student_judge_upgrade,mentor_manual,2025-10-31T20:14:56.680926Z,evals-for-papers/results/raw_logs/stage_c/stage_c_01.txt,evals-for-papers/results/raw_logs/stage_c/stage_c_01_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37,1.60,1.00,1.43,1,1,1.34
stage_c_02,C,student_judge_upgrade,mentor_manual,2025-10-31T20:15:19.466526Z,evals-for-papers/results/raw_logs/stage_c/stage_c_02.txt,evals-for-papers/results/raw_logs/stage_c/stage_c_02_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.70,1.67,1.17,1.57,1,1,1.54
stage_c_03,C,student_judge_upgrade,mentor_manual,2025-10-31T20:15:40.327393Z,evals-for-papers/results/raw_logs/stage_c/stage_c_03.txt,evals-for-papers/results/raw_logs/stage_c/stage_c_03_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.10,1.23,0.73,0.83,1,1,1.00
stage_c_04,C,student_judge_upgrade,mentor_manual,2025-10-31T20:16:00.337166Z,evals-for-papers/results/raw_logs/stage_c/stage_c_04.txt,evals-for-papers/results/raw_logs/stage_c/stage_c_04_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,1.67,1.53,1.30,1,1,1.52
stage_c_05,C,student_judge_upgrade,mentor_manual,2025-10-31T20:16:24.799320Z,evals-for-papers/results/raw_logs/stage_c/stage_c_05.txt,evals-for-papers/results/raw_logs/stage_c/stage_c_05_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.60,1.57,1.57,1.37,1,1,1.55
stage_c_06,C,student_judge_upgrade,mentor_manual,2025-10-31T20:16:43.794674Z,evals-for-papers/results/raw_logs/stage_c/stage_c_06.txt,evals-for-papers/results/raw_logs/stage_c/stage_c_06_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.60,1.60,1.40,1.47,1,1,1.53
stage_c_07,C,student_judge_upgrade,mentor_manual,2025-10-31T20:17:01.497577Z,evals-for-papers/results/raw_logs/stage_c/stage_c_07.txt,evals-for-papers/results/raw_logs/stage_c/stage_c_07_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.77,1.87,1.70,1.73,1,1,1.77
stage_c_08,C,student_judge_upgrade,mentor_manual,2025-10-31T20:17:25.570545Z,evals-for-papers/results/raw_logs/stage_c/stage_c_08.txt,evals-for-papers/results/raw_logs/stage_c/stage_c_08_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,1.60,1.13,1.43,1,1,1.42
stage_c_09,C,student_judge_upgrade,mentor_manual,2025-10-31T20:17:42.878073Z,evals-for-papers/results/raw_logs/stage_c/stage_c_09.txt,evals-for-papers/results/raw_logs/stage_c/stage_c_09_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.23,1.50,0.90,1.10,0,0,1.20
stage_c_10,C,student_judge_upgrade,mentor_manual,2025-10-31T20:18:03.878675Z,evals-for-papers/results/raw_logs/stage_c/stage_c_10.txt,evals-for-papers/results/raw_logs/stage_c/stage_c_10_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.77,1.87,1.47,1.70,1,1,1.71
stage_c_11,C,student_judge_upgrade,mentor_manual,2025-10-31T20:18:22.462620Z,evals-for-papers/results/raw_logs/stage_c/stage_c_11.txt,evals-for-papers/results/raw_logs/stage_c/stage_c_11_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07,1.43,0.70,1.10,0,1,1.07
stage_c_12,C,student_judge_upgrade,mentor_manual,2025-10-31T20:18:42.828208Z,evals-for-papers/results/raw_logs/stage_c/stage_c_12.txt,evals-for-papers/results/raw_logs/stage_c/stage_c_12_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.30,1.60,1.27,1.23,1,1,1.36
stage_c_13,C,student_judge_upgrade,mentor_manual,2025-10-31T20:18:59.016837Z,evals-for-papers/results/raw_logs/stage_c/stage_c_13.txt,evals-for-papers/results/raw_logs/stage_c/stage_c_13_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.63,1.53,1.27,1.30,1,1,1.47
stage_c_14,C,student_judge_upgrade,mentor_manual,2025-10-31T20:19:18.270070Z,evals-for-papers/results/raw_logs/stage_c/stage_c_14.txt,evals-for-papers/results/raw_logs/stage_c/stage_c_14_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.47,1.60,1.10,1.53,1,1,1.42
stage_c_15,C,student_judge_upgrade,mentor_manual,2025-10-31T20:19:35.062721Z,evals-for-papers/results/raw_logs/stage_c/stage_c_15.txt,evals-for-papers/results/raw_logs/stage_c/stage_c_15_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.33,1.57,1.10,1.40,1,1,1.34
