prompt_id,stage,annotator,system_id,run_timestamp,response_path,tool_trace_path,tool_routing,citation_validity,fallback_robustness,evidence_integrity,rag_fidelity_score,citation_relevance_score,source_fit_score,actionability_score,clarification_quality_score,citation_quality_score,persona_compliance_score,stage_awareness_score,tone_constructive_score,timeline_guidance,expectation_management,novelty_assessment,evidence_gap_detection,hypothesis_generation,distractor_rejection,experiment_design,scope_feasibility,feasibility_analysis,skills_gap_guidance,domain_mapping,risk_analysis,plan_completeness,resource_estimation,timeline_quality,risk_mitigation,additional_notes,student_actionability_score,student_clarity_score,student_constraint_fit_score,student_confidence_gain_score,student_path_ready,student_failure_modes,student_outcome_score
stage_c_01,C,student_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-10-31T20:54:59.894700Z,evals-for-papers/results/raw_logs/stage_c/stage_c_01_openrouter-anthropic_claude-sonnet-4.5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.10,1.40,0.57,1.00,0,1,1.03
stage_c_02,C,student_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-10-31T20:55:12.797404Z,evals-for-papers/results/raw_logs/stage_c/stage_c_02_openrouter-anthropic_claude-sonnet-4.5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.17,1.30,0.43,1.07,0,0,1.00
stage_c_03,C,student_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-10-31T20:55:34.081843Z,evals-for-papers/results/raw_logs/stage_c/stage_c_03_openrouter-anthropic_claude-sonnet-4.5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.87,1.30,0.70,1.00,0,1,0.95
stage_c_04,C,student_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-10-31T20:56:04.057884Z,evals-for-papers/results/raw_logs/stage_c/stage_c_04_openrouter-anthropic_claude-sonnet-4.5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,1.30,1.37,1.33,1,1,1.22
stage_c_05,C,student_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-10-31T20:56:30.440428Z,evals-for-papers/results/raw_logs/stage_c/stage_c_05_openrouter-anthropic_claude-sonnet-4.5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,1.70,1.63,1.70,1,0,1.61
stage_c_06,C,student_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-10-31T20:56:47.413047Z,evals-for-papers/results/raw_logs/stage_c/stage_c_06_openrouter-anthropic_claude-sonnet-4.5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.80,1.13,0.57,0.77,0,0,0.82
stage_c_07,C,student_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-10-31T20:57:15.484110Z,evals-for-papers/results/raw_logs/stage_c/stage_c_07_openrouter-anthropic_claude-sonnet-4.5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37,1.40,1.07,1.37,1,0,1.30
stage_c_08,C,student_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-10-31T20:57:30.181772Z,evals-for-papers/results/raw_logs/stage_c/stage_c_08_openrouter-anthropic_claude-sonnet-4.5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.23,1.50,1.17,1.43,1,1,1.31
stage_c_09,C,student_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-10-31T20:57:50.223160Z,evals-for-papers/results/raw_logs/stage_c/stage_c_09_openrouter-anthropic_claude-sonnet-4.5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.03,1.37,0.67,0.90,0,0,1.00
stage_c_10,C,student_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-10-31T20:58:09.133093Z,evals-for-papers/results/raw_logs/stage_c/stage_c_10_openrouter-anthropic_claude-sonnet-4.5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.03,1.40,1.03,1.03,0,0,1.12
stage_c_11,C,student_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-10-31T20:58:28.073004Z,evals-for-papers/results/raw_logs/stage_c/stage_c_11_openrouter-anthropic_claude-sonnet-4.5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.77,1.20,0.47,1.13,0,1,0.85
stage_c_12,C,student_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-10-31T20:58:46.278229Z,evals-for-papers/results/raw_logs/stage_c/stage_c_12_openrouter-anthropic_claude-sonnet-4.5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.27,1.50,1.50,1.23,1,1,1.38
stage_c_13,C,student_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-10-31T20:59:01.758080Z,evals-for-papers/results/raw_logs/stage_c/stage_c_13_openrouter-anthropic_claude-sonnet-4.5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70,1.23,0.50,0.83,0,0,0.80
stage_c_14,C,student_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-10-31T20:59:22.881382Z,evals-for-papers/results/raw_logs/stage_c/stage_c_14_openrouter-anthropic_claude-sonnet-4.5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.87,1.20,0.63,1.30,0,0,0.96
stage_c_15,C,student_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-10-31T20:59:40.591009Z,evals-for-papers/results/raw_logs/stage_c/stage_c_15_openrouter-anthropic_claude-sonnet-4.5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.13,1.40,0.80,1.07,0,0,1.11
