prompt_id,stage,annotator,system_id,run_timestamp,response_path,tool_trace_path,tool_routing,citation_validity,fallback_robustness,evidence_integrity,rag_fidelity_score,citation_relevance_score,source_fit_score,actionability_score,clarification_quality_score,citation_quality_score,persona_compliance_score,stage_awareness_score,tone_constructive_score,timeline_guidance,expectation_management,novelty_assessment,evidence_gap_detection,hypothesis_generation,distractor_rejection,experiment_design,scope_feasibility,feasibility_analysis,skills_gap_guidance,domain_mapping,risk_analysis,plan_completeness,resource_estimation,timeline_quality,risk_mitigation,additional_notes,student_actionability_score,student_clarity_score,student_constraint_fit_score,student_confidence_gain_score,student_path_ready,student_failure_modes,student_outcome_score
stage_d_01,D,expert_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-11-01T17:24:32.505165Z,evals-for-papers/results/raw_logs/stage_d/stage_d_01_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,,0.0,2.00,0.00,2.00,0.53,,0.00,2.00,2.00,1.67,,,,,,,1,,,,,1,,,,,,,,,,,,
stage_d_02,D,expert_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-11-01T17:26:14.044813Z,evals-for-papers/results/raw_logs/stage_d/stage_d_02_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,,0.0,2.00,0.00,2.00,0.93,,0.00,2.00,2.00,2.00,,,,,,,1,,,,,,,,,,,,,,,,,
stage_d_03,D,expert_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-11-01T17:28:04.058290Z,evals-for-papers/results/raw_logs/stage_d/stage_d_03_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,,0.0,2.00,0.00,2.00,0.87,,0.00,1.67,2.00,2.00,,,,1,,,,,,,,0,,,,,,,,,,,,
stage_d_04,D,expert_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-11-01T17:30:00.211639Z,evals-for-papers/results/raw_logs/stage_d/stage_d_04_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,,0.0,0.50,0.00,1.33,0.87,,0.00,2.00,2.00,2.00,,,,,,,1,,,,,,,1,,,,,,,,,,
stage_d_05,D,expert_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-11-01T17:31:50.649311Z,evals-for-papers/results/raw_logs/stage_d/stage_d_05_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,,0.0,0.83,0.00,1.33,0.67,,0.00,2.00,1.33,1.67,,,,,,,1,,,,,1,,,,,,,,,,,,
stage_d_06,D,expert_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-11-01T17:33:46.349762Z,evals-for-papers/results/raw_logs/stage_d/stage_d_06_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,,0.0,1.33,0.00,2.00,0.77,,0.00,2.00,2.00,2.00,,,,1,,,,,,,,1,,,,,,,,,,,,
stage_d_07,D,expert_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-11-01T17:35:33.473241Z,evals-for-papers/results/raw_logs/stage_d/stage_d_07_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,,0.0,1.50,0.00,2.00,0.73,,0.00,1.67,1.33,2.00,,,,,,,1,,,,,0,,,,,,,,,,,,
stage_d_08,D,expert_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-11-01T17:37:35.351135Z,evals-for-papers/results/raw_logs/stage_d/stage_d_08_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,,0.0,0.67,0.00,1.33,0.80,,0.00,1.67,1.67,1.67,,,,,,,1,,,,,0,,,,,,,,,,,,
stage_d_10,D,expert_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-11-01T17:39:45.944900Z,evals-for-papers/results/raw_logs/stage_d/stage_d_10_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,,0.0,1.50,0.00,0.33,0.73,,0.00,1.33,1.33,1.67,,,,,,,1,,,,,1,,,,,,,,,,,,
stage_d_11,D,expert_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-11-01T17:41:41.165249Z,evals-for-papers/results/raw_logs/stage_d/stage_d_11_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,,0.0,1.67,0.00,1.00,0.80,,0.00,1.67,2.00,1.67,,,,,,,1,,,,,0,,,,,,,,,,,,
