prompt_id,stage,annotator,system_id,run_timestamp,response_path,tool_trace_path,tool_routing,citation_validity,fallback_robustness,evidence_integrity,rag_fidelity_score,citation_relevance_score,source_fit_score,actionability_score,clarification_quality_score,citation_quality_score,persona_compliance_score,stage_awareness_score,tone_constructive_score,timeline_guidance,expectation_management,novelty_assessment,evidence_gap_detection,hypothesis_generation,distractor_rejection,experiment_design,scope_feasibility,feasibility_analysis,skills_gap_guidance,domain_mapping,risk_analysis,plan_completeness,resource_estimation,timeline_quality,risk_mitigation,additional_notes,student_actionability_score,student_clarity_score,student_constraint_fit_score,student_confidence_gain_score,student_path_ready,student_failure_modes,student_outcome_score
stage_d_01,D,student_judge_upgrade,openrouter:openai/gpt-5,2025-11-01T18:25:01.385594Z,evals-for-papers/results/raw_logs/stage_d/stage_d_01_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37,1.57,1.10,1.37,1,1,1.35
stage_d_02,D,student_judge_upgrade,openrouter:openai/gpt-5,2025-11-01T18:25:28.801358Z,evals-for-papers/results/raw_logs/stage_d/stage_d_02_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40,1.73,1.03,1.67,1,0,1.43
stage_d_03,D,student_judge_upgrade,openrouter:openai/gpt-5,2025-11-01T18:25:57.616052Z,evals-for-papers/results/raw_logs/stage_d/stage_d_03_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43,1.60,1.07,1.47,1,0,1.39
stage_d_04,D,student_judge_upgrade,openrouter:openai/gpt-5,2025-11-01T18:26:15.505349Z,evals-for-papers/results/raw_logs/stage_d/stage_d_04_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.57,1.73,1.27,1.50,1,1,1.52
stage_d_05,D,student_judge_upgrade,openrouter:openai/gpt-5,2025-11-01T18:26:35.089921Z,evals-for-papers/results/raw_logs/stage_d/stage_d_05_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37,1.67,1.17,1.50,0,1,1.41
stage_d_06,D,student_judge_upgrade,openrouter:openai/gpt-5,2025-11-01T18:26:53.725422Z,evals-for-papers/results/raw_logs/stage_d/stage_d_06_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.47,1.57,1.17,1.60,1,1,1.44
stage_d_07,D,student_judge_upgrade,openrouter:openai/gpt-5,2025-11-01T18:27:10.933478Z,evals-for-papers/results/raw_logs/stage_d/stage_d_07_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37,1.67,1.13,1.43,1,0,1.39
stage_d_08,D,student_judge_upgrade,openrouter:openai/gpt-5,2025-11-01T18:27:46.901379Z,evals-for-papers/results/raw_logs/stage_d/stage_d_08_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.53,1.67,1.27,1.47,1,1,1.49
stage_d_09,D,student_judge_upgrade,openrouter:openai/gpt-5,2025-11-01T18:28:04.597166Z,evals-for-papers/results/raw_logs/stage_d/stage_d_09_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,1.67,1.30,1.50,1,1,1.49
stage_d_10,D,student_judge_upgrade,openrouter:openai/gpt-5,2025-11-01T18:28:22.592277Z,evals-for-papers/results/raw_logs/stage_d/stage_d_10_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.53,1.67,1.03,1.50,0,1,1.44
stage_d_11,D,student_judge_upgrade,openrouter:openai/gpt-5,2025-11-01T18:28:47.972483Z,evals-for-papers/results/raw_logs/stage_d/stage_d_11_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,1.40,0.63,1.03,0,1,1.00
stage_d_12,D,student_judge_upgrade,openrouter:openai/gpt-5,2025-11-01T18:29:07.097105Z,evals-for-papers/results/raw_logs/stage_d/stage_d_12_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.13,1.50,0.93,1.10,1,0,1.17
stage_d_13,D,student_judge_upgrade,openrouter:openai/gpt-5,2025-11-01T18:29:26.239258Z,evals-for-papers/results/raw_logs/stage_d/stage_d_13_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.30,1.40,1.07,1.17,1,1,1.25
stage_d_14,D,student_judge_upgrade,openrouter:openai/gpt-5,2025-11-01T18:29:51.912274Z,evals-for-papers/results/raw_logs/stage_d/stage_d_14_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,1.60,1.53,1.50,1,1,1.53
stage_d_15,D,student_judge_upgrade,openrouter:openai/gpt-5,2025-11-01T18:30:11.963042Z,evals-for-papers/results/raw_logs/stage_d/stage_d_15_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.57,1.67,1.30,1.57,1,1,1.52
