prompt_id,stage,annotator,system_id,run_timestamp,response_path,tool_trace_path,tool_routing,citation_presence,citation_validity,fallback_robustness,asks_questions,evidence_integrity,rag_fidelity_score,citation_relevance_score,source_fit_score,actionability_score,question_quality_score,citation_quality_score,persona_compliance_score,stage_awareness_score,tone_constructive_score,constraint_handling,timeline_guidance,expectation_management,novelty_assessment,evidence_gap_detection,hypothesis_generation,distractor_rejection,experiment_design,scope_feasibility,feasibility_analysis,skills_gap_guidance,domain_mapping,risk_analysis,plan_completeness,resource_estimation,timeline_quality,risk_mitigation,additional_notes
stage_e_01,E,single_turn_oct21,openrouter:anthropic/claude-sonnet-4.5,2025-10-22T11:31:23.894261Z,evals-for-papers/results/raw_logs/stage_e/stage_e_01_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,1,,0,1.0,1.17,2.00,1.67,0.73,0.67,2.00,2.00,2.00,2.00,,,1,,1,,,,,,,,1,,,,,
stage_e_02,E,single_turn_oct21,openrouter:anthropic/claude-sonnet-4.5,2025-10-22T11:33:10.905694Z,evals-for-papers/results/raw_logs/stage_e/stage_e_02_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,1,1,,1,1.0,1.17,2.00,2.00,0.67,0.67,2.00,2.00,2.00,2.00,,,1,,,,,,,,,,,,,,1,
stage_e_03,E,single_turn_oct21,openrouter:anthropic/claude-sonnet-4.5,2025-10-22T11:35:08.673942Z,evals-for-papers/results/raw_logs/stage_e/stage_e_03_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,1,1,,0,1.0,1.17,2.00,2.00,0.93,0.67,1.33,2.00,2.00,2.00,,,,,1,,,,,,,,1,,,,,
stage_e_04,E,single_turn_oct21,openrouter:anthropic/claude-sonnet-4.5,2025-10-22T11:37:13.906938Z,evals-for-papers/results/raw_logs/stage_e/stage_e_04_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,1,1,,1,1.0,1.00,1.33,2.00,0.93,0.67,0.67,2.00,1.33,2.00,,,,,,,,1,,,,,,,,,,
stage_e_05,E,single_turn_oct21,openrouter:anthropic/claude-sonnet-4.5,2025-10-22T11:39:20.498547Z,evals-for-papers/results/raw_logs/stage_e/stage_e_05_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,1,1,,1,1.0,1.17,1.33,2.00,0.80,0.67,0.67,1.33,2.00,2.00,,,1,,1,,,,,,,,,,,,,
stage_e_06,E,single_turn_oct21,openrouter:anthropic/claude-sonnet-4.5,2025-10-22T11:41:50.504711Z,evals-for-papers/results/raw_logs/stage_e/stage_e_06_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,1,,1,0.8333333333333334,0.83,0.00,1.33,0.80,0.67,0.00,2.00,2.00,2.00,,,1,,,,,,,,,,1,,,,,
stage_e_07,E,single_turn_oct21,openrouter:anthropic/claude-sonnet-4.5,2025-10-22T11:44:13.574443Z,evals-for-papers/results/raw_logs/stage_e/stage_e_07_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,1,,1,1.0,1.33,2.00,2.00,0.87,0.67,1.67,2.00,2.00,2.00,,,1,,,,,,,,,,,,,,1,
stage_e_08,E,single_turn_oct21,openrouter:anthropic/claude-sonnet-4.5,2025-10-22T11:46:39.812142Z,evals-for-papers/results/raw_logs/stage_e/stage_e_08_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,1,1,,0,1.0,1.67,2.00,2.00,0.87,0.67,2.00,2.00,2.00,2.00,,,,,1,,,,,,,,,,,,1,
stage_e_09,E,single_turn_oct21,openrouter:anthropic/claude-sonnet-4.5,2025-10-22T11:49:37.406967Z,evals-for-papers/results/raw_logs/stage_e/stage_e_09_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,1,,1,1.0,2.00,2.00,2.00,0.93,0.67,1.67,2.00,2.00,2.00,,,1,,,,,,,,,,1,,,,,
stage_e_10,E,single_turn_oct21,openrouter:anthropic/claude-sonnet-4.5,2025-10-22T11:52:10.433655Z,evals-for-papers/results/raw_logs/stage_e/stage_e_10_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,1,1,,1,1.0,1.50,1.67,2.00,1.00,0.67,2.00,1.67,2.00,2.00,,,1,,,,,,,,,,,,,,1,
stage_e_11,E,single_turn_oct21,openrouter:anthropic/claude-sonnet-4.5,2025-10-22T11:54:29.573218Z,evals-for-papers/results/raw_logs/stage_e/stage_e_11_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,1,1,,1,1.0,1.00,1.33,2.00,0.93,0.67,1.67,2.00,1.33,2.00,,,1,,,,,,,,,,,,,,1,
stage_e_12,E,single_turn_oct21,openrouter:anthropic/claude-sonnet-4.5,2025-10-22T11:57:21.496250Z,evals-for-papers/results/raw_logs/stage_e/stage_e_12_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,1,1,,1,0.8333333333333334,0.83,1.00,1.83,0.73,0.67,1.00,2.00,2.00,2.00,,,1,,,,,,,,,,,,,,1,
stage_e_13,E,single_turn_oct21,openrouter:anthropic/claude-sonnet-4.5,2025-10-22T11:59:59.999395Z,evals-for-papers/results/raw_logs/stage_e/stage_e_13_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,1,1,,1,1.0,1.50,1.67,2.00,0.47,0.67,1.00,1.00,1.67,2.00,,,1,,,,,,,,,,1,,,,,
stage_e_14,E,single_turn_oct21,openrouter:anthropic/claude-sonnet-4.5,2025-10-22T12:02:39.836234Z,evals-for-papers/results/raw_logs/stage_e/stage_e_14_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,1,1,,1,0.8333333333333334,0.83,1.73,2.00,0.60,0.67,1.27,1.83,2.00,2.00,,,1,,,,,,,,,,,,,,1,
stage_e_15,E,single_turn_oct21,openrouter:anthropic/claude-sonnet-4.5,2025-10-22T12:05:34.278881Z,evals-for-papers/results/raw_logs/stage_e/stage_e_15_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,1,,0,0.8333333333333334,0.83,1.67,2.00,0.67,0.67,0.93,1.00,1.33,2.00,,,0,,,,,,,,,,,,,,1,
