prompt_id,stage,annotator,system_id,run_timestamp,response_path,tool_trace_path,tool_routing,citation_validity,fallback_robustness,evidence_integrity,rag_fidelity_score,citation_relevance_score,source_fit_score,actionability_score,clarification_quality_score,citation_quality_score,persona_compliance_score,stage_awareness_score,tone_constructive_score,timeline_guidance,expectation_management,novelty_assessment,evidence_gap_detection,hypothesis_generation,distractor_rejection,experiment_design,scope_feasibility,feasibility_analysis,skills_gap_guidance,domain_mapping,risk_analysis,plan_completeness,resource_estimation,timeline_quality,risk_mitigation,additional_notes,student_actionability_score,student_clarity_score,student_constraint_fit_score,student_confidence_gain_score,student_path_ready,student_failure_modes,student_outcome_score
stage_e_01,E,student_judge_upgrade,mentor_manual,2025-11-01T18:55:03.426919Z,evals-for-papers/results/raw_logs/stage_e/stage_e_01.txt,evals-for-papers/results/raw_logs/stage_e/stage_e_01_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.53,1.87,1.23,1.73,1,1,1.57
stage_e_02,E,student_judge_upgrade,mentor_manual,2025-11-01T18:55:19.897550Z,evals-for-papers/results/raw_logs/stage_e/stage_e_02.txt,evals-for-papers/results/raw_logs/stage_e/stage_e_02_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.30,1.70,0.87,1.47,0,1,1.32
stage_e_03,E,student_judge_upgrade,mentor_manual,2025-11-01T18:55:46.978830Z,evals-for-papers/results/raw_logs/stage_e/stage_e_03.txt,evals-for-papers/results/raw_logs/stage_e/stage_e_03_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.53,1.77,1.23,1.57,1,1,1.52
stage_e_04,E,student_judge_upgrade,mentor_manual,2025-11-01T18:56:06.534963Z,evals-for-papers/results/raw_logs/stage_e/stage_e_04.txt,evals-for-papers/results/raw_logs/stage_e/stage_e_04_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.80,1.80,1.47,1.63,1,1,1.69
stage_e_05,E,student_judge_upgrade,mentor_manual,2025-11-01T18:56:24.754220Z,evals-for-papers/results/raw_logs/stage_e/stage_e_05.txt,evals-for-papers/results/raw_logs/stage_e/stage_e_05_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.23,1.60,0.77,1.50,1,0,1.25
stage_e_06,E,student_judge_upgrade,mentor_manual,2025-11-01T18:56:42.552990Z,evals-for-papers/results/raw_logs/stage_e/stage_e_06.txt,evals-for-papers/results/raw_logs/stage_e/stage_e_06_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.30,1.60,1.00,1.67,1,0,1.35
stage_e_07,E,student_judge_upgrade,mentor_manual,2025-11-01T18:57:05.696337Z,evals-for-papers/results/raw_logs/stage_e/stage_e_07.txt,evals-for-papers/results/raw_logs/stage_e/stage_e_07_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.47,1.67,1.13,1.63,1,1,1.46
stage_e_08,E,student_judge_upgrade,mentor_manual,2025-11-01T18:57:25.836279Z,evals-for-papers/results/raw_logs/stage_e/stage_e_08.txt,evals-for-papers/results/raw_logs/stage_e/stage_e_08_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.73,1.80,1.33,1.67,1,0,1.64
stage_e_09,E,student_judge_upgrade,mentor_manual,2025-11-01T18:57:39.786252Z,evals-for-papers/results/raw_logs/stage_e/stage_e_09.txt,evals-for-papers/results/raw_logs/stage_e/stage_e_09_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37,1.67,1.27,1.30,1,0,1.41
stage_e_10,E,student_judge_upgrade,mentor_manual,2025-11-01T18:58:06.758254Z,evals-for-papers/results/raw_logs/stage_e/stage_e_10.txt,evals-for-papers/results/raw_logs/stage_e/stage_e_10_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.57,1.73,1.27,1.57,1,0,1.53
stage_e_11,E,student_judge_upgrade,mentor_manual,2025-11-01T18:58:30.457745Z,evals-for-papers/results/raw_logs/stage_e/stage_e_11.txt,evals-for-papers/results/raw_logs/stage_e/stage_e_11_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.53,1.67,1.10,1.63,1,1,1.47
stage_e_12,E,student_judge_upgrade,mentor_manual,2025-11-01T18:59:00.648259Z,evals-for-papers/results/raw_logs/stage_e/stage_e_12.txt,evals-for-papers/results/raw_logs/stage_e/stage_e_12_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.87,1.87,1.37,1.73,1,1,1.72
stage_e_13,E,student_judge_upgrade,mentor_manual,2025-11-01T18:59:24.107139Z,evals-for-papers/results/raw_logs/stage_e/stage_e_13.txt,evals-for-papers/results/raw_logs/stage_e/stage_e_13_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.03,1.50,1.73,1.73,1,1,1.43
stage_e_14,E,student_judge_upgrade,mentor_manual,2025-11-01T18:59:48.235333Z,evals-for-papers/results/raw_logs/stage_e/stage_e_14.txt,evals-for-papers/results/raw_logs/stage_e/stage_e_14_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.70,1.87,1.30,1.67,1,1,1.64
stage_e_15,E,student_judge_upgrade,mentor_manual,2025-11-01T19:00:06.871235Z,evals-for-papers/results/raw_logs/stage_e/stage_e_15.txt,evals-for-papers/results/raw_logs/stage_e/stage_e_15_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.20,1.50,0.87,1.30,0,1,1.21
