prompt_id,stage,annotator,system_id,run_timestamp,response_path,tool_trace_path,tool_routing,citation_validity,fallback_robustness,evidence_integrity,rag_fidelity_score,citation_relevance_score,source_fit_score,actionability_score,clarification_quality_score,citation_quality_score,persona_compliance_score,stage_awareness_score,tone_constructive_score,timeline_guidance,expectation_management,novelty_assessment,evidence_gap_detection,hypothesis_generation,distractor_rejection,experiment_design,scope_feasibility,feasibility_analysis,skills_gap_guidance,domain_mapping,risk_analysis,plan_completeness,resource_estimation,timeline_quality,risk_mitigation,additional_notes,student_actionability_score,student_clarity_score,student_constraint_fit_score,student_confidence_gain_score,student_path_ready,student_failure_modes,student_outcome_score
stage_e_01,E,student_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-11-01T19:29:34.297345Z,evals-for-papers/results/raw_logs/stage_e/stage_e_01_openrouter-anthropic_claude-sonnet-4.5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.83,1.87,1.57,1.83,1,1,1.77
stage_e_02,E,student_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-11-01T19:29:50.212420Z,evals-for-papers/results/raw_logs/stage_e/stage_e_02_openrouter-anthropic_claude-sonnet-4.5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.23,1.50,0.97,1.70,1,1,1.30
stage_e_03,E,student_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-11-01T19:30:07.856377Z,evals-for-papers/results/raw_logs/stage_e/stage_e_03_openrouter-anthropic_claude-sonnet-4.5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,1.70,1.13,1.47,1,1,1.45
stage_e_04,E,student_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-11-01T19:30:27.176274Z,evals-for-papers/results/raw_logs/stage_e/stage_e_04_openrouter-anthropic_claude-sonnet-4.5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37,1.60,0.90,1.57,1,1,1.34
stage_e_05,E,student_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-11-01T19:30:53.595902Z,evals-for-papers/results/raw_logs/stage_e/stage_e_05_openrouter-anthropic_claude-sonnet-4.5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.93,1.87,1.53,1.83,1,0,1.80
stage_e_06,E,student_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-11-01T19:31:09.552362Z,evals-for-papers/results/raw_logs/stage_e/stage_e_06_openrouter-anthropic_claude-sonnet-4.5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.57,1.77,1.27,1.67,1,1,1.56
stage_e_07,E,student_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-11-01T19:31:35.776140Z,evals-for-papers/results/raw_logs/stage_e/stage_e_07_openrouter-anthropic_claude-sonnet-4.5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.90,1.80,1.40,1.67,1,0,1.71
stage_e_08,E,student_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-11-01T19:31:55.449581Z,evals-for-papers/results/raw_logs/stage_e/stage_e_08_openrouter-anthropic_claude-sonnet-4.5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.47,1.80,1.17,1.63,1,0,1.50
stage_e_09,E,student_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-11-01T19:32:10.871578Z,evals-for-papers/results/raw_logs/stage_e/stage_e_09_openrouter-anthropic_claude-sonnet-4.5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.70,1.87,1.40,1.67,1,1,1.66
stage_e_10,E,student_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-11-01T19:32:29.357788Z,evals-for-papers/results/raw_logs/stage_e/stage_e_10_openrouter-anthropic_claude-sonnet-4.5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.87,1.40,0.47,1.00,0,1,0.92
