prompt_id,stage,annotator,system_id,run_timestamp,response_path,tool_trace_path,tool_routing,citation_validity,fallback_robustness,evidence_integrity,rag_fidelity_score,citation_relevance_score,source_fit_score,actionability_score,clarification_quality_score,citation_quality_score,persona_compliance_score,stage_awareness_score,tone_constructive_score,timeline_guidance,expectation_management,novelty_assessment,evidence_gap_detection,hypothesis_generation,distractor_rejection,experiment_design,scope_feasibility,feasibility_analysis,skills_gap_guidance,domain_mapping,risk_analysis,plan_completeness,resource_estimation,timeline_quality,risk_mitigation,additional_notes,student_actionability_score,student_clarity_score,student_constraint_fit_score,student_confidence_gain_score,student_path_ready,student_failure_modes,student_outcome_score
stage_e_01,E,student_judge_upgrade,openrouter:openai/gpt-5,2025-11-01T20:02:31.782718Z,evals-for-papers/results/raw_logs/stage_e/stage_e_01_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.67,1.87,1.40,1.80,1,1,1.67
stage_e_02,E,student_judge_upgrade,openrouter:openai/gpt-5,2025-11-01T20:03:01.785937Z,evals-for-papers/results/raw_logs/stage_e/stage_e_02_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.47,1.57,1.13,1.67,1,1,1.44
stage_e_03,E,student_judge_upgrade,openrouter:openai/gpt-5,2025-11-01T20:03:22.319224Z,evals-for-papers/results/raw_logs/stage_e/stage_e_03_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.63,1.77,1.33,1.70,1,1,1.60
stage_e_04,E,student_judge_upgrade,openrouter:openai/gpt-5,2025-11-01T20:03:40.369544Z,evals-for-papers/results/raw_logs/stage_e/stage_e_04_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.20,1.50,0.93,1.47,1,1,1.25
stage_e_05,E,student_judge_upgrade,openrouter:openai/gpt-5,2025-11-01T20:04:16.741127Z,evals-for-papers/results/raw_logs/stage_e/stage_e_05_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.30,1.70,0.93,1.63,1,1,1.36
stage_e_06,E,student_judge_upgrade,openrouter:openai/gpt-5,2025-11-01T20:04:33.793440Z,evals-for-papers/results/raw_logs/stage_e/stage_e_06_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.47,1.73,1.03,1.67,1,1,1.46
stage_e_07,E,student_judge_upgrade,openrouter:openai/gpt-5,2025-11-01T20:04:52.449331Z,evals-for-papers/results/raw_logs/stage_e/stage_e_07_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.33,1.60,0.77,1.50,0,1,1.28
stage_e_08,E,student_judge_upgrade,openrouter:openai/gpt-5,2025-11-01T20:05:11.665298Z,evals-for-papers/results/raw_logs/stage_e/stage_e_08_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.60,1.60,1.17,1.50,1,1,1.48
stage_e_09,E,student_judge_upgrade,openrouter:openai/gpt-5,2025-11-01T20:05:27.244779Z,evals-for-papers/results/raw_logs/stage_e/stage_e_09_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,1.67,1.30,1.63,1,0,1.51
stage_e_10,E,student_judge_upgrade,openrouter:openai/gpt-5,2025-11-01T20:05:53.849127Z,evals-for-papers/results/raw_logs/stage_e/stage_e_10_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.27,1.57,1.07,1.37,0,1,1.31
stage_e_11,E,student_judge_upgrade,openrouter:openai/gpt-5,2025-11-01T20:06:11.808297Z,evals-for-papers/results/raw_logs/stage_e/stage_e_11_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,1.57,1.07,1.57,1,1,1.42
stage_e_12,E,student_judge_upgrade,openrouter:openai/gpt-5,2025-11-01T20:06:34.701543Z,evals-for-papers/results/raw_logs/stage_e/stage_e_12_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43,1.57,1.10,1.57,1,1,1.40
stage_e_13,E,student_judge_upgrade,openrouter:openai/gpt-5,2025-11-01T20:07:02.121194Z,evals-for-papers/results/raw_logs/stage_e/stage_e_13_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.27,1.50,1.00,1.37,1,1,1.27
stage_e_14,E,student_judge_upgrade,openrouter:openai/gpt-5,2025-11-01T20:07:16.193741Z,evals-for-papers/results/raw_logs/stage_e/stage_e_14_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.27,1.50,0.93,1.43,1,1,1.27
stage_e_15,E,student_judge_upgrade,openrouter:openai/gpt-5,2025-11-01T20:07:40.729287Z,evals-for-papers/results/raw_logs/stage_e/stage_e_15_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.30,1.57,0.97,1.47,1,0,1.31
