prompt_id,stage,annotator,system_id,run_timestamp,response_path,tool_trace_path,tool_routing,citation_presence,citation_validity,fallback_robustness,asks_questions,evidence_integrity,rag_fidelity_score,citation_relevance_score,source_fit_score,actionability_score,question_quality_score,citation_quality_score,persona_compliance_score,stage_awareness_score,tone_constructive_score,constraint_handling,timeline_guidance,expectation_management,novelty_assessment,evidence_gap_detection,hypothesis_generation,distractor_rejection,experiment_design,scope_feasibility,feasibility_analysis,skills_gap_guidance,domain_mapping,risk_analysis,plan_completeness,resource_estimation,timeline_quality,risk_mitigation,additional_notes
stage_f_01,F,,mentor_manual,2025-10-21T20:57:39.276007Z,evals-for-papers/results/raw_logs/stage_f/stage_f_01.txt,evals-for-papers/results/raw_logs/stage_f/stage_f_01_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage_f_02,F,,mentor_manual,2025-10-21T21:00:02.671534Z,evals-for-papers/results/raw_logs/stage_f/stage_f_02.txt,evals-for-papers/results/raw_logs/stage_f/stage_f_02_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage_f_03,F,,mentor_manual,2025-10-21T21:03:07.101741Z,evals-for-papers/results/raw_logs/stage_f/stage_f_03.txt,evals-for-papers/results/raw_logs/stage_f/stage_f_03_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage_f_04,F,,mentor_manual,2025-10-21T21:08:08.204864Z,evals-for-papers/results/raw_logs/stage_f/stage_f_04.txt,evals-for-papers/results/raw_logs/stage_f/stage_f_04_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage_f_05,F,,mentor_manual,2025-10-21T21:12:28.135603Z,evals-for-papers/results/raw_logs/stage_f/stage_f_05.txt,evals-for-papers/results/raw_logs/stage_f/stage_f_05_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage_f_06,F,,mentor_manual,2025-10-21T21:14:39.017781Z,evals-for-papers/results/raw_logs/stage_f/stage_f_06.txt,evals-for-papers/results/raw_logs/stage_f/stage_f_06_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage_f_07,F,,mentor_manual,2025-10-21T21:17:00.883587Z,evals-for-papers/results/raw_logs/stage_f/stage_f_07.txt,evals-for-papers/results/raw_logs/stage_f/stage_f_07_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage_f_08,F,,mentor_manual,2025-10-21T21:21:33.478026Z,evals-for-papers/results/raw_logs/stage_f/stage_f_08.txt,evals-for-papers/results/raw_logs/stage_f/stage_f_08_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage_f_09,F,,mentor_manual,2025-10-21T21:25:26.260468Z,evals-for-papers/results/raw_logs/stage_f/stage_f_09.txt,evals-for-papers/results/raw_logs/stage_f/stage_f_09_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage_f_10,F,,mentor_manual,2025-10-21T21:27:34.628641Z,evals-for-papers/results/raw_logs/stage_f/stage_f_10.txt,evals-for-papers/results/raw_logs/stage_f/stage_f_10_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage_f_11,F,,mentor_manual,2025-10-21T21:29:30.376049Z,evals-for-papers/results/raw_logs/stage_f/stage_f_11.txt,evals-for-papers/results/raw_logs/stage_f/stage_f_11_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage_f_12,F,,mentor_manual,2025-10-21T21:30:37.200858Z,evals-for-papers/results/raw_logs/stage_f/stage_f_12.txt,evals-for-papers/results/raw_logs/stage_f/stage_f_12_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage_f_13,F,,mentor_manual,2025-10-21T21:31:58.806998Z,evals-for-papers/results/raw_logs/stage_f/stage_f_13.txt,evals-for-papers/results/raw_logs/stage_f/stage_f_13_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage_f_14,F,,mentor_manual,2025-10-21T21:36:55.676938Z,evals-for-papers/results/raw_logs/stage_f/stage_f_14.txt,evals-for-papers/results/raw_logs/stage_f/stage_f_14_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage_f_15,F,,mentor_manual,2025-10-21T21:40:16.581986Z,evals-for-papers/results/raw_logs/stage_f/stage_f_15.txt,evals-for-papers/results/raw_logs/stage_f/stage_f_15_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
