prompt_id,stage,annotator,system_id,run_timestamp,response_path,tool_trace_path,tool_routing,citation_validity,fallback_robustness,evidence_integrity,rag_fidelity_score,citation_relevance_score,source_fit_score,actionability_score,clarification_quality_score,citation_quality_score,persona_compliance_score,stage_awareness_score,tone_constructive_score,timeline_guidance,expectation_management,novelty_assessment,evidence_gap_detection,hypothesis_generation,distractor_rejection,experiment_design,scope_feasibility,feasibility_analysis,skills_gap_guidance,domain_mapping,risk_analysis,plan_completeness,resource_estimation,timeline_quality,risk_mitigation,additional_notes,student_actionability_score,student_clarity_score,student_constraint_fit_score,student_confidence_gain_score,student_path_ready,student_failure_modes,student_outcome_score
stage_f_01,F,student_judge_upgrade,openrouter:openai/gpt-5,2025-11-03T15:08:33.834952Z,evals-for-papers/results/raw_logs/stage_f/stage_f_01_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37,1.57,1.17,1.60,1,1,1.40
stage_f_02,F,student_judge_upgrade,openrouter:openai/gpt-5,2025-11-03T15:08:58.512386Z,evals-for-papers/results/raw_logs/stage_f/stage_f_02_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.63,1.57,1.43,1.47,1,1,1.54
stage_f_03,F,student_judge_upgrade,openrouter:openai/gpt-5,2025-11-03T15:09:19.377933Z,evals-for-papers/results/raw_logs/stage_f/stage_f_03_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.63,1.83,1.33,1.60,1,1,1.60
stage_f_04,F,student_judge_upgrade,openrouter:openai/gpt-5,2025-11-03T15:09:45.923932Z,evals-for-papers/results/raw_logs/stage_f/stage_f_04_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,1.60,1.30,1.47,1,1,1.47
stage_f_05,F,student_judge_upgrade,openrouter:openai/gpt-5,2025-11-03T15:10:06.161078Z,evals-for-papers/results/raw_logs/stage_f/stage_f_05_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43,1.67,1.20,1.47,1,1,1.44
stage_f_06,F,student_judge_upgrade,openrouter:openai/gpt-5,2025-11-03T15:10:37.846338Z,evals-for-papers/results/raw_logs/stage_f/stage_f_06_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43,1.67,1.40,1.70,1,1,1.52
stage_f_07,F,student_judge_upgrade,openrouter:openai/gpt-5,2025-11-03T15:10:57.983922Z,evals-for-papers/results/raw_logs/stage_f/stage_f_07_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.77,1.87,1.50,1.77,1,1,1.72
stage_f_08,F,student_judge_upgrade,openrouter:openai/gpt-5,2025-11-03T15:11:16.667936Z,evals-for-papers/results/raw_logs/stage_f/stage_f_08_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.57,1.60,1.17,1.47,1,1,1.46
stage_f_09,F,student_judge_upgrade,openrouter:openai/gpt-5,2025-11-03T15:11:46.474631Z,evals-for-papers/results/raw_logs/stage_f/stage_f_09_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.93,1.87,1.57,1.73,1,1,1.79
stage_f_10,F,student_judge_upgrade,openrouter:openai/gpt-5,2025-11-03T15:12:14.818913Z,evals-for-papers/results/raw_logs/stage_f/stage_f_10_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.53,1.73,1.43,1.67,1,1,1.58
stage_f_11,F,student_judge_upgrade,openrouter:openai/gpt-5,2025-11-03T15:12:39.511024Z,evals-for-papers/results/raw_logs/stage_f/stage_f_11_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.67,1.73,1.27,1.57,1,1,1.57
stage_f_12,F,student_judge_upgrade,openrouter:openai/gpt-5,2025-11-03T15:13:03.709192Z,evals-for-papers/results/raw_logs/stage_f/stage_f_12_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,1.67,1.50,1.73,1,1,1.58
stage_f_13,F,student_judge_upgrade,openrouter:openai/gpt-5,2025-11-03T15:13:25.665138Z,evals-for-papers/results/raw_logs/stage_f/stage_f_13_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,1.87,1.50,1.70,1,1,1.62
stage_f_14,F,student_judge_upgrade,openrouter:openai/gpt-5,2025-11-03T15:13:50.430832Z,evals-for-papers/results/raw_logs/stage_f/stage_f_14_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.73,1.80,1.47,1.70,1,1,1.68
stage_f_15,F,student_judge_upgrade,openrouter:openai/gpt-5,2025-11-03T15:14:08.246268Z,evals-for-papers/results/raw_logs/stage_f/stage_f_15_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.53,1.57,1.27,1.57,1,1,1.48
