prompt_id,stage,annotator,system_id,run_timestamp,response_path,tool_trace_path,tool_routing,citation_validity,fallback_robustness,evidence_integrity,rag_fidelity_score,citation_relevance_score,source_fit_score,actionability_score,clarification_quality_score,citation_quality_score,persona_compliance_score,stage_awareness_score,tone_constructive_score,timeline_guidance,expectation_management,novelty_assessment,evidence_gap_detection,hypothesis_generation,distractor_rejection,experiment_design,scope_feasibility,feasibility_analysis,skills_gap_guidance,domain_mapping,risk_analysis,plan_completeness,resource_estimation,timeline_quality,risk_mitigation,additional_notes,student_actionability_score,student_clarity_score,student_constraint_fit_score,student_confidence_gain_score,student_path_ready,student_failure_modes,student_outcome_score
stage_a_01,A,expert_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-10-31T15:00:01.766267Z,evals-for-papers/results/raw_logs/stage_a/stage_a_01_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,0,0.0,0.50,0.00,2.00,0.60,,0.00,2.00,2.00,2.00,,,,,,,,,,,,,,,,,,,,,,,,
stage_a_02,A,expert_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-10-31T15:01:31.926534Z,evals-for-papers/results/raw_logs/stage_a/stage_a_02_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,1,0,1.0,2.00,2.00,2.00,0.87,,2.00,2.00,2.00,2.00,,,,,,,,,,,,,,,,,,,,,,,,
stage_a_03,A,expert_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-10-31T15:03:55.408387Z,evals-for-papers/results/raw_logs/stage_a/stage_a_03_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,1,0,1.0,2.00,2.00,2.00,0.87,,2.00,2.00,2.00,2.00,,,,,,,,,,,,,,,,,,,,,,,,
stage_a_04,A,expert_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-10-31T15:05:47.077843Z,evals-for-papers/results/raw_logs/stage_a/stage_a_04_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,1,0,1.0,2.00,2.00,2.00,0.93,,2.00,1.83,2.00,2.00,,,,,,,,,,,,,,,,,,,,,,,,
stage_a_05,A,expert_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-10-31T15:07:47.115808Z,evals-for-papers/results/raw_logs/stage_a/stage_a_05_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,0,0.0,1.00,0.00,0.67,0.80,,0.00,2.00,2.00,2.00,1,,,,,,,,,,,,,,,,,,,,,,,
stage_a_06,A,expert_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-10-31T15:10:19.812884Z,evals-for-papers/results/raw_logs/stage_a/stage_a_06_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,1,0,1.0,2.00,1.67,2.00,0.67,,2.00,2.00,2.00,1.67,,1,,,,,,,,,,,,,,,,,,,,,,
stage_a_07,A,expert_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-10-31T15:11:55.901951Z,evals-for-papers/results/raw_logs/stage_a/stage_a_07_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,1,0,1.0,1.50,2.00,2.00,0.87,,1.67,2.00,2.00,2.00,,,,,,,,,,,,,,,,,,,,,,,,
stage_a_08,A,expert_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-10-31T15:14:00.659401Z,evals-for-papers/results/raw_logs/stage_a/stage_a_08_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,1,0,1.0,1.00,2.00,2.00,0.87,,2.00,2.00,2.00,2.00,1,,,,,,,,,,,,,,,,,,,,,,,
stage_a_09,A,expert_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-10-31T15:16:03.037014Z,evals-for-papers/results/raw_logs/stage_a/stage_a_09_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,1,0,1.0,1.67,2.00,2.00,0.87,,1.97,2.00,2.00,2.00,,1,,,,,,,,,,,,,,,,,,,,,,
stage_a_10,A,expert_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-10-31T15:17:34.469336Z,evals-for-papers/results/raw_logs/stage_a/stage_a_10_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,1,0,1.0,2.00,2.00,2.00,1.00,,2.00,2.00,2.00,2.00,,,,,,,,,,,,,,0,,,,,,,,,,
stage_a_11,A,expert_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-10-31T15:20:00.198093Z,evals-for-papers/results/raw_logs/stage_a/stage_a_11_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,1,0,1.0,2.00,2.00,2.00,0.90,,2.00,2.00,2.00,2.00,,,,,,,,,,,,,,,,1,,,,,,,,
stage_a_12,A,expert_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-10-31T15:21:31.406446Z,evals-for-papers/results/raw_logs/stage_a/stage_a_12_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,1,0,1.0,2.00,2.00,2.00,0.90,,1.67,2.00,2.00,2.00,,,,,,,,,,,,,,,,,,,,,,,,
stage_a_13,A,expert_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-10-31T15:23:24.438729Z,evals-for-papers/results/raw_logs/stage_a/stage_a_13_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,1,0,1.0,2.00,2.00,2.00,0.87,,2.00,2.00,2.00,2.00,,1,,,,,,,,,,,,1,,,,,,,,,,
stage_a_14,A,expert_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-10-31T15:26:19.902731Z,evals-for-papers/results/raw_logs/stage_a/stage_a_14_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,1,0,1.0,2.00,2.00,2.00,0.93,,2.00,2.00,1.33,2.00,,1,,,,,,,,,,,,,,,,,,,,,,
stage_a_15,A,expert_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-10-31T15:28:35.763648Z,evals-for-papers/results/raw_logs/stage_a/stage_a_15_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,1,0,1.0,2.00,2.00,2.00,0.87,,2.00,2.00,2.00,2.00,0,,,,,,,,,,,,,0,,,,,,,,,,
