prompt_id,stage,annotator,system_id,run_timestamp,response_path,tool_trace_path,tool_routing,citation_presence,citation_validity,fallback_robustness,asks_questions,evidence_integrity,rag_fidelity_score,citation_relevance_score,source_fit_score,actionability_score,question_quality_score,citation_quality_score,persona_compliance_score,stage_awareness_score,tone_constructive_score,constraint_handling,timeline_guidance,expectation_management,novelty_assessment,evidence_gap_detection,hypothesis_generation,distractor_rejection,experiment_design,scope_feasibility,feasibility_analysis,skills_gap_guidance,domain_mapping,risk_analysis,plan_completeness,resource_estimation,timeline_quality,risk_mitigation,additional_notes
stage_a_01,A,single_turn_oct21,openrouter:anthropic/claude-sonnet-4.5,2025-10-21T13:04:32.367325Z,evals-for-papers/results/raw_logs/stage_a/stage_a_01_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,0,0,1,0.0,0.50,0.00,2.00,0.60,2.00,0.00,2.00,2.00,2.00,,,,,,,,,,,,,,,,,,
stage_a_02,A,single_turn_oct21,openrouter:anthropic/claude-sonnet-4.5,2025-10-21T13:06:40.904575Z,evals-for-papers/results/raw_logs/stage_a/stage_a_02_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,1,0,1,1.0,2.00,2.00,2.00,0.87,1.33,2.00,2.00,2.00,2.00,,,,,,,,,,,,,,,,,,
stage_a_03,A,single_turn_oct21,openrouter:anthropic/claude-sonnet-4.5,2025-10-21T13:08:39.950863Z,evals-for-papers/results/raw_logs/stage_a/stage_a_03_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,1,0,1,1.0,1.50,2.00,2.00,0.87,1.33,2.00,2.00,2.00,2.00,,,,,,,,,,,,,,,,,,
stage_a_04,A,single_turn_oct21,openrouter:anthropic/claude-sonnet-4.5,2025-10-21T13:10:40.928220Z,evals-for-papers/results/raw_logs/stage_a/stage_a_04_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,1,0,1,1.0,2.00,2.00,2.00,0.83,0.67,2.00,1.93,2.00,1.93,1,,,,,,,,,,,,,,,,,
stage_a_05,A,single_turn_oct21,openrouter:anthropic/claude-sonnet-4.5,2025-10-21T13:12:15.161242Z,evals-for-papers/results/raw_logs/stage_a/stage_a_05_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,0,0,1,0.0,1.00,0.00,0.00,0.80,2.00,0.00,2.00,2.00,2.00,,1,,,,,,,,,,,,,,,,
stage_a_06,A,single_turn_oct21,openrouter:anthropic/claude-sonnet-4.5,2025-10-21T13:14:23.811684Z,evals-for-papers/results/raw_logs/stage_a/stage_a_06_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,1,0,1,1.0,1.50,2.00,2.00,0.60,2.00,2.00,2.00,2.00,1.97,,,1,,,,,,,,,,,,,,,
stage_a_07,A,single_turn_oct21,openrouter:anthropic/claude-sonnet-4.5,2025-10-21T13:16:32.234478Z,evals-for-papers/results/raw_logs/stage_a/stage_a_07_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,1,0,1,1.0,2.00,2.00,2.00,0.83,0.33,1.67,2.00,2.00,2.00,1,,,,,,,,,,,,,,,,,
stage_a_08,A,single_turn_oct21,openrouter:anthropic/claude-sonnet-4.5,2025-10-21T13:19:11.653617Z,evals-for-papers/results/raw_logs/stage_a/stage_a_08_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,1,0,1,1.0,1.00,1.33,2.00,0.73,1.33,1.67,2.00,2.00,2.00,1,1,,,,,,,,,,,,,,,,
stage_a_09,A,single_turn_oct21,openrouter:anthropic/claude-sonnet-4.5,2025-10-21T13:21:28.352865Z,evals-for-papers/results/raw_logs/stage_a/stage_a_09_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,1,0,1,1.0,1.50,2.00,2.00,0.83,1.33,2.00,2.00,2.00,2.00,,,1,,,,,,,,,,,,,,,
stage_a_10,A,single_turn_oct21,openrouter:anthropic/claude-sonnet-4.5,2025-10-21T13:23:29.617675Z,evals-for-papers/results/raw_logs/stage_a/stage_a_10_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,1,0,1,1.0,2.00,2.00,2.00,1.00,0.67,2.00,2.00,2.00,2.00,,,,,,,,,,,,,,,0,,,
stage_a_11,A,single_turn_oct21,openrouter:anthropic/claude-sonnet-4.5,2025-10-21T13:25:38.518177Z,evals-for-papers/results/raw_logs/stage_a/stage_a_11_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,1,0,1,1.0,2.00,2.00,2.00,0.87,0.67,2.00,2.00,2.00,2.00,,,,,,,,,,,,,,,,,1,
stage_a_12,A,single_turn_oct21,openrouter:anthropic/claude-sonnet-4.5,2025-10-21T13:28:18.844475Z,evals-for-papers/results/raw_logs/stage_a/stage_a_12_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,1,1,0,1,1.0,2.00,2.00,2.00,0.83,0.67,1.67,2.00,2.00,2.00,1,,,,,,,,,,,,,,,,,
stage_a_13,A,single_turn_oct21,openrouter:anthropic/claude-sonnet-4.5,2025-10-21T13:30:43.512124Z,evals-for-papers/results/raw_logs/stage_a/stage_a_13_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,1,0,1,1.0,2.00,2.00,2.00,0.80,0.67,2.00,2.00,2.00,2.00,,,1,,,,,,,,,,,,0,,,
stage_a_14,A,single_turn_oct21,openrouter:anthropic/claude-sonnet-4.5,2025-10-21T13:33:31.036494Z,evals-for-papers/results/raw_logs/stage_a/stage_a_14_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,1,1,0,1,1.0,2.00,2.00,2.00,0.73,0.00,2.00,2.00,1.33,2.00,,,1,,,,,,,,,,,,,,,
stage_a_15,A,single_turn_oct21,openrouter:anthropic/claude-sonnet-4.5,2025-10-21T13:36:34.372475Z,evals-for-papers/results/raw_logs/stage_a/stage_a_15_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,1,0,1,1.0,2.00,2.00,2.00,0.87,0.67,2.00,2.00,2.00,2.00,,0,,,,,,,,,,,,,0,,,
