prompt_id,stage,annotator,system_id,run_timestamp,response_path,tool_trace_path,tool_routing,citation_validity,fallback_robustness,evidence_integrity,rag_fidelity_score,citation_relevance_score,source_fit_score,actionability_score,clarification_quality_score,citation_quality_score,persona_compliance_score,stage_awareness_score,tone_constructive_score,timeline_guidance,expectation_management,novelty_assessment,evidence_gap_detection,hypothesis_generation,distractor_rejection,experiment_design,scope_feasibility,feasibility_analysis,skills_gap_guidance,domain_mapping,risk_analysis,plan_completeness,resource_estimation,timeline_quality,risk_mitigation,additional_notes,student_actionability_score,student_clarity_score,student_constraint_fit_score,student_confidence_gain_score,student_path_ready,student_failure_modes,student_outcome_score
stage_a_01,A,student_judge_upgrade,mentor_manual,2025-10-31T14:52:57.181302Z,evals-for-papers/results/raw_logs/stage_a/stage_a_01.txt,evals-for-papers/results/raw_logs/stage_a/stage_a_01_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.83,1.80,1.77,1.63,1,1,1.78
stage_a_02,A,student_judge_upgrade,mentor_manual,2025-10-31T14:53:15.185916Z,evals-for-papers/results/raw_logs/stage_a/stage_a_02.txt,evals-for-papers/results/raw_logs/stage_a/stage_a_02_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.70,1.70,1.67,1.63,1,1,1.68
stage_a_03,A,student_judge_upgrade,mentor_manual,2025-10-31T14:53:32.774847Z,evals-for-papers/results/raw_logs/stage_a/stage_a_03.txt,evals-for-papers/results/raw_logs/stage_a/stage_a_03_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.93,1.87,1.63,1.77,1,1,1.82
stage_a_04,A,student_judge_upgrade,mentor_manual,2025-10-31T14:53:51.997094Z,evals-for-papers/results/raw_logs/stage_a/stage_a_04.txt,evals-for-papers/results/raw_logs/stage_a/stage_a_04_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.93,1.87,1.83,1.73,1,1,1.86
stage_a_05,A,student_judge_upgrade,mentor_manual,2025-10-31T14:54:11.143504Z,evals-for-papers/results/raw_logs/stage_a/stage_a_05.txt,evals-for-papers/results/raw_logs/stage_a/stage_a_05_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.90,1.90,1.77,1.80,1,1,1.85
stage_a_06,A,student_judge_upgrade,mentor_manual,2025-10-31T14:54:31.213369Z,evals-for-papers/results/raw_logs/stage_a/stage_a_06.txt,evals-for-papers/results/raw_logs/stage_a/stage_a_06_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.93,1.87,1.70,1.83,1,1,1.84
stage_a_07,A,student_judge_upgrade,mentor_manual,2025-10-31T14:54:49.895850Z,evals-for-papers/results/raw_logs/stage_a/stage_a_07.txt,evals-for-papers/results/raw_logs/stage_a/stage_a_07_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.87,1.80,1.73,1.60,1,1,1.78
stage_a_08,A,student_judge_upgrade,mentor_manual,2025-10-31T14:55:52.266124Z,evals-for-papers/results/raw_logs/stage_a/stage_a_08.txt,evals-for-papers/results/raw_logs/stage_a/stage_a_08_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.90,1.90,1.87,1.77,1,1,1.87
stage_a_09,A,student_judge_upgrade,mentor_manual,2025-10-31T14:56:26.197437Z,evals-for-papers/results/raw_logs/stage_a/stage_a_09.txt,evals-for-papers/results/raw_logs/stage_a/stage_a_09_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.93,1.87,1.70,1.83,1,1,1.84
stage_a_10,A,student_judge_upgrade,mentor_manual,2025-10-31T14:56:43.843163Z,evals-for-papers/results/raw_logs/stage_a/stage_a_10.txt,evals-for-papers/results/raw_logs/stage_a/stage_a_10_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.93,1.87,1.87,1.77,1,1,1.87
stage_a_11,A,student_judge_upgrade,mentor_manual,2025-10-31T14:57:02.597865Z,evals-for-papers/results/raw_logs/stage_a/stage_a_11.txt,evals-for-papers/results/raw_logs/stage_a/stage_a_11_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.57,1.73,1.27,1.73,0,1,1.56
stage_a_12,A,student_judge_upgrade,mentor_manual,2025-10-31T14:57:19.613555Z,evals-for-papers/results/raw_logs/stage_a/stage_a_12.txt,evals-for-papers/results/raw_logs/stage_a/stage_a_12_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.93,1.87,1.80,1.70,1,1,1.85
stage_a_13,A,student_judge_upgrade,mentor_manual,2025-10-31T14:58:10.308043Z,evals-for-papers/results/raw_logs/stage_a/stage_a_13.txt,evals-for-papers/results/raw_logs/stage_a/stage_a_13_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.93,1.87,1.70,1.80,1,0,1.84
stage_a_14,A,student_judge_upgrade,mentor_manual,2025-10-31T14:58:28.052592Z,evals-for-papers/results/raw_logs/stage_a/stage_a_14.txt,evals-for-papers/results/raw_logs/stage_a/stage_a_14_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.70,1.60,1.40,1.53,1,1,1.57
stage_a_15,A,student_judge_upgrade,mentor_manual,2025-10-31T14:58:44.233464Z,evals-for-papers/results/raw_logs/stage_a/stage_a_15.txt,evals-for-papers/results/raw_logs/stage_a/stage_a_15_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.90,1.90,1.77,1.77,1,1,1.85
