prompt_id,stage,annotator,system_id,run_timestamp,response_path,tool_trace_path,tool_routing,citation_validity,fallback_robustness,evidence_integrity,rag_fidelity_score,citation_relevance_score,source_fit_score,actionability_score,clarification_quality_score,citation_quality_score,persona_compliance_score,stage_awareness_score,tone_constructive_score,timeline_guidance,expectation_management,novelty_assessment,evidence_gap_detection,hypothesis_generation,distractor_rejection,experiment_design,scope_feasibility,feasibility_analysis,skills_gap_guidance,domain_mapping,risk_analysis,plan_completeness,resource_estimation,timeline_quality,risk_mitigation,additional_notes,student_actionability_score,student_clarity_score,student_constraint_fit_score,student_confidence_gain_score,student_path_ready,student_failure_modes,student_outcome_score
stage_a_01,A,student_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-10-31T15:29:02.517650Z,evals-for-papers/results/raw_logs/stage_a/stage_a_01_openrouter-anthropic_claude-sonnet-4.5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.77,1.13,0.80,0.73,0,0,0.86
stage_a_02,A,student_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-10-31T15:29:19.407166Z,evals-for-papers/results/raw_logs/stage_a/stage_a_02_openrouter-anthropic_claude-sonnet-4.5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.67,1.73,1.47,1.57,1,0,1.62
stage_a_03,A,student_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-10-31T15:29:37.425846Z,evals-for-papers/results/raw_logs/stage_a/stage_a_03_openrouter-anthropic_claude-sonnet-4.5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.93,1.87,1.70,1.83,1,1,1.84
stage_a_04,A,student_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-10-31T15:30:00.448407Z,evals-for-papers/results/raw_logs/stage_a/stage_a_04_openrouter-anthropic_claude-sonnet-4.5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.83,1.87,1.73,1.53,1,1,1.77
stage_a_05,A,student_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-10-31T15:30:24.247630Z,evals-for-papers/results/raw_logs/stage_a/stage_a_05_openrouter-anthropic_claude-sonnet-4.5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.80,1.80,1.87,1.70,1,1,1.80
stage_a_06,A,student_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-10-31T15:30:58.055546Z,evals-for-papers/results/raw_logs/stage_a/stage_a_06_openrouter-anthropic_claude-sonnet-4.5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43,1.67,1.77,1.67,1,1,1.61
stage_a_07,A,student_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-10-31T15:31:17.819221Z,evals-for-papers/results/raw_logs/stage_a/stage_a_07_openrouter-anthropic_claude-sonnet-4.5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40,1.60,1.73,1.53,1,1,1.55
stage_a_08,A,student_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-10-31T15:31:36.850275Z,evals-for-papers/results/raw_logs/stage_a/stage_a_08_openrouter-anthropic_claude-sonnet-4.5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.83,1.87,1.97,1.80,1,1,1.87
stage_a_09,A,student_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-10-31T15:32:00.474966Z,evals-for-papers/results/raw_logs/stage_a/stage_a_09_openrouter-anthropic_claude-sonnet-4.5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.63,1.80,1.63,1.70,1,0,1.69
stage_a_10,A,student_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-10-31T15:32:21.365471Z,evals-for-papers/results/raw_logs/stage_a/stage_a_10_openrouter-anthropic_claude-sonnet-4.5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.83,1.80,1.63,1.80,1,1,1.77
stage_a_11,A,student_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-10-31T15:32:40.046484Z,evals-for-papers/results/raw_logs/stage_a/stage_a_11_openrouter-anthropic_claude-sonnet-4.5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.77,1.80,1.67,1.73,1,1,1.75
stage_a_12,A,student_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-10-31T15:32:59.307481Z,evals-for-papers/results/raw_logs/stage_a/stage_a_12_openrouter-anthropic_claude-sonnet-4.5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.73,1.80,1.77,1.87,1,1,1.78
stage_a_13,A,student_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-10-31T15:33:18.953804Z,evals-for-papers/results/raw_logs/stage_a/stage_a_13_openrouter-anthropic_claude-sonnet-4.5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.83,1.80,1.67,1.80,1,0,1.78
stage_a_14,A,student_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-10-31T15:33:41.064349Z,evals-for-papers/results/raw_logs/stage_a/stage_a_14_openrouter-anthropic_claude-sonnet-4.5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.33,1.57,0.87,1.63,1,1,1.32
stage_a_15,A,student_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-10-31T15:34:15.287801Z,evals-for-papers/results/raw_logs/stage_a/stage_a_15_openrouter-anthropic_claude-sonnet-4.5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.80,1.70,1.73,1.77,1,1,1.75
