prompt_id,stage,annotator,system_id,run_timestamp,response_path,tool_trace_path,tool_routing,citation_validity,fallback_robustness,evidence_integrity,rag_fidelity_score,citation_relevance_score,source_fit_score,actionability_score,clarification_quality_score,citation_quality_score,persona_compliance_score,stage_awareness_score,tone_constructive_score,timeline_guidance,expectation_management,novelty_assessment,evidence_gap_detection,hypothesis_generation,distractor_rejection,experiment_design,scope_feasibility,feasibility_analysis,skills_gap_guidance,domain_mapping,risk_analysis,plan_completeness,resource_estimation,timeline_quality,risk_mitigation,additional_notes,student_actionability_score,student_clarity_score,student_constraint_fit_score,student_confidence_gain_score,student_path_ready,student_failure_modes,student_outcome_score
stage_a_01,A,student_judge_upgrade,openrouter:openai/gpt-5,2025-10-31T16:08:46.856844Z,evals-for-papers/results/raw_logs/stage_a/stage_a_01_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.93,1.87,1.70,1.83,1,1,1.84
stage_a_02,A,student_judge_upgrade,openrouter:openai/gpt-5,2025-10-31T16:09:09.938732Z,evals-for-papers/results/raw_logs/stage_a/stage_a_02_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.97,1.93,1.87,1.83,1,1,1.91
stage_a_03,A,student_judge_upgrade,openrouter:openai/gpt-5,2025-10-31T16:09:22.243568Z,evals-for-papers/results/raw_logs/stage_a/stage_a_03_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.97,1.90,1.67,1.73,1,1,1.84
stage_a_04,A,student_judge_upgrade,openrouter:openai/gpt-5,2025-10-31T16:09:49.235969Z,evals-for-papers/results/raw_logs/stage_a/stage_a_04_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.93,1.87,1.83,1.77,1,1,1.87
stage_a_05,A,student_judge_upgrade,openrouter:openai/gpt-5,2025-10-31T16:10:05.995095Z,evals-for-papers/results/raw_logs/stage_a/stage_a_05_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.97,1.93,1.80,1.83,1,1,1.90
stage_a_06,A,student_judge_upgrade,openrouter:openai/gpt-5,2025-10-31T16:10:25.864937Z,evals-for-papers/results/raw_logs/stage_a/stage_a_06_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.97,1.93,1.90,1.87,1,1,1.93
stage_a_07,A,student_judge_upgrade,openrouter:openai/gpt-5,2025-10-31T16:10:43.520719Z,evals-for-papers/results/raw_logs/stage_a/stage_a_07_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.93,1.87,1.80,1.77,1,1,1.86
stage_a_08,A,student_judge_upgrade,openrouter:openai/gpt-5,2025-10-31T16:10:59.341482Z,evals-for-papers/results/raw_logs/stage_a/stage_a_08_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.97,1.93,1.90,1.77,1,1,1.91
stage_a_09,A,student_judge_upgrade,openrouter:openai/gpt-5,2025-10-31T16:11:14.935818Z,evals-for-papers/results/raw_logs/stage_a/stage_a_09_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.93,1.87,1.63,1.83,1,1,1.83
stage_a_10,A,student_judge_upgrade,openrouter:openai/gpt-5,2025-10-31T16:11:32.467580Z,evals-for-papers/results/raw_logs/stage_a/stage_a_10_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.97,1.93,1.90,1.87,1,1,1.93
stage_a_11,A,student_judge_upgrade,openrouter:openai/gpt-5,2025-10-31T16:11:48.950242Z,evals-for-papers/results/raw_logs/stage_a/stage_a_11_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.93,1.87,1.63,1.80,1,1,1.82
stage_a_12,A,student_judge_upgrade,openrouter:openai/gpt-5,2025-10-31T16:12:06.372256Z,evals-for-papers/results/raw_logs/stage_a/stage_a_12_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.93,1.87,1.80,1.73,1,1,1.85
stage_a_13,A,student_judge_upgrade,openrouter:openai/gpt-5,2025-10-31T16:12:24.883271Z,evals-for-papers/results/raw_logs/stage_a/stage_a_13_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.90,1.90,1.77,1.83,1,1,1.86
stage_a_14,A,student_judge_upgrade,openrouter:openai/gpt-5,2025-10-31T16:12:46.379487Z,evals-for-papers/results/raw_logs/stage_a/stage_a_14_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.83,1.73,1.63,1.70,1,1,1.74
stage_a_15,A,student_judge_upgrade,openrouter:openai/gpt-5,2025-10-31T16:13:04.696214Z,evals-for-papers/results/raw_logs/stage_a/stage_a_15_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.93,1.87,1.87,1.77,1,1,1.87
