prompt_id,stage,annotator,system_id,run_timestamp,response_path,tool_trace_path,tool_routing,citation_presence,citation_validity,fallback_robustness,asks_questions,evidence_integrity,rag_fidelity_score,citation_relevance_score,source_fit_score,actionability_score,question_quality_score,citation_quality_score,persona_compliance_score,stage_awareness_score,tone_constructive_score,constraint_handling,timeline_guidance,expectation_management,novelty_assessment,evidence_gap_detection,hypothesis_generation,distractor_rejection,experiment_design,scope_feasibility,feasibility_analysis,skills_gap_guidance,domain_mapping,risk_analysis,plan_completeness,resource_estimation,timeline_quality,risk_mitigation,additional_notes
stage_b_01,B,single_turn_oct21,openrouter:anthropic/claude-sonnet-4.5,2025-10-21T19:34:22.366828Z,evals-for-papers/results/raw_logs/stage_b/stage_b_01_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,1,0,1,1.0,2.00,2.00,2.00,0.67,0.67,2.00,2.00,2.00,2.00,,,,1,0,0,1,,,,,,,,,,,
stage_b_02,B,single_turn_oct21,openrouter:anthropic/claude-sonnet-4.5,2025-10-21T19:36:37.821026Z,evals-for-papers/results/raw_logs/stage_b/stage_b_02_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,1,0,1,1.0,2.00,2.00,2.00,0.97,0.67,2.00,1.67,2.00,2.00,,,,1,,1,1,1,,,,,,,,,,
stage_b_03,B,single_turn_oct21,openrouter:anthropic/claude-sonnet-4.5,2025-10-21T19:38:43.384873Z,evals-for-papers/results/raw_logs/stage_b/stage_b_03_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,1,0,1,1.0,1.50,2.00,2.00,0.87,0.00,2.00,2.00,2.00,1.67,,,1,0,,,,,1,,,,,,,,,
stage_b_04,B,single_turn_oct21,openrouter:anthropic/claude-sonnet-4.5,2025-10-21T19:41:25.028992Z,evals-for-papers/results/raw_logs/stage_b/stage_b_04_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,1,0,1,1.0,1.00,1.33,2.00,0.73,0.00,1.97,2.00,2.00,2.00,,,,,,0,,,,1,1,,,,,,,
stage_b_05,B,single_turn_oct21,openrouter:anthropic/claude-sonnet-4.5,2025-10-21T19:44:17.291080Z,evals-for-papers/results/raw_logs/stage_b/stage_b_05_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,1,0,1,1.0,1.17,1.67,2.00,0.67,0.67,2.00,1.00,2.00,0.33,,,,1,,1,,,,,,1,,,,,,
stage_b_06,B,single_turn_oct21,openrouter:anthropic/claude-sonnet-4.5,2025-10-21T19:47:16.377575Z,evals-for-papers/results/raw_logs/stage_b/stage_b_06_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,1,0,1,1.0,2.00,2.00,2.00,0.67,1.33,2.00,2.00,2.00,2.00,,,,1,,,,,,1,,,0,,,,,
stage_b_07,B,single_turn_oct21,openrouter:anthropic/claude-sonnet-4.5,2025-10-21T19:49:46.804406Z,evals-for-papers/results/raw_logs/stage_b/stage_b_07_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,1,0,1,1.0,2.00,2.00,2.00,0.87,0.67,1.67,2.00,2.00,2.00,,,,1,,,,,,0,,,,,,,,
stage_b_08,B,single_turn_oct21,openrouter:anthropic/claude-sonnet-4.5,2025-10-21T19:52:15.650132Z,evals-for-papers/results/raw_logs/stage_b/stage_b_08_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,1,0,1,1.0,2.00,2.00,2.00,0.67,0.67,2.00,2.00,2.00,2.00,,,,1,,1,,,,,,,1,,,,,
stage_b_09,B,single_turn_oct21,openrouter:anthropic/claude-sonnet-4.5,2025-10-21T19:54:56.324244Z,evals-for-papers/results/raw_logs/stage_b/stage_b_09_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,1,0,1,1.0,2.00,1.97,2.00,0.53,0.67,2.00,2.00,2.00,2.00,,,1,1,,,,,,,,,1,,,,,
stage_b_10,B,single_turn_oct21,openrouter:anthropic/claude-sonnet-4.5,2025-10-21T19:57:54.525365Z,evals-for-papers/results/raw_logs/stage_b/stage_b_10_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,1,0,1,1.0,2.00,2.00,2.00,0.53,0.67,2.00,1.67,1.67,2.00,,,1,1,,,,,,,,,1,,,,,
