prompt_id,stage,annotator,system_id,run_timestamp,response_path,tool_trace_path,tool_routing,citation_validity,fallback_robustness,evidence_integrity,rag_fidelity_score,citation_relevance_score,source_fit_score,actionability_score,clarification_quality_score,citation_quality_score,persona_compliance_score,stage_awareness_score,tone_constructive_score,timeline_guidance,expectation_management,novelty_assessment,evidence_gap_detection,hypothesis_generation,distractor_rejection,experiment_design,scope_feasibility,feasibility_analysis,skills_gap_guidance,domain_mapping,risk_analysis,plan_completeness,resource_estimation,timeline_quality,risk_mitigation,additional_notes,student_actionability_score,student_clarity_score,student_constraint_fit_score,student_confidence_gain_score,student_path_ready,student_failure_modes,student_outcome_score
stage_b_01,B,student_judge_upgrade,mentor_manual,2025-11-03T09:38:07.683549Z,evals-for-papers/results/raw_logs/stage_b/stage_b_01.txt,evals-for-papers/results/raw_logs/stage_b/stage_b_01_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.83,1.87,1.63,1.83,1,1,1.79
stage_b_02,B,student_judge_upgrade,mentor_manual,2025-11-03T09:38:25.236558Z,evals-for-papers/results/raw_logs/stage_b/stage_b_02.txt,evals-for-papers/results/raw_logs/stage_b/stage_b_02_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.67,1.80,1.33,1.53,1,1,1.60
stage_b_03,B,student_judge_upgrade,mentor_manual,2025-11-03T09:38:47.976486Z,evals-for-papers/results/raw_logs/stage_b/stage_b_03.txt,evals-for-papers/results/raw_logs/stage_b/stage_b_03_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.83,1.87,1.63,1.67,1,1,1.77
stage_b_04,B,student_judge_upgrade,mentor_manual,2025-11-03T09:39:23.329540Z,evals-for-papers/results/raw_logs/stage_b/stage_b_04.txt,evals-for-papers/results/raw_logs/stage_b/stage_b_04_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.93,1.87,1.70,1.73,1,1,1.83
stage_b_05,B,student_judge_upgrade,mentor_manual,2025-11-03T09:39:44.924145Z,evals-for-papers/results/raw_logs/stage_b/stage_b_05.txt,evals-for-papers/results/raw_logs/stage_b/stage_b_05_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.83,1.87,1.57,1.63,1,1,1.74
stage_b_06,B,student_judge_upgrade,mentor_manual,2025-11-03T09:40:19.263770Z,evals-for-papers/results/raw_logs/stage_b/stage_b_06.txt,evals-for-papers/results/raw_logs/stage_b/stage_b_06_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.83,1.87,1.60,1.67,1,1,1.76
stage_b_07,B,student_judge_upgrade,mentor_manual,2025-11-03T09:40:41.953378Z,evals-for-papers/results/raw_logs/stage_b/stage_b_07.txt,evals-for-papers/results/raw_logs/stage_b/stage_b_07_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.93,1.87,1.63,1.80,1,1,1.82
stage_b_08,B,student_judge_upgrade,mentor_manual,2025-11-03T09:41:00.886140Z,evals-for-papers/results/raw_logs/stage_b/stage_b_08.txt,evals-for-papers/results/raw_logs/stage_b/stage_b_08_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.53,1.67,1.33,1.57,1,1,1.52
stage_b_09,B,student_judge_upgrade,mentor_manual,2025-11-03T09:41:29.565751Z,evals-for-papers/results/raw_logs/stage_b/stage_b_09.txt,evals-for-papers/results/raw_logs/stage_b/stage_b_09_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.80,1.80,1.70,1.63,1,1,1.75
stage_b_10,B,student_judge_upgrade,mentor_manual,2025-11-03T09:42:03.244225Z,evals-for-papers/results/raw_logs/stage_b/stage_b_10.txt,evals-for-papers/results/raw_logs/stage_b/stage_b_10_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,1.67,1.23,1.53,0,1,1.48
stage_b_11,B,student_judge_upgrade,mentor_manual,2025-11-03T09:42:23.690703Z,evals-for-papers/results/raw_logs/stage_b/stage_b_11.txt,evals-for-papers/results/raw_logs/stage_b/stage_b_11_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,1.67,1.23,1.53,1,1,1.48
stage_b_12,B,student_judge_upgrade,mentor_manual,2025-11-03T09:42:48.096869Z,evals-for-papers/results/raw_logs/stage_b/stage_b_12.txt,evals-for-papers/results/raw_logs/stage_b/stage_b_12_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.63,1.73,1.27,1.73,0,1,1.58
stage_b_13,B,student_judge_upgrade,mentor_manual,2025-11-03T09:43:22.951822Z,evals-for-papers/results/raw_logs/stage_b/stage_b_13.txt,evals-for-papers/results/raw_logs/stage_b/stage_b_13_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.83,1.87,1.57,1.73,1,1,1.76
stage_b_14,B,student_judge_upgrade,mentor_manual,2025-11-03T09:43:47.834436Z,evals-for-papers/results/raw_logs/stage_b/stage_b_14.txt,evals-for-papers/results/raw_logs/stage_b/stage_b_14_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.93,1.87,1.63,1.73,1,1,1.81
stage_b_15,B,student_judge_upgrade,mentor_manual,2025-11-03T09:44:09.907600Z,evals-for-papers/results/raw_logs/stage_b/stage_b_15.txt,evals-for-papers/results/raw_logs/stage_b/stage_b_15_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.83,1.87,1.47,1.73,1,1,1.73
