prompt_id,stage,annotator,system_id,run_timestamp,response_path,tool_trace_path,tool_routing,citation_validity,fallback_robustness,evidence_integrity,rag_fidelity_score,citation_relevance_score,source_fit_score,actionability_score,clarification_quality_score,citation_quality_score,persona_compliance_score,stage_awareness_score,tone_constructive_score,timeline_guidance,expectation_management,novelty_assessment,evidence_gap_detection,hypothesis_generation,distractor_rejection,experiment_design,scope_feasibility,feasibility_analysis,skills_gap_guidance,domain_mapping,risk_analysis,plan_completeness,resource_estimation,timeline_quality,risk_mitigation,additional_notes,student_actionability_score,student_clarity_score,student_constraint_fit_score,student_confidence_gain_score,student_path_ready,student_failure_modes,student_outcome_score
stage_c_01,C,expert_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-10-31T20:21:53.664078Z,evals-for-papers/results/raw_logs/stage_c/stage_c_01_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,1,0,1.0,1.50,2.00,2.00,0.87,,1.67,2.00,1.33,2.00,,,,,,,,,,,,,1,1,1,1,,,,,,,,
stage_c_02,C,expert_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-10-31T20:23:59.977086Z,evals-for-papers/results/raw_logs/stage_c/stage_c_02_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,1,0,1.0,2.00,2.00,1.33,0.80,,2.00,1.67,2.00,1.67,,,,,,,1,,,,,,1,1,1,,,,,,,,,
stage_c_03,C,expert_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-10-31T20:26:26.548134Z,evals-for-papers/results/raw_logs/stage_c/stage_c_03_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,0,0.0,0.50,0.00,2.00,0.83,,0.00,2.00,2.00,2.00,,1,,,,,,,1,,,,1,,,1,,,,,,,,
stage_c_04,C,expert_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-10-31T20:28:33.595775Z,evals-for-papers/results/raw_logs/stage_c/stage_c_04_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,0,0.0,0.67,0.00,1.67,0.73,,0.00,2.00,2.00,2.00,,,,,,,,,,,,,1,1,,,,,,,,,,
stage_c_05,C,expert_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-10-31T20:30:47.534442Z,evals-for-papers/results/raw_logs/stage_c/stage_c_05_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,1,0,1.0,1.50,2.00,2.00,0.80,,1.00,2.00,2.00,2.00,,,,,,,,,,1,,,1,1,,,,,,,,,,
stage_c_06,C,expert_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-10-31T20:33:05.664009Z,evals-for-papers/results/raw_logs/stage_c/stage_c_06_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,1,0,1.0,1.83,2.00,1.67,0.73,,2.00,1.33,1.33,1.67,,,,,,,,,,,,,1,0,0,1,,,,,,,,
stage_c_07,C,expert_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-10-31T20:35:38.054669Z,evals-for-papers/results/raw_logs/stage_c/stage_c_07_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,1,0,1.0,2.00,2.00,2.00,0.67,,2.00,0.67,1.33,1.67,,,,,,,,,,,,,1,1,0,1,,,,,,,,
stage_c_08,C,expert_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-10-31T20:37:58.787520Z,evals-for-papers/results/raw_logs/stage_c/stage_c_08_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,0,0.0,1.33,0.00,1.33,0.87,,0.00,2.00,2.00,1.67,,,,,,,,,1,,,,1,1,,1,,,,,,,,
stage_c_09,C,expert_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-10-31T20:40:36.160010Z,evals-for-papers/results/raw_logs/stage_c/stage_c_09_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,1,0,1.0,1.83,2.00,2.00,0.80,,2.00,2.00,2.00,2.00,,,,,,,1,,,,,,1,,1,1,,,,,,,,
stage_c_10,C,expert_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-10-31T20:42:36.186529Z,evals-for-papers/results/raw_logs/stage_c/stage_c_10_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,1,0,1.0,2.00,2.00,2.00,0.87,,2.00,1.00,2.00,2.00,,,,,,,,,,,,,1,1,,1,,,,,,,,
