prompt_id,stage,annotator,system_id,run_timestamp,response_path,tool_trace_path,tool_routing,citation_presence,citation_validity,fallback_robustness,asks_questions,evidence_integrity,rag_fidelity_score,citation_relevance_score,source_fit_score,actionability_score,question_quality_score,citation_quality_score,persona_compliance_score,stage_awareness_score,tone_constructive_score,constraint_handling,timeline_guidance,expectation_management,novelty_assessment,evidence_gap_detection,hypothesis_generation,distractor_rejection,experiment_design,scope_feasibility,feasibility_analysis,skills_gap_guidance,domain_mapping,risk_analysis,plan_completeness,resource_estimation,timeline_quality,risk_mitigation,additional_notes
stage_c_01,C,single_turn_oct21,openrouter:openai/gpt-5,2025-10-21T19:04:06.668540Z,evals-for-papers/results/raw_logs/stage_c/stage_c_01_openrouter-openai_gpt-5.txt,None,0,1,1,0,1,1.0,2.00,2.00,2.00,0.80,0.67,2.00,1.33,2.00,2.00,,,,,,,,,,,,,,1,1,1,1,
stage_c_02,C,single_turn_oct21,openrouter:openai/gpt-5,2025-10-21T19:07:11.916914Z,evals-for-papers/results/raw_logs/stage_c/stage_c_02_openrouter-openai_gpt-5.txt,None,0,1,1,0,0,1.0,2.00,2.00,2.00,0.93,0.00,2.00,1.83,2.00,2.00,,,,,,,,1,,,,,,1,1,1,,
stage_c_03,C,single_turn_oct21,openrouter:openai/gpt-5,2025-10-21T19:09:44.477541Z,evals-for-papers/results/raw_logs/stage_c/stage_c_03_openrouter-openai_gpt-5.txt,None,0,1,1,0,0,1.0,2.00,2.00,2.00,0.93,0.00,2.00,2.00,2.00,2.00,,,1,,,,,,,1,,,,1,,,1,
stage_c_04,C,single_turn_oct21,openrouter:openai/gpt-5,2025-10-21T19:12:22.625514Z,evals-for-papers/results/raw_logs/stage_c/stage_c_04_openrouter-openai_gpt-5.txt,None,0,1,1,0,0,1.0,2.00,2.00,2.00,0.93,0.67,2.00,2.00,1.67,2.00,1,,,,,,,,,,,,,1,1,,,
stage_c_05,C,single_turn_oct21,openrouter:openai/gpt-5,2025-10-21T19:15:07.050023Z,evals-for-papers/results/raw_logs/stage_c/stage_c_05_openrouter-openai_gpt-5.txt,None,0,1,1,0,0,1.0,2.00,2.00,2.00,0.93,0.67,1.67,2.00,2.00,2.00,,,,,,,,,,,1,,,1,1,,,
stage_c_06,C,single_turn_oct21,openrouter:openai/gpt-5,2025-10-21T19:18:02.996176Z,evals-for-papers/results/raw_logs/stage_c/stage_c_06_openrouter-openai_gpt-5.txt,None,0,1,1,0,0,1.0,2.00,2.00,2.00,0.90,0.67,2.00,1.33,2.00,2.00,,,,,,,,,,,,,,1,1,1,1,
stage_c_07,C,single_turn_oct21,openrouter:openai/gpt-5,2025-10-21T19:20:40.217736Z,evals-for-papers/results/raw_logs/stage_c/stage_c_07_openrouter-openai_gpt-5.txt,None,0,1,1,0,1,1.0,2.00,2.00,2.00,0.93,0.67,2.00,1.67,2.00,1.67,,,,,,,,,,,,,,1,1,1,1,
stage_c_08,C,single_turn_oct21,openrouter:openai/gpt-5,2025-10-21T19:23:40.939474Z,evals-for-papers/results/raw_logs/stage_c/stage_c_08_openrouter-openai_gpt-5.txt,None,0,1,1,0,0,1.0,2.00,2.00,2.00,0.87,0.00,2.00,2.00,2.00,2.00,,,,,,,,,,1,,,,1,1,,1,
stage_c_09,C,single_turn_oct21,openrouter:openai/gpt-5,2025-10-21T19:27:04.057658Z,evals-for-papers/results/raw_logs/stage_c/stage_c_09_openrouter-openai_gpt-5.txt,None,0,1,1,0,0,1.0,2.00,2.00,2.00,0.87,0.00,2.00,1.33,2.00,2.00,,,,,,,,1,,,,,,1,,1,1,
stage_c_10,C,single_turn_oct21,openrouter:openai/gpt-5,2025-10-21T19:29:22.993942Z,evals-for-papers/results/raw_logs/stage_c/stage_c_10_openrouter-openai_gpt-5.txt,None,0,1,1,0,0,1.0,2.00,2.00,2.00,1.00,0.67,1.67,1.33,2.00,2.00,1,,,,,,,,,,,,,1,1,,1,
