prompt_id,stage,annotator,system_id,run_timestamp,response_path,tool_trace_path,tool_routing,citation_validity,fallback_robustness,evidence_integrity,rag_fidelity_score,citation_relevance_score,source_fit_score,actionability_score,clarification_quality_score,citation_quality_score,persona_compliance_score,stage_awareness_score,tone_constructive_score,timeline_guidance,expectation_management,novelty_assessment,evidence_gap_detection,hypothesis_generation,distractor_rejection,experiment_design,scope_feasibility,feasibility_analysis,skills_gap_guidance,domain_mapping,risk_analysis,plan_completeness,resource_estimation,timeline_quality,risk_mitigation,additional_notes,student_actionability_score,student_clarity_score,student_constraint_fit_score,student_confidence_gain_score,student_path_ready,student_failure_modes,student_outcome_score
stage_c_01,C,student_judge_upgrade,mentor_manual,2025-11-03T11:16:05.390081Z,evals-for-papers/results/raw_logs/stage_c/stage_c_01.txt,evals-for-papers/results/raw_logs/stage_c/stage_c_01_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37,1.67,1.13,1.43,1,1,1.39
stage_c_02,C,student_judge_upgrade,mentor_manual,2025-11-03T11:16:21.918751Z,evals-for-papers/results/raw_logs/stage_c/stage_c_02.txt,evals-for-papers/results/raw_logs/stage_c/stage_c_02_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.77,1.67,1.27,1.63,1,1,1.60
stage_c_03,C,student_judge_upgrade,mentor_manual,2025-11-03T11:16:46.529731Z,evals-for-papers/results/raw_logs/stage_c/stage_c_03.txt,evals-for-papers/results/raw_logs/stage_c/stage_c_03_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.60,1.53,1.03,1.40,1,1,1.41
stage_c_04,C,student_judge_upgrade,mentor_manual,2025-11-03T11:17:12.097111Z,evals-for-papers/results/raw_logs/stage_c/stage_c_04.txt,evals-for-papers/results/raw_logs/stage_c/stage_c_04_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.70,1.73,1.70,1.67,1,1,1.70
stage_c_05,C,student_judge_upgrade,mentor_manual,2025-11-03T11:17:28.024071Z,evals-for-papers/results/raw_logs/stage_c/stage_c_05.txt,evals-for-papers/results/raw_logs/stage_c/stage_c_05_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.83,1.87,1.77,1.80,1,1,1.82
stage_c_06,C,student_judge_upgrade,mentor_manual,2025-11-03T11:17:51.852262Z,evals-for-papers/results/raw_logs/stage_c/stage_c_06.txt,evals-for-papers/results/raw_logs/stage_c/stage_c_06_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.70,1.67,1.33,1.57,1,1,1.58
stage_c_07,C,student_judge_upgrade,mentor_manual,2025-11-03T11:18:18.800386Z,evals-for-papers/results/raw_logs/stage_c/stage_c_07.txt,evals-for-papers/results/raw_logs/stage_c/stage_c_07_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43,1.53,1.20,1.57,1,1,1.42
stage_c_08,C,student_judge_upgrade,mentor_manual,2025-11-03T11:18:42.291473Z,evals-for-papers/results/raw_logs/stage_c/stage_c_08.txt,evals-for-papers/results/raw_logs/stage_c/stage_c_08_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.57,1.60,1.27,1.67,1,1,1.51
stage_c_09,C,student_judge_upgrade,mentor_manual,2025-11-03T11:19:02.849795Z,evals-for-papers/results/raw_logs/stage_c/stage_c_09.txt,evals-for-papers/results/raw_logs/stage_c/stage_c_09_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.47,1.53,1.13,1.47,1,1,1.40
stage_c_10,C,student_judge_upgrade,mentor_manual,2025-11-03T11:19:19.579274Z,evals-for-papers/results/raw_logs/stage_c/stage_c_10.txt,evals-for-papers/results/raw_logs/stage_c/stage_c_10_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.77,1.87,1.37,1.70,1,1,1.68
stage_c_11,C,student_judge_upgrade,mentor_manual,2025-11-03T11:19:45.126505Z,evals-for-papers/results/raw_logs/stage_c/stage_c_11.txt,evals-for-papers/results/raw_logs/stage_c/stage_c_11_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.33,1.40,0.93,1.30,1,1,1.25
stage_c_12,C,student_judge_upgrade,mentor_manual,2025-11-03T11:20:07.610512Z,evals-for-papers/results/raw_logs/stage_c/stage_c_12.txt,evals-for-papers/results/raw_logs/stage_c/stage_c_12_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,1.67,1.43,1.70,1,1,1.56
stage_c_13,C,student_judge_upgrade,mentor_manual,2025-11-03T11:20:33.375220Z,evals-for-papers/results/raw_logs/stage_c/stage_c_13.txt,evals-for-papers/results/raw_logs/stage_c/stage_c_13_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.57,1.67,1.37,1.37,1,1,1.51
stage_c_14,C,student_judge_upgrade,mentor_manual,2025-11-03T11:20:52.726025Z,evals-for-papers/results/raw_logs/stage_c/stage_c_14.txt,evals-for-papers/results/raw_logs/stage_c/stage_c_14_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,1.67,1.13,1.40,1,1,1.44
stage_c_15,C,student_judge_upgrade,mentor_manual,2025-11-03T11:21:19.324296Z,evals-for-papers/results/raw_logs/stage_c/stage_c_15.txt,evals-for-papers/results/raw_logs/stage_c/stage_c_15_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.23,1.50,1.00,1.13,1,1,1.23
