prompt_id,stage,annotator,system_id,run_timestamp,response_path,tool_trace_path,tool_routing,citation_validity,fallback_robustness,evidence_integrity,rag_fidelity_score,citation_relevance_score,source_fit_score,actionability_score,clarification_quality_score,citation_quality_score,persona_compliance_score,stage_awareness_score,tone_constructive_score,timeline_guidance,expectation_management,novelty_assessment,evidence_gap_detection,hypothesis_generation,distractor_rejection,experiment_design,scope_feasibility,feasibility_analysis,skills_gap_guidance,domain_mapping,risk_analysis,plan_completeness,resource_estimation,timeline_quality,risk_mitigation,additional_notes,student_actionability_score,student_clarity_score,student_constraint_fit_score,student_confidence_gain_score,student_path_ready,student_failure_modes,student_outcome_score
stage_c_01,C,student_judge_upgrade,openrouter:openai/gpt-5,2025-10-31T21:34:18.113250Z,evals-for-papers/results/raw_logs/stage_c/stage_c_01_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.17,1.67,0.83,1.37,0,1,1.24
stage_c_02,C,student_judge_upgrade,openrouter:openai/gpt-5,2025-10-31T21:34:40.830380Z,evals-for-papers/results/raw_logs/stage_c/stage_c_02_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37,1.60,1.03,1.40,1,0,1.35
stage_c_03,C,student_judge_upgrade,openrouter:openai/gpt-5,2025-10-31T21:35:02.284312Z,evals-for-papers/results/raw_logs/stage_c/stage_c_03_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.60,1.17,0.37,0.80,0,1,0.71
stage_c_04,C,student_judge_upgrade,openrouter:openai/gpt-5,2025-10-31T21:35:20.175005Z,evals-for-papers/results/raw_logs/stage_c/stage_c_04_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.73,1.80,1.57,1.67,1,1,1.70
stage_c_05,C,student_judge_upgrade,openrouter:openai/gpt-5,2025-10-31T21:35:37.955968Z,evals-for-papers/results/raw_logs/stage_c/stage_c_05_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.77,1.67,1.57,1.60,1,1,1.67
stage_c_06,C,student_judge_upgrade,openrouter:openai/gpt-5,2025-10-31T21:35:55.234705Z,evals-for-papers/results/raw_logs/stage_c/stage_c_06_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.17,1.23,0.97,1.30,1,1,1.15
stage_c_07,C,student_judge_upgrade,openrouter:openai/gpt-5,2025-10-31T21:36:13.356462Z,evals-for-papers/results/raw_logs/stage_c/stage_c_07_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.60,1.67,1.50,1.73,1,1,1.61
stage_c_08,C,student_judge_upgrade,openrouter:openai/gpt-5,2025-10-31T21:36:39.189346Z,evals-for-papers/results/raw_logs/stage_c/stage_c_08_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,1.67,1.30,1.30,1,1,1.46
stage_c_09,C,student_judge_upgrade,openrouter:openai/gpt-5,2025-10-31T21:36:57.591024Z,evals-for-papers/results/raw_logs/stage_c/stage_c_09_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37,1.57,1.13,1.27,1,1,1.34
stage_c_10,C,student_judge_upgrade,openrouter:openai/gpt-5,2025-10-31T21:37:17.360171Z,evals-for-papers/results/raw_logs/stage_c/stage_c_10_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,1.67,1.20,1.67,1,1,1.49
stage_c_11,C,student_judge_upgrade,openrouter:openai/gpt-5,2025-10-31T21:37:36.225131Z,evals-for-papers/results/raw_logs/stage_c/stage_c_11_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.13,1.50,0.87,1.27,1,0,1.18
stage_c_12,C,student_judge_upgrade,openrouter:openai/gpt-5,2025-10-31T21:38:01.724414Z,evals-for-papers/results/raw_logs/stage_c/stage_c_12_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.57,1.60,1.43,1.37,1,1,1.51
stage_c_13,C,student_judge_upgrade,openrouter:openai/gpt-5,2025-10-31T21:38:19.718538Z,evals-for-papers/results/raw_logs/stage_c/stage_c_13_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43,1.60,1.37,1.47,1,1,1.46
stage_c_14,C,student_judge_upgrade,openrouter:openai/gpt-5,2025-10-31T21:38:39.030826Z,evals-for-papers/results/raw_logs/stage_c/stage_c_14_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43,1.53,1.13,1.57,1,1,1.40
stage_c_15,C,student_judge_upgrade,openrouter:openai/gpt-5,2025-10-31T21:38:58.921236Z,evals-for-papers/results/raw_logs/stage_c/stage_c_15_openrouter-openai_gpt-5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.23,1.67,0.90,1.20,0,1,1.25
