prompt_id,stage,annotator,system_id,run_timestamp,response_path,tool_trace_path,tool_routing,citation_validity,fallback_robustness,evidence_integrity,rag_fidelity_score,citation_relevance_score,source_fit_score,actionability_score,clarification_quality_score,citation_quality_score,persona_compliance_score,stage_awareness_score,tone_constructive_score,timeline_guidance,expectation_management,novelty_assessment,evidence_gap_detection,hypothesis_generation,distractor_rejection,experiment_design,scope_feasibility,feasibility_analysis,skills_gap_guidance,domain_mapping,risk_analysis,plan_completeness,resource_estimation,timeline_quality,risk_mitigation,additional_notes,student_actionability_score,student_clarity_score,student_constraint_fit_score,student_confidence_gain_score,student_path_ready,student_failure_modes,student_outcome_score
stage_d_01,D,expert_judge_upgrade,mentor_manual,2025-11-01T16:50:10.247057Z,evals-for-papers/results/raw_logs/stage_d/stage_d_01.txt,evals-for-papers/results/raw_logs/stage_d/stage_d_01_tools.json,0,1,,1.0,2.00,1.33,2.00,0.87,,2.00,2.00,2.00,2.00,,,,,,,1,,,,,1,,,,,,,,,,,,
stage_d_02,D,expert_judge_upgrade,mentor_manual,2025-11-01T16:51:49.474555Z,evals-for-papers/results/raw_logs/stage_d/stage_d_02.txt,evals-for-papers/results/raw_logs/stage_d/stage_d_02_tools.json,0,1,,1.0,2.00,0.67,1.00,1.00,,1.00,1.67,2.00,1.67,,,,,,,1,,,,,,,,,,,,,,,,,
stage_d_03,D,expert_judge_upgrade,mentor_manual,2025-11-01T16:53:39.778933Z,evals-for-papers/results/raw_logs/stage_d/stage_d_03.txt,evals-for-papers/results/raw_logs/stage_d/stage_d_03_tools.json,0,1,,1.0,2.00,2.00,2.00,1.00,,2.00,2.00,2.00,2.00,,,,0,,,,,,,,0,,,,,,,,,,,,
stage_d_04,D,expert_judge_upgrade,mentor_manual,2025-11-01T16:56:08.823304Z,evals-for-papers/results/raw_logs/stage_d/stage_d_04.txt,evals-for-papers/results/raw_logs/stage_d/stage_d_04_tools.json,1,1,,1.0,2.00,2.00,2.00,1.00,,2.00,2.00,2.00,2.00,,,,,,,1,,,,,,,1,,,,,,,,,,
stage_d_05,D,expert_judge_upgrade,mentor_manual,2025-11-01T16:58:34.310615Z,evals-for-papers/results/raw_logs/stage_d/stage_d_05.txt,evals-for-papers/results/raw_logs/stage_d/stage_d_05_tools.json,0,1,,1.0,2.00,1.33,2.00,1.00,,1.67,2.00,2.00,2.00,,,,,,,1,,,,,1,,,,,,,,,,,,
stage_d_06,D,expert_judge_upgrade,mentor_manual,2025-11-01T17:00:56.773672Z,evals-for-papers/results/raw_logs/stage_d/stage_d_06.txt,evals-for-papers/results/raw_logs/stage_d/stage_d_06_tools.json,0,1,,1.0,1.92,2.00,2.00,0.97,,2.00,2.00,2.00,2.00,,,,0,,,,,,,,1,,,,,,,,,,,,
stage_d_07,D,expert_judge_upgrade,mentor_manual,2025-11-01T17:02:39.888756Z,evals-for-papers/results/raw_logs/stage_d/stage_d_07.txt,evals-for-papers/results/raw_logs/stage_d/stage_d_07_tools.json,1,1,,1.0,1.67,0.67,1.67,0.87,,2.00,2.00,2.00,2.00,,,,,,,1,,,,,0,,,,,,,,,,,,
stage_d_08,D,expert_judge_upgrade,mentor_manual,2025-11-01T17:04:21.400545Z,evals-for-papers/results/raw_logs/stage_d/stage_d_08.txt,evals-for-papers/results/raw_logs/stage_d/stage_d_08_tools.json,0,1,,0.6666666666666666,0.67,0.67,0.67,0.93,,2.00,1.67,2.00,2.00,,,,,,,1,,,,,0,,,,,,,,,,,,
stage_d_09,D,expert_judge_upgrade,mentor_manual,2025-11-01T17:06:18.346116Z,evals-for-papers/results/raw_logs/stage_d/stage_d_09.txt,evals-for-papers/results/raw_logs/stage_d/stage_d_09_tools.json,0,1,,1.0,2.00,2.00,2.00,0.93,,2.00,1.67,2.00,2.00,,,,,,,1,,,,,1,,,,,,,,,,,,
stage_d_10,D,expert_judge_upgrade,mentor_manual,2025-11-01T17:08:04.814182Z,evals-for-papers/results/raw_logs/stage_d/stage_d_10.txt,evals-for-papers/results/raw_logs/stage_d/stage_d_10_tools.json,1,1,,1.0,2.00,1.67,1.67,1.00,,2.00,2.00,2.00,2.00,,,,,,,1,,,,,1,,,,,,,,,,,,
