prompt_id,stage,annotator,system_id,run_timestamp,response_path,tool_trace_path,tool_routing,citation_presence,citation_validity,fallback_robustness,asks_questions,evidence_integrity,rag_fidelity_score,citation_relevance_score,source_fit_score,actionability_score,question_quality_score,citation_quality_score,persona_compliance_score,stage_awareness_score,tone_constructive_score,constraint_handling,timeline_guidance,expectation_management,novelty_assessment,evidence_gap_detection,hypothesis_generation,distractor_rejection,experiment_design,scope_feasibility,feasibility_analysis,skills_gap_guidance,domain_mapping,risk_analysis,plan_completeness,resource_estimation,timeline_quality,risk_mitigation,additional_notes
stage_d_01,D,single_turn_oct21,openrouter:anthropic/claude-sonnet-4.5,2025-10-23T12:58:32.307598Z,evals-for-papers/results/raw_logs/stage_d/stage_d_01_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,1,0,,0,0.0,2.00,0.00,1.67,0.53,0.67,0.00,2.00,2.00,2.00,,,,,,,,1,,,,,1,,,,,
stage_d_02,D,single_turn_oct21,openrouter:anthropic/claude-sonnet-4.5,2025-10-23T13:00:14.299922Z,evals-for-papers/results/raw_logs/stage_d/stage_d_02_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,0,,1,0.0,2.00,0.00,1.33,0.87,0.67,0.00,2.00,2.00,2.00,,,,,,,,1,,,,,,,,,,
stage_d_03,D,single_turn_oct21,openrouter:anthropic/claude-sonnet-4.5,2025-10-23T13:02:38.685701Z,evals-for-papers/results/raw_logs/stage_d/stage_d_03_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,0,,1,0.0,2.00,0.00,2.00,0.87,0.67,0.00,1.93,2.00,2.00,,,,,0,,,,,,,,1,,,,,
stage_d_04,D,single_turn_oct21,openrouter:anthropic/claude-sonnet-4.5,2025-10-23T13:05:12.306300Z,evals-for-papers/results/raw_logs/stage_d/stage_d_04_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,1,0,,1,0.0,1.67,0.00,2.00,0.80,0.67,0.00,2.00,2.00,2.00,,,,,,,,1,,,,,,,1,,,
stage_d_05,D,single_turn_oct21,openrouter:anthropic/claude-sonnet-4.5,2025-10-23T13:07:43.134012Z,evals-for-papers/results/raw_logs/stage_d/stage_d_05_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,1,0,,1,0.0,1.00,0.00,1.33,0.67,0.67,0.00,2.00,2.00,2.00,,,,,,,,1,,,,,1,,,,,
stage_d_06,D,single_turn_oct21,openrouter:anthropic/claude-sonnet-4.5,2025-10-23T13:10:58.516048Z,evals-for-papers/results/raw_logs/stage_d/stage_d_06_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,1,0,,1,0.0,1.17,0.00,1.33,0.73,0.67,0.00,2.00,2.00,2.00,,,,,0,,,,,,,,1,,,,,
stage_d_07,D,single_turn_oct21,openrouter:anthropic/claude-sonnet-4.5,2025-10-23T13:14:02.069979Z,evals-for-papers/results/raw_logs/stage_d/stage_d_07_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,1,0,,0,0.0,0.83,0.00,1.33,0.47,0.67,0.00,1.93,1.33,2.00,,,,,,,,1,,,,,0,,,,,
stage_d_08,D,single_turn_oct21,openrouter:anthropic/claude-sonnet-4.5,2025-10-23T13:16:38.082336Z,evals-for-papers/results/raw_logs/stage_d/stage_d_08_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,1,0,,0,0.0,0.83,0.00,1.00,0.57,0.67,0.00,1.33,1.00,2.00,,,,,,,,0,,,,,0,,,,,
stage_d_10,D,single_turn_oct21,openrouter:anthropic/claude-sonnet-4.5,2025-10-23T13:19:25.478563Z,evals-for-papers/results/raw_logs/stage_d/stage_d_10_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,1,0,,1,0.0,1.00,0.00,1.00,0.73,0.67,0.00,1.33,1.33,1.67,,,,,,,,1,,,,,1,,,,,
stage_d_11,D,single_turn_oct21,openrouter:anthropic/claude-sonnet-4.5,2025-10-23T13:21:40.858222Z,evals-for-papers/results/raw_logs/stage_d/stage_d_11_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,1,0,,1,0.0,0.83,0.00,1.00,0.63,0.67,0.00,2.00,2.00,2.00,,,,,,,,1,,,,,0,,,,,
