prompt_id,stage,annotator,system_id,run_timestamp,response_path,tool_trace_path,tool_routing,citation_presence,citation_validity,fallback_robustness,asks_questions,evidence_integrity,rag_fidelity_score,citation_relevance_score,source_fit_score,actionability_score,question_quality_score,citation_quality_score,persona_compliance_score,stage_awareness_score,tone_constructive_score,constraint_handling,timeline_guidance,expectation_management,novelty_assessment,evidence_gap_detection,hypothesis_generation,distractor_rejection,experiment_design,scope_feasibility,feasibility_analysis,skills_gap_guidance,domain_mapping,risk_analysis,plan_completeness,resource_estimation,timeline_quality,risk_mitigation,additional_notes
stage_d_01,D,single_turn_oct21,mentor_manual,2025-10-23T11:41:52.355495Z,evals-for-papers/results/raw_logs/stage_d/stage_d_01.txt,evals-for-papers/results/raw_logs/stage_d/stage_d_01_tools.json,0,1,1,,0,1.0,2.00,2.00,2.00,0.80,0.67,2.00,2.00,2.00,2.00,,,,,,,,1,,,,,1,,,,,
stage_d_02,D,single_turn_oct21,mentor_manual,2025-10-23T11:44:21.636644Z,evals-for-papers/results/raw_logs/stage_d/stage_d_02.txt,evals-for-papers/results/raw_logs/stage_d/stage_d_02_tools.json,0,1,1,,1,1.0,1.50,2.00,1.33,1.00,0.67,2.00,2.00,2.00,2.00,,,,,,,,1,,,,,,,,,,
stage_d_03,D,single_turn_oct21,mentor_manual,2025-10-23T11:47:14.457924Z,evals-for-papers/results/raw_logs/stage_d/stage_d_03.txt,evals-for-papers/results/raw_logs/stage_d/stage_d_03_tools.json,0,1,1,,0,1.0,2.00,2.00,2.00,1.00,1.33,2.00,2.00,2.00,2.00,,,,,0,,,,,,,,0,,,,,
stage_d_04,D,single_turn_oct21,mentor_manual,2025-10-23T11:49:46.402868Z,evals-for-papers/results/raw_logs/stage_d/stage_d_04.txt,evals-for-papers/results/raw_logs/stage_d/stage_d_04_tools.json,1,1,1,,0,1.0,1.67,2.00,2.00,1.00,0.67,1.67,2.00,2.00,2.00,,,,,,,,1,,,,,,,1,,,
stage_d_05,D,single_turn_oct21,mentor_manual,2025-10-23T11:52:23.884045Z,evals-for-papers/results/raw_logs/stage_d/stage_d_05.txt,evals-for-papers/results/raw_logs/stage_d/stage_d_05_tools.json,0,1,1,,0,1.0,2.00,2.00,2.00,0.87,0.67,1.67,2.00,2.00,1.67,,,,,,,,1,,,,,1,,,,,
stage_d_06,D,single_turn_oct21,mentor_manual,2025-10-23T11:55:21.003217Z,evals-for-papers/results/raw_logs/stage_d/stage_d_06.txt,evals-for-papers/results/raw_logs/stage_d/stage_d_06_tools.json,0,1,1,,1,1.0,2.00,2.00,2.00,1.00,1.33,2.00,2.00,2.00,2.00,,,,,0,,,,,,,,1,,,,,
stage_d_07,D,single_turn_oct21,mentor_manual,2025-10-23T11:57:44.972840Z,evals-for-papers/results/raw_logs/stage_d/stage_d_07.txt,evals-for-papers/results/raw_logs/stage_d/stage_d_07_tools.json,1,1,1,,0,1.0,1.33,2.00,2.00,0.80,0.67,2.00,1.33,2.00,1.67,,,,,,,,1,,,,,0,,,,,
stage_d_08,D,single_turn_oct21,mentor_manual,2025-10-23T12:00:47.021365Z,evals-for-papers/results/raw_logs/stage_d/stage_d_08.txt,evals-for-papers/results/raw_logs/stage_d/stage_d_08_tools.json,0,1,1,,0,1.0,1.50,2.00,1.33,0.92,0.67,2.00,2.00,2.00,2.00,,,,,,,,1,,,,,0,,,,,
stage_d_09,D,single_turn_oct21,mentor_manual,2025-10-23T12:04:08.237487Z,evals-for-papers/results/raw_logs/stage_d/stage_d_09.txt,evals-for-papers/results/raw_logs/stage_d/stage_d_09_tools.json,0,1,1,,0,1.0,2.00,2.00,2.00,0.83,0.67,2.00,2.00,2.00,2.00,,,,,,,,1,,,,,1,,,,,
stage_d_10,D,single_turn_oct21,mentor_manual,2025-10-23T12:07:03.906673Z,evals-for-papers/results/raw_logs/stage_d/stage_d_10.txt,evals-for-papers/results/raw_logs/stage_d/stage_d_10_tools.json,1,1,1,,1,1.0,1.67,1.67,2.00,1.00,0.67,2.00,2.00,2.00,2.00,,,,,,,,1,,,,,1,,,,,
