prompt_id,stage,annotator,system_id,run_timestamp,response_path,tool_trace_path,tool_routing,citation_validity,fallback_robustness,evidence_integrity,rag_fidelity_score,citation_relevance_score,source_fit_score,actionability_score,clarification_quality_score,citation_quality_score,persona_compliance_score,stage_awareness_score,tone_constructive_score,timeline_guidance,expectation_management,novelty_assessment,evidence_gap_detection,hypothesis_generation,distractor_rejection,experiment_design,scope_feasibility,feasibility_analysis,skills_gap_guidance,domain_mapping,risk_analysis,plan_completeness,resource_estimation,timeline_quality,risk_mitigation,additional_notes,student_actionability_score,student_clarity_score,student_constraint_fit_score,student_confidence_gain_score,student_path_ready,student_failure_modes,student_outcome_score
stage_d_01,D,student_judge_upgrade,mentor_manual,2025-11-01T17:17:27.406737Z,evals-for-papers/results/raw_logs/stage_d/stage_d_01.txt,evals-for-papers/results/raw_logs/stage_d/stage_d_01_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40,1.67,1.07,1.37,0,1,1.38
stage_d_02,D,student_judge_upgrade,mentor_manual,2025-11-01T17:17:48.142588Z,evals-for-papers/results/raw_logs/stage_d/stage_d_02.txt,evals-for-papers/results/raw_logs/stage_d/stage_d_02_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.53,1.73,1.10,1.57,0,1,1.48
stage_d_03,D,student_judge_upgrade,mentor_manual,2025-11-01T17:18:10.322474Z,evals-for-papers/results/raw_logs/stage_d/stage_d_03.txt,evals-for-papers/results/raw_logs/stage_d/stage_d_03_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.63,1.80,1.27,1.57,1,1,1.57
stage_d_04,D,student_judge_upgrade,mentor_manual,2025-11-01T17:18:28.536842Z,evals-for-papers/results/raw_logs/stage_d/stage_d_04.txt,evals-for-papers/results/raw_logs/stage_d/stage_d_04_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.93,1.87,1.57,1.80,1,1,1.80
stage_d_05,D,student_judge_upgrade,mentor_manual,2025-11-01T17:18:49.034136Z,evals-for-papers/results/raw_logs/stage_d/stage_d_05.txt,evals-for-papers/results/raw_logs/stage_d/stage_d_05_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.27,1.60,1.03,1.33,1,1,1.30
stage_d_06,D,student_judge_upgrade,mentor_manual,2025-11-01T17:19:07.241713Z,evals-for-papers/results/raw_logs/stage_d/stage_d_06.txt,evals-for-papers/results/raw_logs/stage_d/stage_d_06_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.57,1.73,1.17,1.70,1,1,1.53
stage_d_07,D,student_judge_upgrade,mentor_manual,2025-11-01T17:19:32.469063Z,evals-for-papers/results/raw_logs/stage_d/stage_d_07.txt,evals-for-papers/results/raw_logs/stage_d/stage_d_07_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.93,1.23,0.73,1.03,0,1,0.97
stage_d_08,D,student_judge_upgrade,mentor_manual,2025-11-01T17:19:51.201868Z,evals-for-papers/results/raw_logs/stage_d/stage_d_08.txt,evals-for-papers/results/raw_logs/stage_d/stage_d_08_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.33,1.60,1.07,1.43,1,0,1.35
stage_d_09,D,student_judge_upgrade,mentor_manual,2025-11-01T17:20:11.704951Z,evals-for-papers/results/raw_logs/stage_d/stage_d_09.txt,evals-for-papers/results/raw_logs/stage_d/stage_d_09_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40,1.63,1.10,1.37,0,1,1.38
stage_d_10,D,student_judge_upgrade,mentor_manual,2025-11-01T17:20:30.759575Z,evals-for-papers/results/raw_logs/stage_d/stage_d_10.txt,evals-for-papers/results/raw_logs/stage_d/stage_d_10_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.33,1.57,1.03,1.47,1,0,1.34
stage_d_11,D,student_judge_upgrade,mentor_manual,2025-11-01T17:20:49.638509Z,evals-for-papers/results/raw_logs/stage_d/stage_d_11.txt,evals-for-papers/results/raw_logs/stage_d/stage_d_11_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.03,1.53,0.77,1.33,0,0,1.14
stage_d_12,D,student_judge_upgrade,mentor_manual,2025-11-01T17:21:07.589831Z,evals-for-papers/results/raw_logs/stage_d/stage_d_12.txt,evals-for-papers/results/raw_logs/stage_d/stage_d_12_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.30,1.53,1.07,1.33,1,1,1.30
stage_d_13,D,student_judge_upgrade,mentor_manual,2025-11-01T17:21:24.252190Z,evals-for-papers/results/raw_logs/stage_d/stage_d_13.txt,evals-for-papers/results/raw_logs/stage_d/stage_d_13_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.30,1.43,0.83,1.20,1,1,1.20
stage_d_14,D,student_judge_upgrade,mentor_manual,2025-11-01T17:21:41.927516Z,evals-for-papers/results/raw_logs/stage_d/stage_d_14.txt,evals-for-papers/results/raw_logs/stage_d/stage_d_14_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.47,1.67,1.33,1.47,1,1,1.48
stage_d_15,D,student_judge_upgrade,mentor_manual,2025-11-01T17:22:00.110124Z,evals-for-papers/results/raw_logs/stage_d/stage_d_15.txt,evals-for-papers/results/raw_logs/stage_d/stage_d_15_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.27,1.60,0.90,1.17,0,1,1.24
