prompt_id,stage,annotator,system_id,run_timestamp,response_path,tool_trace_path,tool_routing,citation_validity,fallback_robustness,evidence_integrity,rag_fidelity_score,citation_relevance_score,source_fit_score,actionability_score,clarification_quality_score,citation_quality_score,persona_compliance_score,stage_awareness_score,tone_constructive_score,timeline_guidance,expectation_management,novelty_assessment,evidence_gap_detection,hypothesis_generation,distractor_rejection,experiment_design,scope_feasibility,feasibility_analysis,skills_gap_guidance,domain_mapping,risk_analysis,plan_completeness,resource_estimation,timeline_quality,risk_mitigation,additional_notes,student_actionability_score,student_clarity_score,student_constraint_fit_score,student_confidence_gain_score,student_path_ready,student_failure_modes,student_outcome_score
stage_d_01,D,student_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-11-01T17:55:41.893329Z,evals-for-papers/results/raw_logs/stage_d/stage_d_01_openrouter-anthropic_claude-sonnet-4.5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,1.40,0.97,0.87,0,1,1.07
stage_d_02,D,student_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-11-01T17:55:56.149680Z,evals-for-papers/results/raw_logs/stage_d/stage_d_02_openrouter-anthropic_claude-sonnet-4.5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.93,1.50,0.70,1.13,0,1,1.05
stage_d_03,D,student_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-11-01T17:56:16.384100Z,evals-for-papers/results/raw_logs/stage_d/stage_d_03_openrouter-anthropic_claude-sonnet-4.5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.20,1.50,0.87,1.17,0,0,1.19
stage_d_04,D,student_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-11-01T17:56:44.002447Z,evals-for-papers/results/raw_logs/stage_d/stage_d_04_openrouter-anthropic_claude-sonnet-4.5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.53,1.60,1.00,1.40,1,1,1.40
stage_d_05,D,student_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-11-01T17:57:03.037058Z,evals-for-papers/results/raw_logs/stage_d/stage_d_05_openrouter-anthropic_claude-sonnet-4.5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07,1.33,0.50,1.03,0,1,0.99
stage_d_06,D,student_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-11-01T17:57:22.278020Z,evals-for-papers/results/raw_logs/stage_d/stage_d_06_openrouter-anthropic_claude-sonnet-4.5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.90,1.30,0.63,1.03,0,0,0.95
stage_d_07,D,student_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-11-01T17:57:39.717776Z,evals-for-papers/results/raw_logs/stage_d/stage_d_07_openrouter-anthropic_claude-sonnet-4.5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43,1.50,1.03,1.07,0,0,1.29
stage_d_08,D,student_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-11-01T17:57:58.395401Z,evals-for-papers/results/raw_logs/stage_d/stage_d_08_openrouter-anthropic_claude-sonnet-4.5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.23,1.47,1.00,1.23,0,0,1.23
stage_d_10,D,student_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-11-01T17:58:16.749974Z,evals-for-papers/results/raw_logs/stage_d/stage_d_10_openrouter-anthropic_claude-sonnet-4.5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.20,1.13,0.83,0.73,0,0,1.02
stage_d_11,D,student_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-11-01T17:58:42.257442Z,evals-for-papers/results/raw_logs/stage_d/stage_d_11_openrouter-anthropic_claude-sonnet-4.5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83,1.30,0.50,0.70,0,0,0.85
stage_d_12,D,student_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-11-01T17:58:59.509004Z,evals-for-papers/results/raw_logs/stage_d/stage_d_12_openrouter-anthropic_claude-sonnet-4.5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.03,1.17,0.60,0.77,0,0,0.92
stage_d_13,D,student_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-11-01T17:59:16.896612Z,evals-for-papers/results/raw_logs/stage_d/stage_d_13_openrouter-anthropic_claude-sonnet-4.5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.87,1.03,0.47,0.67,0,1,0.78
stage_d_14,D,student_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-11-01T17:59:34.833213Z,evals-for-papers/results/raw_logs/stage_d/stage_d_14_openrouter-anthropic_claude-sonnet-4.5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.47,1.40,1.23,1.00,1,0,1.32
stage_d_15,D,student_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-11-01T17:59:51.565690Z,evals-for-papers/results/raw_logs/stage_d/stage_d_15_openrouter-anthropic_claude-sonnet-4.5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07,1.03,0.77,0.67,0,0,0.92
