prompt_id,stage,annotator,system_id,run_timestamp,response_path,tool_trace_path,tool_routing,citation_validity,fallback_robustness,evidence_integrity,rag_fidelity_score,citation_relevance_score,source_fit_score,actionability_score,clarification_quality_score,citation_quality_score,persona_compliance_score,stage_awareness_score,tone_constructive_score,timeline_guidance,expectation_management,novelty_assessment,evidence_gap_detection,hypothesis_generation,distractor_rejection,experiment_design,scope_feasibility,feasibility_analysis,skills_gap_guidance,domain_mapping,risk_analysis,plan_completeness,resource_estimation,timeline_quality,risk_mitigation,additional_notes,student_actionability_score,student_clarity_score,student_constraint_fit_score,student_confidence_gain_score,student_path_ready,student_failure_modes,student_outcome_score
stage_e_01,E,expert_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-11-01T19:02:09.323054Z,evals-for-papers/results/raw_logs/stage_e/stage_e_01_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,1,,1.0,2.00,2.00,2.00,0.73,,2.00,2.00,2.00,2.00,,1,,1,,,,,,,,1,,,,,,,,,,,,
stage_e_02,E,expert_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-11-01T19:03:53.385156Z,evals-for-papers/results/raw_logs/stage_e/stage_e_02_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,1,,1.0,2.00,2.00,2.00,0.73,,2.00,2.00,2.00,2.00,,1,,,,,,,,,,,,,,1,,,,,,,,
stage_e_03,E,expert_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-11-01T19:05:52.291318Z,evals-for-papers/results/raw_logs/stage_e/stage_e_03_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,1,,1.0,1.17,2.00,2.00,1.00,,1.33,2.00,2.00,2.00,,,,0,,,,,,,,1,,,,,,,,,,,,
stage_e_04,E,expert_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-11-01T19:07:30.332781Z,evals-for-papers/results/raw_logs/stage_e/stage_e_04_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,1,,0.5,0.50,1.33,1.33,0.93,,0.67,2.00,1.33,2.00,,,,,,,1,,,,,,,,,,,,,,,,,
stage_e_05,E,expert_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-11-01T19:09:16.871340Z,evals-for-papers/results/raw_logs/stage_e/stage_e_05_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,1,,1.0,1.00,1.33,2.00,0.80,,0.67,2.00,2.00,2.00,,1,,0,,,,,,,,,,,,,,,,,,,,
stage_e_06,E,expert_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-11-01T19:11:03.058929Z,evals-for-papers/results/raw_logs/stage_e/stage_e_06_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,1,,1.0,1.50,2.00,1.33,0.87,,2.00,2.00,2.00,2.00,,1,,,,,,,,,,1,,,,,,,,,,,,
stage_e_07,E,expert_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-11-01T19:13:15.367119Z,evals-for-papers/results/raw_logs/stage_e/stage_e_07_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,1,,1.0,1.67,2.00,2.00,0.87,,2.00,2.00,1.67,2.00,,1,,,,,,,,,,,,,,1,,,,,,,,
stage_e_08,E,expert_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-11-01T19:15:01.771519Z,evals-for-papers/results/raw_logs/stage_e/stage_e_08_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,1,,1.0,1.67,2.00,2.00,0.93,,1.33,2.00,1.33,2.00,,,,1,,,,,,,,,,,,1,,,,,,,,
stage_e_09,E,expert_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-11-01T19:16:55.065958Z,evals-for-papers/results/raw_logs/stage_e/stage_e_09_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,1,,1.0,1.67,2.00,2.00,0.93,,1.67,2.00,2.00,2.00,,1,,,,,,,,,,1,,,,,,,,,,,,
stage_e_10,E,expert_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-11-01T19:18:56.187663Z,evals-for-papers/results/raw_logs/stage_e/stage_e_10_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,1,,1.0,1.17,2.00,2.00,1.00,,2.00,1.67,2.00,2.00,,1,,,,,,,,,,,,,,1,,,,,,,,
