prompt_id,stage,annotator,system_id,run_timestamp,response_path,tool_trace_path,tool_routing,citation_presence,citation_validity,fallback_robustness,asks_questions,evidence_integrity,rag_fidelity_score,citation_relevance_score,source_fit_score,actionability_score,question_quality_score,citation_quality_score,persona_compliance_score,stage_awareness_score,tone_constructive_score,constraint_handling,timeline_guidance,expectation_management,novelty_assessment,evidence_gap_detection,hypothesis_generation,distractor_rejection,experiment_design,scope_feasibility,feasibility_analysis,skills_gap_guidance,domain_mapping,risk_analysis,plan_completeness,resource_estimation,timeline_quality,risk_mitigation,additional_notes
stage_e_01,E,single_turn_oct21,mentor_manual,2025-10-22T10:26:03.494516Z,evals-for-papers/results/raw_logs/stage_e/stage_e_01.txt,evals-for-papers/results/raw_logs/stage_e/stage_e_01_tools.json,0,1,1,,1,1.0,1.67,2.00,2.00,1.00,0.67,2.00,2.00,2.00,2.00,,,1,,1,,,,,,,,1,,,,,
stage_e_02,E,single_turn_oct21,mentor_manual,2025-10-22T10:27:51.699651Z,evals-for-papers/results/raw_logs/stage_e/stage_e_02.txt,evals-for-papers/results/raw_logs/stage_e/stage_e_02_tools.json,0,0,1,,0,1.0,2.00,2.00,2.00,0.93,0.67,2.00,2.00,2.00,2.00,,,1,,,,,,,,,,,,,,1,
stage_e_03,E,single_turn_oct21,mentor_manual,2025-10-22T10:30:01.465219Z,evals-for-papers/results/raw_logs/stage_e/stage_e_03.txt,evals-for-papers/results/raw_logs/stage_e/stage_e_03_tools.json,0,0,1,,1,1.0,2.00,2.00,2.00,0.93,0.67,2.00,1.67,2.00,2.00,,,,,0,,,,,,,,1,,,,,
stage_e_04,E,single_turn_oct21,mentor_manual,2025-10-22T10:32:14.893503Z,evals-for-papers/results/raw_logs/stage_e/stage_e_04.txt,evals-for-papers/results/raw_logs/stage_e/stage_e_04_tools.json,1,1,1,,0,1.0,2.00,2.00,2.00,0.87,0.67,1.67,2.00,2.00,2.00,,,,,,,,1,,,,,,,,,,
stage_e_05,E,single_turn_oct21,mentor_manual,2025-10-22T10:34:12.129826Z,evals-for-papers/results/raw_logs/stage_e/stage_e_05.txt,evals-for-papers/results/raw_logs/stage_e/stage_e_05_tools.json,0,1,1,,0,1.0,2.00,2.00,2.00,1.00,0.67,2.00,2.00,2.00,2.00,,,1,,1,,,,,,,,,,,,,
stage_e_06,E,single_turn_oct21,mentor_manual,2025-10-22T10:36:18.153003Z,evals-for-papers/results/raw_logs/stage_e/stage_e_06.txt,evals-for-papers/results/raw_logs/stage_e/stage_e_06_tools.json,1,1,1,,0,1.0,2.00,2.00,2.00,0.93,0.67,2.00,2.00,2.00,2.00,,,1,,,,,,,,,,1,,,,,
stage_e_07,E,single_turn_oct21,mentor_manual,2025-10-22T10:38:15.619566Z,evals-for-papers/results/raw_logs/stage_e/stage_e_07.txt,evals-for-papers/results/raw_logs/stage_e/stage_e_07_tools.json,0,1,1,,0,1.0,1.67,1.67,2.00,0.93,0.67,1.67,2.00,2.00,2.00,,,1,,,,,,,,,,,,,,1,
stage_e_08,E,single_turn_oct21,mentor_manual,2025-10-22T10:40:36.521679Z,evals-for-papers/results/raw_logs/stage_e/stage_e_08.txt,evals-for-papers/results/raw_logs/stage_e/stage_e_08_tools.json,1,1,1,,0,1.0,2.00,2.00,2.00,1.00,1.33,2.00,2.00,2.00,2.00,,,,,0,,,,,,,,,,,,1,
stage_e_09,E,single_turn_oct21,mentor_manual,2025-10-22T10:42:58.783472Z,evals-for-papers/results/raw_logs/stage_e/stage_e_09.txt,evals-for-papers/results/raw_logs/stage_e/stage_e_09_tools.json,0,1,1,,0,1.0,2.00,2.00,2.00,1.00,0.67,2.00,2.00,2.00,2.00,,,1,,,,,,,,,,1,,,,,
stage_e_10,E,single_turn_oct21,mentor_manual,2025-10-22T10:45:03.915276Z,evals-for-papers/results/raw_logs/stage_e/stage_e_10.txt,evals-for-papers/results/raw_logs/stage_e/stage_e_10_tools.json,0,0,1,,0,1.0,2.00,2.00,2.00,1.00,0.67,2.00,0.67,2.00,2.00,,,1,,,,,,,,,,,,,,1,
stage_e_11,E,single_turn_oct21,mentor_manual,2025-10-22T10:47:26.664396Z,evals-for-papers/results/raw_logs/stage_e/stage_e_11.txt,evals-for-papers/results/raw_logs/stage_e/stage_e_11_tools.json,0,0,1,,0,1.0,2.00,2.00,2.00,1.00,0.67,2.00,2.00,2.00,2.00,,,1,,,,,,,,,,,,,,1,
stage_e_12,E,single_turn_oct21,mentor_manual,2025-10-22T10:49:59.765428Z,evals-for-papers/results/raw_logs/stage_e/stage_e_12.txt,evals-for-papers/results/raw_logs/stage_e/stage_e_12_tools.json,1,1,1,,0,1.0,1.00,2.00,1.33,1.00,0.67,2.00,2.00,2.00,2.00,,,1,,,,,,,,,,,,,,1,
stage_e_13,E,single_turn_oct21,mentor_manual,2025-10-22T10:51:52.050960Z,evals-for-papers/results/raw_logs/stage_e/stage_e_13.txt,evals-for-papers/results/raw_logs/stage_e/stage_e_13_tools.json,0,0,0,,0,0.0,1.00,0.00,1.67,0.20,0.00,0.00,0.67,1.33,1.00,,,1,,,,,,,,,,0,,,,,
stage_e_14,E,single_turn_oct21,mentor_manual,2025-10-22T10:53:59.916167Z,evals-for-papers/results/raw_logs/stage_e/stage_e_14.txt,evals-for-papers/results/raw_logs/stage_e/stage_e_14_tools.json,1,1,1,,1,1.0,2.00,2.00,2.00,1.00,0.67,2.00,2.00,2.00,2.00,,,1,,,,,,,,,,,,,,1,
stage_e_15,E,single_turn_oct21,mentor_manual,2025-10-22T10:56:07.655003Z,evals-for-papers/results/raw_logs/stage_e/stage_e_15.txt,evals-for-papers/results/raw_logs/stage_e/stage_e_15_tools.json,0,1,1,,0,1.0,2.00,2.00,2.00,1.00,0.67,2.00,2.00,2.00,2.00,,,1,,,,,,,,,,,,,,1,
