prompt_id,stage,annotator,system_id,run_timestamp,response_path,tool_trace_path,tool_routing,citation_validity,fallback_robustness,evidence_integrity,rag_fidelity_score,citation_relevance_score,source_fit_score,actionability_score,clarification_quality_score,citation_quality_score,persona_compliance_score,stage_awareness_score,tone_constructive_score,timeline_guidance,expectation_management,novelty_assessment,evidence_gap_detection,hypothesis_generation,distractor_rejection,experiment_design,scope_feasibility,feasibility_analysis,skills_gap_guidance,domain_mapping,risk_analysis,plan_completeness,resource_estimation,timeline_quality,risk_mitigation,additional_notes,student_actionability_score,student_clarity_score,student_constraint_fit_score,student_confidence_gain_score,student_path_ready,student_failure_modes,student_outcome_score
stage_f_01,F,expert_judge_upgrade,mentor_manual,2025-11-03T13:22:19.662285Z,evals-for-papers/results/raw_logs/stage_f/stage_f_01.txt,evals-for-papers/results/raw_logs/stage_f/stage_f_01_tools.json,1,1,,1.0,1.67,2.00,2.00,1.00,,2.00,2.00,2.00,2.00,,,,,,,,,,,,,,,,,,,,,,,,
stage_f_02,F,expert_judge_upgrade,mentor_manual,2025-11-03T13:25:52.869259Z,evals-for-papers/results/raw_logs/stage_f/stage_f_02.txt,evals-for-papers/results/raw_logs/stage_f/stage_f_02_tools.json,0,1,,1.0,2.00,2.00,2.00,1.00,,2.00,2.00,2.00,2.00,,,,,,,,,,,,,,,,1,,,,,,,,
stage_f_03,F,expert_judge_upgrade,mentor_manual,2025-11-03T13:28:14.648662Z,evals-for-papers/results/raw_logs/stage_f/stage_f_03.txt,evals-for-papers/results/raw_logs/stage_f/stage_f_03_tools.json,0,1,,1.0,2.00,2.00,2.00,0.83,,2.00,2.00,2.00,2.00,,,,,,,,,,,,,1,,1,1,,,,,,,,
stage_f_04,F,expert_judge_upgrade,mentor_manual,2025-11-03T13:30:36.733265Z,evals-for-papers/results/raw_logs/stage_f/stage_f_04.txt,evals-for-papers/results/raw_logs/stage_f/stage_f_04_tools.json,0,1,,1.0,2.00,2.00,2.00,1.00,,2.00,2.00,2.00,2.00,,,,,,,,,,,,,1,,,,,,,,,,,
stage_f_05,F,expert_judge_upgrade,mentor_manual,2025-11-03T13:33:41.510077Z,evals-for-papers/results/raw_logs/stage_f/stage_f_05.txt,evals-for-papers/results/raw_logs/stage_f/stage_f_05_tools.json,0,1,,1.0,1.50,2.00,2.00,1.00,,2.00,2.00,2.00,2.00,,,,,,,,,,,,,1,,1,,,,,,,,,
stage_f_06,F,expert_judge_upgrade,mentor_manual,2025-11-03T13:36:27.390514Z,evals-for-papers/results/raw_logs/stage_f/stage_f_06.txt,evals-for-papers/results/raw_logs/stage_f/stage_f_06_tools.json,0,1,,1.0,1.67,2.00,2.00,1.00,,2.00,2.00,2.00,2.00,,,,,,,,,,,,,,,,1,,,,,,,,
stage_f_07,F,expert_judge_upgrade,mentor_manual,2025-11-03T13:38:33.085473Z,evals-for-papers/results/raw_logs/stage_f/stage_f_07.txt,evals-for-papers/results/raw_logs/stage_f/stage_f_07_tools.json,0,1,,1.0,2.00,2.00,1.67,0.93,,2.00,2.00,2.00,2.00,,1,,,,,,,,,,,,,,1,,,,,,,,
stage_f_08,F,expert_judge_upgrade,mentor_manual,2025-11-03T13:40:49.675391Z,evals-for-papers/results/raw_logs/stage_f/stage_f_08.txt,evals-for-papers/results/raw_logs/stage_f/stage_f_08_tools.json,1,1,,1.0,2.00,2.00,2.00,0.90,,2.00,2.00,2.00,2.00,,,,,,,,,,,,,0,,,,,,,,,,,
stage_f_09,F,expert_judge_upgrade,mentor_manual,2025-11-03T13:43:10.808045Z,evals-for-papers/results/raw_logs/stage_f/stage_f_09.txt,evals-for-papers/results/raw_logs/stage_f/stage_f_09_tools.json,0,1,,1.0,2.00,2.00,1.67,1.00,,2.00,2.00,2.00,2.00,,,,,,,,,,,,,1,,1,1,,,,,,,,
stage_f_10,F,expert_judge_upgrade,mentor_manual,2025-11-03T13:45:08.321774Z,evals-for-papers/results/raw_logs/stage_f/stage_f_10.txt,evals-for-papers/results/raw_logs/stage_f/stage_f_10_tools.json,0,1,,1.0,2.00,2.00,2.00,0.80,,2.00,2.00,2.00,2.00,,,,,,,,,,,,,,,,1,,,,,,,,
stage_f_11,F,expert_judge_upgrade,mentor_manual,2025-11-03T13:47:07.888378Z,evals-for-papers/results/raw_logs/stage_f/stage_f_11.txt,evals-for-papers/results/raw_logs/stage_f/stage_f_11_tools.json,0,1,,1.0,2.00,2.00,2.00,0.93,,1.67,1.67,2.00,1.67,,,,,,,,,,,,,1,,,1,,,,,,,,
stage_f_12,F,expert_judge_upgrade,mentor_manual,2025-11-03T13:48:59.002858Z,evals-for-papers/results/raw_logs/stage_f/stage_f_12.txt,evals-for-papers/results/raw_logs/stage_f/stage_f_12_tools.json,0,1,,1.0,2.00,2.00,2.00,1.00,,2.00,2.00,2.00,2.00,,,,,,,,,,,,,,,,1,,,,,,,,
stage_f_13,F,expert_judge_upgrade,mentor_manual,2025-11-03T13:51:20.746688Z,evals-for-papers/results/raw_logs/stage_f/stage_f_13.txt,evals-for-papers/results/raw_logs/stage_f/stage_f_13_tools.json,0,1,,1.0,1.50,2.00,2.00,1.00,,1.67,2.00,2.00,2.00,,1,,,,,,,,,,,1,,,,,,,,,,,
stage_f_14,F,expert_judge_upgrade,mentor_manual,2025-11-03T13:54:00.944221Z,evals-for-papers/results/raw_logs/stage_f/stage_f_14.txt,evals-for-papers/results/raw_logs/stage_f/stage_f_14_tools.json,0,1,,1.0,2.00,2.00,2.00,0.93,,2.00,2.00,2.00,2.00,,,,,,,,,,,,,1,,,1,,,,,,,,
stage_f_15,F,expert_judge_upgrade,mentor_manual,2025-11-03T13:56:02.143928Z,evals-for-papers/results/raw_logs/stage_f/stage_f_15.txt,evals-for-papers/results/raw_logs/stage_f/stage_f_15_tools.json,0,1,,1.0,2.00,2.00,2.00,1.00,,2.00,2.00,2.00,2.00,,,,,,,,,,,,,1,,,,,,,,,,,
