prompt_id,stage,annotator,system_id,run_timestamp,response_path,tool_trace_path,tool_routing,citation_validity,fallback_robustness,evidence_integrity,rag_fidelity_score,citation_relevance_score,source_fit_score,actionability_score,clarification_quality_score,citation_quality_score,persona_compliance_score,stage_awareness_score,tone_constructive_score,timeline_guidance,expectation_management,novelty_assessment,evidence_gap_detection,hypothesis_generation,distractor_rejection,experiment_design,scope_feasibility,feasibility_analysis,skills_gap_guidance,domain_mapping,risk_analysis,plan_completeness,resource_estimation,timeline_quality,risk_mitigation,additional_notes,student_actionability_score,student_clarity_score,student_constraint_fit_score,student_confidence_gain_score,student_path_ready,student_failure_modes,student_outcome_score
stage_f_01,F,expert_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-11-03T14:03:30.084545Z,evals-for-papers/results/raw_logs/stage_f/stage_f_01_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,,0.0,1.00,0.00,2.00,0.67,,0.00,2.00,2.00,2.00,,,,,,,,,,,,,,,,,,,,,,,,
stage_f_02,F,expert_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-11-03T14:04:59.126477Z,evals-for-papers/results/raw_logs/stage_f/stage_f_02_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,,0.0,0.50,0.00,2.00,0.80,,0.00,2.00,1.67,1.67,,,,,,,,,,,,,,,,1,,,,,,,,
stage_f_03,F,expert_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-11-03T14:07:02.358765Z,evals-for-papers/results/raw_logs/stage_f/stage_f_03_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,,0.0,1.00,0.00,2.00,0.67,,0.00,2.00,1.67,1.67,,,,,,,,,,,,,0,,1,1,,,,,,,,
stage_f_04,F,expert_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-11-03T14:08:48.034189Z,evals-for-papers/results/raw_logs/stage_f/stage_f_04_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,,0.0,0.50,0.00,1.67,0.80,,0.00,2.00,2.00,1.67,,,,,,,,,,,,,0,,,,,,,,,,,
stage_f_05,F,expert_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-11-03T14:10:56.924463Z,evals-for-papers/results/raw_logs/stage_f/stage_f_05_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,,0.0,0.83,0.00,1.00,0.80,,0.00,1.67,1.33,1.67,,,,,,,,,,,,,0,,1,,,,,,,,,
stage_f_06,F,expert_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-11-03T14:12:38.367955Z,evals-for-papers/results/raw_logs/stage_f/stage_f_06_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,1,,0.5,0.50,0.00,1.67,0.87,,0.00,2.00,2.00,2.00,,,,,,,,,,,,,,,,1,,,,,,,,
stage_f_07,F,expert_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-11-03T14:14:43.228242Z,evals-for-papers/results/raw_logs/stage_f/stage_f_07_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,,0.0,0.33,0.00,1.00,0.60,,0.00,2.00,1.33,1.67,,1,,,,,,,,,,,,,,1,,,,,,,,
stage_f_08,F,expert_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-11-03T14:16:30.111317Z,evals-for-papers/results/raw_logs/stage_f/stage_f_08_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,,0.0,0.33,0.00,1.67,0.77,,0.00,2.00,1.33,1.67,,,,,,,,,,,,,0,,,,,,,,,,,
stage_f_09,F,expert_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-11-03T14:18:41.138256Z,evals-for-papers/results/raw_logs/stage_f/stage_f_09_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,1,,0.8333333333333334,0.83,1.33,1.33,0.87,,0.33,2.00,2.00,1.67,,,,,,,,,,,,,0,,1,1,,,,,,,,
stage_f_10,F,expert_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-11-03T14:20:35.522406Z,evals-for-papers/results/raw_logs/stage_f/stage_f_10_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,1,,0.3333333333333333,0.33,2.00,2.00,0.73,,0.67,2.00,2.00,2.00,,,,,,,,,,,,,,,,1,,,,,,,,
stage_f_11,F,expert_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-11-03T14:22:56.132281Z,evals-for-papers/results/raw_logs/stage_f/stage_f_11_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,1,,0.3333333333333333,0.33,1.00,1.33,0.87,,0.67,1.67,1.33,2.00,,,,,,,,,,,,,0,,,1,,,,,,,,
stage_f_12,F,expert_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-11-03T14:25:07.731788Z,evals-for-papers/results/raw_logs/stage_f/stage_f_12_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,1,,1.0,1.00,1.33,1.33,0.67,,1.33,2.00,1.33,1.33,,,,,,,,,,,,,,,,1,,,,,,,,
stage_f_13,F,expert_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-11-03T14:27:49.564057Z,evals-for-papers/results/raw_logs/stage_f/stage_f_13_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,,0.0,0.50,0.00,1.67,0.80,,0.00,2.00,1.33,2.00,,1,,,,,,,,,,,0,,,,,,,,,,,
stage_f_14,F,expert_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-11-03T14:30:02.606207Z,evals-for-papers/results/raw_logs/stage_f/stage_f_14_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,,0.0,0.33,0.00,2.00,0.60,,0.00,2.00,1.67,2.00,,,,,,,,,,,,,0,,,1,,,,,,,,
stage_f_15,F,expert_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-11-03T14:31:54.905245Z,evals-for-papers/results/raw_logs/stage_f/stage_f_15_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,1,,0.5,0.50,0.67,1.00,0.67,,0.50,2.00,2.00,1.67,,,,,,,,,,,,,0,,,,,,,,,,,
