prompt_id,stage,annotator,system_id,run_timestamp,response_path,tool_trace_path,tool_routing,citation_presence,citation_validity,fallback_robustness,asks_questions,evidence_integrity,rag_fidelity_score,citation_relevance_score,source_fit_score,actionability_score,question_quality_score,citation_quality_score,persona_compliance_score,stage_awareness_score,tone_constructive_score,constraint_handling,timeline_guidance,expectation_management,novelty_assessment,evidence_gap_detection,hypothesis_generation,distractor_rejection,experiment_design,scope_feasibility,feasibility_analysis,skills_gap_guidance,domain_mapping,risk_analysis,plan_completeness,resource_estimation,timeline_quality,risk_mitigation,additional_notes
stage_f_01,F,single_turn_oct21,openrouter:anthropic/claude-sonnet-4.5,2025-10-22T11:30:24.455193Z,evals-for-papers/results/raw_logs/stage_f/stage_f_01_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,0,,1,0.0,1.00,0.00,2.00,0.73,1.00,0.00,2.00,2.00,2.00,1,,,,,,,,,,,,,,,,,
stage_f_02,F,single_turn_oct21,openrouter:anthropic/claude-sonnet-4.5,2025-10-22T11:32:39.948133Z,evals-for-papers/results/raw_logs/stage_f/stage_f_02_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,0,,1,0.0,0.50,0.00,1.67,0.73,2.00,0.00,2.00,2.00,2.00,1,,,,,,,,,,,,,,,,1,
stage_f_03,F,single_turn_oct21,openrouter:anthropic/claude-sonnet-4.5,2025-10-22T11:34:59.790299Z,evals-for-papers/results/raw_logs/stage_f/stage_f_03_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,1,0,,1,0.0,0.50,0.00,2.00,0.60,1.67,0.00,2.00,1.67,2.00,,,,,,,,,,,,,,0,,1,1,
stage_f_04,F,single_turn_oct21,openrouter:anthropic/claude-sonnet-4.5,2025-10-22T11:37:23.537335Z,evals-for-papers/results/raw_logs/stage_f/stage_f_04_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,1,0,,1,0.0,1.00,0.00,2.00,0.67,0.67,0.00,2.00,2.00,2.00,1,,,,,,,,,,,,,0,,,,
stage_f_05,F,single_turn_oct21,openrouter:anthropic/claude-sonnet-4.5,2025-10-22T11:39:45.706171Z,evals-for-papers/results/raw_logs/stage_f/stage_f_05_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,1,0,,1,0.0,0.67,0.00,1.00,0.73,1.33,0.00,1.67,1.33,2.00,1,,,,,,,,,,,,,0,,1,,
stage_f_06,F,single_turn_oct21,openrouter:anthropic/claude-sonnet-4.5,2025-10-22T11:42:01.381099Z,evals-for-papers/results/raw_logs/stage_f/stage_f_06_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,1,1,,1,1.0,1.00,0.67,2.00,0.87,1.33,0.33,2.00,2.00,2.00,1,,,,,,,,,,,,,,,,1,
stage_f_07,F,single_turn_oct21,openrouter:anthropic/claude-sonnet-4.5,2025-10-22T11:44:57.195786Z,evals-for-papers/results/raw_logs/stage_f/stage_f_07_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,0,,1,0.0,0.33,0.00,1.33,0.40,1.00,0.00,2.00,0.67,2.00,,,1,,,,,,,,,,,,,,0,
stage_f_08,F,single_turn_oct21,openrouter:anthropic/claude-sonnet-4.5,2025-10-22T11:47:48.292275Z,evals-for-papers/results/raw_logs/stage_f/stage_f_08_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,1,0,,1,0.0,0.50,0.00,1.67,0.73,1.33,0.00,2.00,1.33,2.00,1,,,,,,,,,,,,,0,,,,
stage_f_09,F,single_turn_oct21,openrouter:anthropic/claude-sonnet-4.5,2025-10-22T11:50:34.181941Z,evals-for-papers/results/raw_logs/stage_f/stage_f_09_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,1,1,,1,0.5,0.50,1.33,1.67,0.93,1.33,0.83,2.00,2.00,2.00,,,,,,,,,,,,,,0,,1,1,
stage_f_10,F,single_turn_oct21,openrouter:anthropic/claude-sonnet-4.5,2025-10-22T11:53:32.867850Z,evals-for-papers/results/raw_logs/stage_f/stage_f_10_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,1,1,,1,0.8333333333333334,0.83,1.33,1.83,0.63,1.33,0.67,2.00,1.67,2.00,1,,,,,,,,,,,,,,,,1,
