prompt_id,stage,annotator,system_id,run_timestamp,response_path,tool_trace_path,tool_routing,citation_presence,citation_validity,fallback_robustness,asks_questions,evidence_integrity,rag_fidelity_score,citation_relevance_score,source_fit_score,actionability_score,question_quality_score,citation_quality_score,persona_compliance_score,stage_awareness_score,tone_constructive_score,constraint_handling,timeline_guidance,expectation_management,novelty_assessment,evidence_gap_detection,hypothesis_generation,distractor_rejection,experiment_design,scope_feasibility,feasibility_analysis,skills_gap_guidance,domain_mapping,risk_analysis,plan_completeness,resource_estimation,timeline_quality,risk_mitigation,additional_notes
stage_f_01,F,single_turn_oct21,mentor_manual,2025-10-22T10:25:35.435501Z,evals-for-papers/results/raw_logs/stage_f/stage_f_01.txt,evals-for-papers/results/raw_logs/stage_f/stage_f_01_tools.json,1,1,1,,1,1.0,1.67,2.00,2.00,0.87,0.67,2.00,2.00,2.00,2.00,1,,,,,,,,,,,,,,,,,
stage_f_02,F,single_turn_oct21,mentor_manual,2025-10-22T10:27:42.873748Z,evals-for-papers/results/raw_logs/stage_f/stage_f_02.txt,evals-for-papers/results/raw_logs/stage_f/stage_f_02_tools.json,0,1,1,,0,1.0,2.00,1.93,2.00,1.00,1.33,2.00,2.00,2.00,2.00,1,,,,,,,,,,,,,,,,1,
stage_f_03,F,single_turn_oct21,mentor_manual,2025-10-22T10:30:00.184536Z,evals-for-papers/results/raw_logs/stage_f/stage_f_03.txt,evals-for-papers/results/raw_logs/stage_f/stage_f_03_tools.json,0,1,1,,1,1.0,2.00,2.00,2.00,0.87,1.33,2.00,2.00,2.00,2.00,,,,,,,,,,,,,,1,,1,1,
stage_f_04,F,single_turn_oct21,mentor_manual,2025-10-22T10:32:11.037781Z,evals-for-papers/results/raw_logs/stage_f/stage_f_04.txt,evals-for-papers/results/raw_logs/stage_f/stage_f_04_tools.json,0,0,1,,1,1.0,2.00,2.00,2.00,0.93,0.33,2.00,2.00,2.00,2.00,1,,,,,,,,,,,,,1,,,,
stage_f_05,F,single_turn_oct21,mentor_manual,2025-10-22T10:34:44.157582Z,evals-for-papers/results/raw_logs/stage_f/stage_f_05.txt,evals-for-papers/results/raw_logs/stage_f/stage_f_05_tools.json,0,1,1,,0,1.0,1.50,2.00,2.00,0.93,0.67,2.00,2.00,2.00,2.00,1,,,,,,,,,,,,,1,,1,,
stage_f_06,F,single_turn_oct21,mentor_manual,2025-10-22T10:36:40.317804Z,evals-for-papers/results/raw_logs/stage_f/stage_f_06.txt,evals-for-papers/results/raw_logs/stage_f/stage_f_06_tools.json,0,1,1,,0,1.0,2.00,2.00,2.00,1.00,1.33,2.00,2.00,2.00,2.00,1,,,,,,,,,,,,,,,,1,
stage_f_07,F,single_turn_oct21,mentor_manual,2025-10-22T10:38:52.543774Z,evals-for-papers/results/raw_logs/stage_f/stage_f_07.txt,evals-for-papers/results/raw_logs/stage_f/stage_f_07_tools.json,0,1,1,,0,1.0,2.00,2.00,2.00,0.83,1.33,2.00,2.00,2.00,2.00,,,1,,,,,,,,,,,,,,1,
stage_f_08,F,single_turn_oct21,mentor_manual,2025-10-22T10:41:02.669148Z,evals-for-papers/results/raw_logs/stage_f/stage_f_08.txt,evals-for-papers/results/raw_logs/stage_f/stage_f_08_tools.json,1,1,1,,0,1.0,1.50,2.00,2.00,0.83,0.67,2.00,2.00,2.00,2.00,1,,,,,,,,,,,,,0,,,,
stage_f_09,F,single_turn_oct21,mentor_manual,2025-10-22T10:43:16.514121Z,evals-for-papers/results/raw_logs/stage_f/stage_f_09.txt,evals-for-papers/results/raw_logs/stage_f/stage_f_09_tools.json,0,1,1,,0,1.0,2.00,2.00,2.00,1.00,1.33,2.00,2.00,2.00,2.00,,,,,,,,,,,,,,1,,1,1,
stage_f_10,F,single_turn_oct21,mentor_manual,2025-10-22T10:45:17.890719Z,evals-for-papers/results/raw_logs/stage_f/stage_f_10.txt,evals-for-papers/results/raw_logs/stage_f/stage_f_10_tools.json,0,1,1,,0,1.0,2.00,2.00,2.00,0.87,1.33,2.00,2.00,2.00,2.00,1,,,,,,,,,,,,,,,,1,
