prompt_id,stage,annotator,system_id,run_timestamp,response_path,tool_trace_path,tool_routing,citation_presence,citation_validity,fallback_robustness,asks_questions,evidence_integrity,rag_fidelity_score,citation_relevance_score,source_fit_score,actionability_score,question_quality_score,citation_quality_score,persona_compliance_score,stage_awareness_score,tone_constructive_score,constraint_handling,timeline_guidance,expectation_management,novelty_assessment,evidence_gap_detection,hypothesis_generation,distractor_rejection,experiment_design,scope_feasibility,feasibility_analysis,skills_gap_guidance,domain_mapping,risk_analysis,plan_completeness,resource_estimation,timeline_quality,risk_mitigation,additional_notes,student_actionability_score,student_clarity_score,student_constraint_fit_score,student_confidence_gain_score,student_path_ready,student_failure_modes,student_outcome_score
stage_f_01,F,student_judge_pilot,mentor_manual,2025-10-28T13:08:35.631942Z,evals-for-papers/results/raw_logs/stage_f/stage_f_01.txt,evals-for-papers/results/raw_logs/stage_f/stage_f_01_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.77,1.87,1.67,1.83,1,1,1.78
stage_f_02,F,student_judge_pilot,mentor_manual,2025-10-28T13:09:01.079707Z,evals-for-papers/results/raw_logs/stage_f/stage_f_02.txt,evals-for-papers/results/raw_logs/stage_f/stage_f_02_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.80,1.93,1.70,1.90,1,1,1.82
stage_f_03,F,student_judge_pilot,mentor_manual,2025-10-28T13:09:33.621368Z,evals-for-papers/results/raw_logs/stage_f/stage_f_03.txt,evals-for-papers/results/raw_logs/stage_f/stage_f_03_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.87,1.93,1.57,1.73,1,1,1.79
stage_f_04,F,student_judge_pilot,mentor_manual,2025-10-28T13:10:06.208700Z,evals-for-papers/results/raw_logs/stage_f/stage_f_04.txt,evals-for-papers/results/raw_logs/stage_f/stage_f_04_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.77,1.80,1.53,1.73,1,1,1.71
stage_f_05,F,student_judge_pilot,mentor_manual,2025-10-28T13:10:28.477222Z,evals-for-papers/results/raw_logs/stage_f/stage_f_05.txt,evals-for-papers/results/raw_logs/stage_f/stage_f_05_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.60,1.70,1.40,1.67,1,1,1.58
stage_f_06,F,student_judge_pilot,mentor_manual,2025-10-28T13:11:21.951120Z,evals-for-papers/results/raw_logs/stage_f/stage_f_06.txt,evals-for-papers/results/raw_logs/stage_f/stage_f_06_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.80,1.93,1.67,1.87,1,1,1.81
stage_f_07,F,student_judge_pilot,mentor_manual,2025-10-28T13:11:56.096578Z,evals-for-papers/results/raw_logs/stage_f/stage_f_07.txt,evals-for-papers/results/raw_logs/stage_f/stage_f_07_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.57,1.80,1.30,1.63,1,1,1.57
stage_f_08,F,student_judge_pilot,mentor_manual,2025-10-28T13:12:39.075247Z,evals-for-papers/results/raw_logs/stage_f/stage_f_08.txt,evals-for-papers/results/raw_logs/stage_f/stage_f_08_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.33,1.50,1.20,1.37,1,1,1.35
stage_f_09,F,student_judge_pilot,mentor_manual,2025-10-28T13:13:00.077652Z,evals-for-papers/results/raw_logs/stage_f/stage_f_09.txt,evals-for-papers/results/raw_logs/stage_f/stage_f_09_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.77,1.87,1.40,1.67,1,1,1.69
stage_f_10,F,student_judge_pilot,mentor_manual,2025-10-28T13:13:18.822513Z,evals-for-papers/results/raw_logs/stage_f/stage_f_10.txt,evals-for-papers/results/raw_logs/stage_f/stage_f_10_tools.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.70,1.87,1.70,1.83,1,1,1.76
