prompt_id,stage,annotator,system_id,run_timestamp,response_path,tool_trace_path,tool_routing,citation_validity,fallback_robustness,evidence_integrity,rag_fidelity_score,citation_relevance_score,source_fit_score,actionability_score,clarification_quality_score,citation_quality_score,persona_compliance_score,stage_awareness_score,tone_constructive_score,timeline_guidance,expectation_management,novelty_assessment,evidence_gap_detection,hypothesis_generation,distractor_rejection,experiment_design,scope_feasibility,feasibility_analysis,skills_gap_guidance,domain_mapping,risk_analysis,plan_completeness,resource_estimation,timeline_quality,risk_mitigation,additional_notes,student_actionability_score,student_clarity_score,student_constraint_fit_score,student_confidence_gain_score,student_path_ready,student_failure_modes,student_outcome_score
stage_f_01,F,student_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-11-03T14:32:10.121768Z,evals-for-papers/results/raw_logs/stage_f/stage_f_01_openrouter-anthropic_claude-sonnet-4.5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.55,1.75,1.85,1.60,1,1,1.68
stage_f_02,F,student_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-11-03T14:32:28.035868Z,evals-for-papers/results/raw_logs/stage_f/stage_f_02_openrouter-anthropic_claude-sonnet-4.5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.33,1.60,1.40,1.40,1,1,1.43
stage_f_03,F,student_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-11-03T14:32:48.429744Z,evals-for-papers/results/raw_logs/stage_f/stage_f_03_openrouter-anthropic_claude-sonnet-4.5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.20,1.57,0.93,1.30,1,1,1.24
stage_f_04,F,student_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-11-03T14:33:08.919069Z,evals-for-papers/results/raw_logs/stage_f/stage_f_04_openrouter-anthropic_claude-sonnet-4.5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.33,1.60,1.23,1.63,1,1,1.42
stage_f_05,F,student_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-11-03T14:33:58.864320Z,evals-for-papers/results/raw_logs/stage_f/stage_f_05_openrouter-anthropic_claude-sonnet-4.5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.53,1.60,1.30,1.63,0,1,1.51
stage_f_06,F,student_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-11-03T14:34:26.186635Z,evals-for-papers/results/raw_logs/stage_f/stage_f_06_openrouter-anthropic_claude-sonnet-4.5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.17,1.50,1.23,1.40,1,1,1.30
stage_f_07,F,student_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-11-03T14:35:03.904094Z,evals-for-papers/results/raw_logs/stage_f/stage_f_07_openrouter-anthropic_claude-sonnet-4.5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.33,1.60,1.20,1.57,1,1,1.40
stage_f_08,F,student_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-11-03T14:35:29.106587Z,evals-for-papers/results/raw_logs/stage_f/stage_f_08_openrouter-anthropic_claude-sonnet-4.5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.33,1.40,1.00,1.27,1,1,1.26
stage_f_09,F,student_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-11-03T14:35:52.211897Z,evals-for-papers/results/raw_logs/stage_f/stage_f_09_openrouter-anthropic_claude-sonnet-4.5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.33,1.60,1.17,1.10,1,1,1.32
stage_f_10,F,student_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-11-03T14:36:14.599892Z,evals-for-papers/results/raw_logs/stage_f/stage_f_10_openrouter-anthropic_claude-sonnet-4.5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07,1.50,1.13,1.53,1,1,1.26
stage_f_11,F,student_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-11-03T14:36:35.811137Z,evals-for-papers/results/raw_logs/stage_f/stage_f_11_openrouter-anthropic_claude-sonnet-4.5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.13,1.30,0.77,1.07,0,1,1.07
stage_f_12,F,student_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-11-03T14:36:55.367321Z,evals-for-papers/results/raw_logs/stage_f/stage_f_12_openrouter-anthropic_claude-sonnet-4.5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.93,1.27,1.17,1.20,1,1,1.11
stage_f_13,F,student_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-11-03T14:37:20.707232Z,evals-for-papers/results/raw_logs/stage_f/stage_f_13_openrouter-anthropic_claude-sonnet-4.5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.10,1.53,1.30,1.30,1,1,1.29
stage_f_14,F,student_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-11-03T14:37:45.151368Z,evals-for-papers/results/raw_logs/stage_f/stage_f_14_openrouter-anthropic_claude-sonnet-4.5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.93,1.50,1.03,1.03,1,1,1.11
stage_f_15,F,student_judge_upgrade,openrouter:anthropic/claude-sonnet-4.5,2025-11-03T14:38:04.661383Z,evals-for-papers/results/raw_logs/stage_f/stage_f_15_openrouter-anthropic_claude-sonnet-4.5.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.80,1.13,0.60,0.87,0,1,0.84
