prompt_id,stage,annotator,system_id,run_timestamp,response_path,tool_trace_path,tool_routing,citation_validity,fallback_robustness,evidence_integrity,rag_fidelity_score,citation_relevance_score,source_fit_score,actionability_score,clarification_quality_score,citation_quality_score,persona_compliance_score,stage_awareness_score,tone_constructive_score,timeline_guidance,expectation_management,novelty_assessment,evidence_gap_detection,hypothesis_generation,distractor_rejection,experiment_design
stage_a_01,A,icml_single_turn,openrouter:google/gemini-3-pro-preview,2026-01-23T12:59:08.729718Z,icml-evaluation-results/raw_logs/gemini-baseline/stage_a/stage_a_01_openrouter-google_gemini-3-pro-preview.txt,None,0,0,0,0.0,0.50,0.00,1.50,1.50,0.50,0.00,1.83,2.00,1.83,,,,,,,
stage_a_02,A,icml_single_turn,openrouter:google/gemini-3-pro-preview,2026-01-23T13:04:31.002599Z,icml-evaluation-results/raw_logs/gemini-baseline/stage_a/stage_a_02_openrouter-google_gemini-3-pro-preview.txt,None,0,0,0,0.3,1.19,1.61,1.83,1.50,0.83,1.50,2.00,2.00,2.00,,,,,,,
stage_a_03,A,icml_single_turn,openrouter:google/gemini-3-pro-preview,2026-01-23T13:09:13.799048Z,icml-evaluation-results/raw_logs/gemini-baseline/stage_a/stage_a_03_openrouter-google_gemini-3-pro-preview.txt,None,0,0,0,0.0,0.67,0.00,2.00,1.50,0.83,0.00,2.00,2.00,2.00,,,,,,,
stage_a_04,A,icml_single_turn,openrouter:google/gemini-3-pro-preview,2026-01-23T13:13:16.527718Z,icml-evaluation-results/raw_logs/gemini-baseline/stage_a/stage_a_04_openrouter-google_gemini-3-pro-preview.txt,None,0,0,0,0.3,0.67,1.00,1.56,2.00,0.50,0.67,1.67,2.00,1.67,,,,,,,
stage_a_05,A,icml_single_turn,openrouter:google/gemini-3-pro-preview,2026-01-23T13:17:44.093042Z,icml-evaluation-results/raw_logs/gemini-baseline/stage_a/stage_a_05_openrouter-google_gemini-3-pro-preview.txt,None,0,0,0,0.0,0.50,0.00,0.63,1.50,1.33,0.00,1.83,2.00,1.50,1,,,,,,
stage_a_06,A,icml_single_turn,openrouter:google/gemini-3-pro-preview,2026-01-23T13:21:34.521447Z,icml-evaluation-results/raw_logs/gemini-baseline/stage_a/stage_a_06_openrouter-google_gemini-3-pro-preview.txt,None,0,0,0,0.0,0.50,0.00,1.17,1.33,0.83,0.00,2.00,2.00,2.00,,1,,,,,
stage_a_07,A,icml_single_turn,openrouter:google/gemini-3-pro-preview,2026-01-23T13:27:04.753674Z,icml-evaluation-results/raw_logs/gemini-baseline/stage_a/stage_a_07_openrouter-google_gemini-3-pro-preview.txt,None,0,0,0,0.0,0.50,0.00,2.00,1.67,0.67,0.00,2.00,2.00,2.00,,,,,,,
stage_a_08,A,icml_single_turn,openrouter:google/gemini-3-pro-preview,2026-01-23T13:30:54.692954Z,icml-evaluation-results/raw_logs/gemini-baseline/stage_a/stage_a_08_openrouter-google_gemini-3-pro-preview.txt,None,0,0,0,0.0,0.50,0.00,1.83,2.00,0.83,0.00,2.00,2.00,1.83,1,,,,,,
stage_a_09,A,icml_single_turn,openrouter:google/gemini-3-pro-preview,2026-01-23T13:34:49.889906Z,icml-evaluation-results/raw_logs/gemini-baseline/stage_a/stage_a_09_openrouter-google_gemini-3-pro-preview.txt,None,0,0,0,0.0,0.50,0.00,0.33,1.67,0.83,0.00,1.83,2.00,1.83,,1,,,,,
stage_a_10,A,icml_single_turn,openrouter:google/gemini-3-pro-preview,2026-01-23T13:39:17.186592Z,icml-evaluation-results/raw_logs/gemini-baseline/stage_a/stage_a_10_openrouter-google_gemini-3-pro-preview.txt,None,0,0,0,0.0,0.67,0.00,1.67,1.67,0.74,0.00,2.00,2.00,2.00,,,,,,,
stage_a_11,A,icml_single_turn,openrouter:google/gemini-3-pro-preview,2026-01-23T13:43:08.357198Z,icml-evaluation-results/raw_logs/gemini-baseline/stage_a/stage_a_11_openrouter-google_gemini-3-pro-preview.txt,None,0,0,0,0.0,0.50,0.00,1.50,1.83,1.00,0.00,2.00,2.00,2.00,,,,,,,
stage_a_12,A,icml_single_turn,openrouter:google/gemini-3-pro-preview,2026-01-23T13:46:46.313273Z,icml-evaluation-results/raw_logs/gemini-baseline/stage_a/stage_a_12_openrouter-google_gemini-3-pro-preview.txt,None,0,0,0,0.0,0.50,0.00,1.33,1.83,0.71,0.00,2.00,2.00,2.00,,,,,,,
stage_a_13,A,icml_single_turn,openrouter:google/gemini-3-pro-preview,2026-01-23T13:53:13.080356Z,icml-evaluation-results/raw_logs/gemini-baseline/stage_a/stage_a_13_openrouter-google_gemini-3-pro-preview.txt,None,0,0,0,0.0,0.63,0.00,2.00,1.50,0.67,0.00,2.00,2.00,2.00,,1,,,,,
stage_a_14,A,icml_single_turn,openrouter:google/gemini-3-pro-preview,2026-01-23T13:56:56.882454Z,icml-evaluation-results/raw_logs/gemini-baseline/stage_a/stage_a_14_openrouter-google_gemini-3-pro-preview.txt,None,0,0,0,0.0,0.50,0.00,1.83,1.33,0.67,0.00,2.00,2.00,1.83,,1,,,,,
stage_a_15,A,icml_single_turn,openrouter:google/gemini-3-pro-preview,2026-01-23T14:01:16.367890Z,icml-evaluation-results/raw_logs/gemini-baseline/stage_a/stage_a_15_openrouter-google_gemini-3-pro-preview.txt,None,0,0,0,0.0,0.67,0.00,1.83,1.50,0.67,0.00,2.00,2.00,2.00,0,,,,,,
