prompt_id,stage,annotator,system_id,run_timestamp,response_path,tool_trace_path,tool_routing,citation_validity,fallback_robustness,evidence_integrity,rag_fidelity_score,citation_relevance_score,source_fit_score,actionability_score,clarification_quality_score,citation_quality_score,persona_compliance_score,stage_awareness_score,tone_constructive_score,timeline_guidance,expectation_management,novelty_assessment,evidence_gap_detection,hypothesis_generation,distractor_rejection,experiment_design
stage_b_01,B,icml_single_turn,openrouter:google/gemini-3-pro-preview,2026-01-23T13:41:37.423795Z,icml-evaluation-results/raw_logs/gemini-baseline/stage_b/stage_b_01_openrouter-google_gemini-3-pro-preview.txt,None,0,0,0,0.0,0.63,0.00,0.67,1.00,0.33,0.00,1.83,2.00,2.00,,,1,0,0,1,
stage_b_02,B,icml_single_turn,openrouter:google/gemini-3-pro-preview,2026-01-23T13:46:58.757498Z,icml-evaluation-results/raw_logs/gemini-baseline/stage_b/stage_b_02_openrouter-google_gemini-3-pro-preview.txt,None,0,0,0,0.0,1.00,0.00,1.83,1.33,1.50,0.00,1.83,2.00,2.00,,,1,,1,1,1
stage_b_03,B,icml_single_turn,openrouter:google/gemini-3-pro-preview,2026-01-23T13:53:18.380849Z,icml-evaluation-results/raw_logs/gemini-baseline/stage_b/stage_b_03_openrouter-google_gemini-3-pro-preview.txt,None,,0,0,0.0,0.50,0.00,1.00,1.33,0.83,0.00,1.83,2.00,1.83,,1,1,,,,
stage_b_04,B,icml_single_turn,openrouter:google/gemini-3-pro-preview,2026-01-23T13:58:12.981084Z,icml-evaluation-results/raw_logs/gemini-baseline/stage_b/stage_b_04_openrouter-google_gemini-3-pro-preview.txt,None,0,0,0,0.0,0.50,0.00,0.67,1.50,0.83,0.00,2.00,1.67,1.83,,,,,0,,
stage_b_05,B,icml_single_turn,openrouter:google/gemini-3-pro-preview,2026-01-23T14:03:55.150400Z,icml-evaluation-results/raw_logs/gemini-baseline/stage_b/stage_b_05_openrouter-google_gemini-3-pro-preview.txt,None,0,0,0,0.0,0.50,0.00,1.00,1.17,0.67,0.00,2.00,2.00,2.00,,,1,,1,,
stage_b_06,B,icml_single_turn,openrouter:google/gemini-3-pro-preview,2026-01-23T14:11:06.225445Z,icml-evaluation-results/raw_logs/gemini-baseline/stage_b/stage_b_06_openrouter-google_gemini-3-pro-preview.txt,None,0,0,0,0.0,0.67,0.00,1.17,1.17,0.33,0.00,1.83,2.00,1.50,,,1,,,,
stage_b_07,B,icml_single_turn,openrouter:google/gemini-3-pro-preview,2026-01-23T14:17:28.196632Z,icml-evaluation-results/raw_logs/gemini-baseline/stage_b/stage_b_07_openrouter-google_gemini-3-pro-preview.txt,None,0,0,0,0.0,0.50,0.00,0.33,1.17,0.67,0.00,2.00,2.00,2.00,,,1,,,,
stage_b_08,B,icml_single_turn,openrouter:google/gemini-3-pro-preview,2026-01-23T14:26:11.287884Z,icml-evaluation-results/raw_logs/gemini-baseline/stage_b/stage_b_08_openrouter-google_gemini-3-pro-preview.txt,None,0,0,0,0.0,0.50,0.00,0.33,1.33,0.67,0.00,2.00,2.00,2.00,,,1,,1,,
stage_b_09,B,icml_single_turn,openrouter:google/gemini-3-pro-preview,2026-01-23T14:30:14.195477Z,icml-evaluation-results/raw_logs/gemini-baseline/stage_b/stage_b_09_openrouter-google_gemini-3-pro-preview.txt,None,0,0,0,0.0,0.63,0.00,1.56,1.00,0.33,0.00,2.00,2.00,2.00,,1,1,,,,
stage_b_10,B,icml_single_turn,openrouter:google/gemini-3-pro-preview,2026-01-23T14:34:27.758125Z,icml-evaluation-results/raw_logs/gemini-baseline/stage_b/stage_b_10_openrouter-google_gemini-3-pro-preview.txt,None,0,0,0,0.0,0.81,0.00,1.69,1.67,0.83,0.00,2.00,2.00,1.33,,1,1,,,,
stage_b_11,B,icml_single_turn,openrouter:google/gemini-3-pro-preview,2026-01-23T14:39:25.702025Z,icml-evaluation-results/raw_logs/gemini-baseline/stage_b/stage_b_11_openrouter-google_gemini-3-pro-preview.txt,None,0,0,0,0.0,0.50,0.00,1.50,1.50,1.00,0.00,1.67,2.00,1.83,,,1,,,,
stage_b_12,B,icml_single_turn,openrouter:google/gemini-3-pro-preview,2026-01-23T14:44:13.302898Z,icml-evaluation-results/raw_logs/gemini-baseline/stage_b/stage_b_12_openrouter-google_gemini-3-pro-preview.txt,None,0,0,0,0.0,0.50,0.00,0.33,1.33,0.67,0.00,2.00,2.00,2.00,,,0,,1,,
stage_b_13,B,icml_single_turn,openrouter:google/gemini-3-pro-preview,2026-01-23T14:48:39.298303Z,icml-evaluation-results/raw_logs/gemini-baseline/stage_b/stage_b_13_openrouter-google_gemini-3-pro-preview.txt,None,0,0,0,0.0,0.50,0.00,0.67,1.17,0.67,0.00,2.00,2.00,2.00,,1,1,,,,
stage_b_14,B,icml_single_turn,openrouter:google/gemini-3-pro-preview,2026-01-23T14:54:59.025125Z,icml-evaluation-results/raw_logs/gemini-baseline/stage_b/stage_b_14_openrouter-google_gemini-3-pro-preview.txt,None,0,0,0,0.0,0.50,0.00,0.67,1.17,0.74,0.00,2.00,2.00,2.00,,,1,,,,
stage_b_15,B,icml_single_turn,openrouter:google/gemini-3-pro-preview,2026-01-23T14:59:00.128277Z,icml-evaluation-results/raw_logs/gemini-baseline/stage_b/stage_b_15_openrouter-google_gemini-3-pro-preview.txt,None,0,0,0,0.0,0.50,0.00,1.00,1.33,0.83,0.00,1.67,2.00,1.83,,1,1,,,,
