prompt_id,stage,annotator,system_id,run_timestamp,response_path,tool_trace_path,tool_routing,citation_validity,fallback_robustness,evidence_integrity,rag_fidelity_score,citation_relevance_score,source_fit_score,actionability_score,clarification_quality_score,citation_quality_score,persona_compliance_score,stage_awareness_score,tone_constructive_score,timeline_guidance,expectation_management,novelty_assessment,evidence_gap_detection,hypothesis_generation,distractor_rejection,experiment_design
stage_d_01,D,icml_single_turn,openrouter:google/gemini-3-pro-preview,2026-01-23T13:35:58.792420Z,icml-evaluation-results/raw_logs/gemini-baseline/stage_d/stage_d_01_openrouter-google_gemini-3-pro-preview.txt,None,0,0,,0.0,1.00,0.00,1.87,1.33,0.81,0.00,1.17,2.00,1.33,,,,,,,0
stage_d_02,D,icml_single_turn,openrouter:google/gemini-3-pro-preview,2026-01-23T13:41:13.234801Z,icml-evaluation-results/raw_logs/gemini-baseline/stage_d/stage_d_02_openrouter-google_gemini-3-pro-preview.txt,None,,0,,0.0,0.50,0.00,1.00,1.50,1.00,0.00,1.50,2.00,1.50,,,,,,,1
stage_d_03,D,icml_single_turn,openrouter:google/gemini-3-pro-preview,2026-01-23T13:45:14.618466Z,icml-evaluation-results/raw_logs/gemini-baseline/stage_d/stage_d_03_openrouter-google_gemini-3-pro-preview.txt,None,,0,,0.0,0.50,0.00,0.67,1.83,1.00,0.00,1.33,2.00,1.50,,,,1,,,
stage_d_04,D,icml_single_turn,openrouter:google/gemini-3-pro-preview,2026-01-23T13:50:14.672748Z,icml-evaluation-results/raw_logs/gemini-baseline/stage_d/stage_d_04_openrouter-google_gemini-3-pro-preview.txt,None,0,0,,0.0,0.50,0.00,0.67,2.00,1.17,0.00,1.33,2.00,1.50,,,,,,,1
stage_d_05,D,icml_single_turn,openrouter:google/gemini-3-pro-preview,2026-01-23T13:54:38.460314Z,icml-evaluation-results/raw_logs/gemini-baseline/stage_d/stage_d_05_openrouter-google_gemini-3-pro-preview.txt,None,,0,,0.0,0.50,0.00,0.33,2.00,1.50,0.00,1.67,2.00,1.50,,,,,,,1
stage_d_06,D,icml_single_turn,openrouter:google/gemini-3-pro-preview,2026-01-23T13:58:17.403234Z,icml-evaluation-results/raw_logs/gemini-baseline/stage_d/stage_d_06_openrouter-google_gemini-3-pro-preview.txt,None,,0,,0.0,0.50,0.00,1.33,2.00,0.83,0.00,1.17,2.00,1.69,,,,1,,,
stage_d_07,D,icml_single_turn,openrouter:google/gemini-3-pro-preview,2026-01-23T14:02:53.209209Z,icml-evaluation-results/raw_logs/gemini-baseline/stage_d/stage_d_07_openrouter-google_gemini-3-pro-preview.txt,None,0,0,,0.0,0.50,0.00,1.69,1.50,1.17,0.00,1.17,2.00,1.50,,,,,,,1
stage_d_08,D,icml_single_turn,openrouter:google/gemini-3-pro-preview,2026-01-23T14:08:52.884558Z,icml-evaluation-results/raw_logs/gemini-baseline/stage_d/stage_d_08_openrouter-google_gemini-3-pro-preview.txt,None,,0,,0.0,0.50,0.00,1.50,1.67,1.31,0.00,1.33,2.00,1.50,,,,,,,1
stage_d_09,D,icml_single_turn,openrouter:google/gemini-3-pro-preview,2026-01-23T14:16:02.582042Z,icml-evaluation-results/raw_logs/gemini-baseline/stage_d/stage_d_09_openrouter-google_gemini-3-pro-preview.txt,None,,0,,0.0,0.81,0.00,1.83,1.67,0.33,0.00,1.33,2.00,1.33,,,,,,,0
stage_d_10,D,icml_single_turn,openrouter:google/gemini-3-pro-preview,2026-01-23T14:25:59.086210Z,icml-evaluation-results/raw_logs/gemini-baseline/stage_d/stage_d_10_openrouter-google_gemini-3-pro-preview.txt,None,0,0,,0.0,0.50,0.00,0.83,1.50,1.00,0.00,1.17,2.00,1.50,,,,,,,1
stage_d_11,D,icml_single_turn,openrouter:google/gemini-3-pro-preview,2026-01-23T14:29:45.536262Z,icml-evaluation-results/raw_logs/gemini-baseline/stage_d/stage_d_11_openrouter-google_gemini-3-pro-preview.txt,None,,0,,0.0,0.50,0.00,0.33,2.00,0.50,0.00,1.00,2.00,1.17,,,,,,,1
stage_d_12,D,icml_single_turn,openrouter:google/gemini-3-pro-preview,2026-01-23T14:34:19.164871Z,icml-evaluation-results/raw_logs/gemini-baseline/stage_d/stage_d_12_openrouter-google_gemini-3-pro-preview.txt,None,0,0,,0.0,0.50,0.00,1.00,1.50,0.83,0.00,1.33,2.00,1.50,,,,,,,1
stage_d_13,D,icml_single_turn,openrouter:google/gemini-3-pro-preview,2026-01-23T14:39:10.956332Z,icml-evaluation-results/raw_logs/gemini-baseline/stage_d/stage_d_13_openrouter-google_gemini-3-pro-preview.txt,None,,0,,0.0,0.50,0.00,0.33,1.67,0.33,0.00,1.00,2.00,1.50,,,,,,,1
stage_d_14,D,icml_single_turn,openrouter:google/gemini-3-pro-preview,2026-01-23T14:44:02.498201Z,icml-evaluation-results/raw_logs/gemini-baseline/stage_d/stage_d_14_openrouter-google_gemini-3-pro-preview.txt,None,,0,,0.0,0.50,0.00,0.33,2.00,0.33,0.00,1.17,2.00,1.50,,,,,,,1
stage_d_15,D,icml_single_turn,openrouter:google/gemini-3-pro-preview,2026-01-23T14:48:23.509255Z,icml-evaluation-results/raw_logs/gemini-baseline/stage_d/stage_d_15_openrouter-google_gemini-3-pro-preview.txt,None,0,0,,0.0,0.50,0.00,0.67,1.83,0.33,0.00,1.00,2.00,1.33,,,,,,,1
