prompt_id,stage,annotator,system_id,run_timestamp,response_path,tool_trace_path,tool_routing,citation_validity,fallback_robustness,evidence_integrity,rag_fidelity_score,citation_relevance_score,source_fit_score,actionability_score,clarification_quality_score,citation_quality_score,persona_compliance_score,stage_awareness_score,tone_constructive_score,timeline_guidance,expectation_management,novelty_assessment,evidence_gap_detection,hypothesis_generation,distractor_rejection,experiment_design
stage_e_01,E,icml_single_turn,openrouter:google/gemini-3-pro-preview,2026-01-23T13:36:25.937883Z,icml-evaluation-results/raw_logs/gemini-baseline/stage_e/stage_e_01_openrouter-google_gemini-3-pro-preview.txt,None,0,0,,0.0,1.00,0.00,1.42,1.33,0.83,0.00,1.83,2.00,1.83,,1,,0,,,
stage_e_02,E,icml_single_turn,openrouter:google/gemini-3-pro-preview,2026-01-23T13:40:24.334238Z,icml-evaluation-results/raw_logs/gemini-baseline/stage_e/stage_e_02_openrouter-google_gemini-3-pro-preview.txt,None,,0,,0.0,0.50,0.00,0.67,1.33,0.67,0.00,2.00,2.00,1.83,,1,,,,,
stage_e_03,E,icml_single_turn,openrouter:google/gemini-3-pro-preview,2026-01-23T13:44:11.752569Z,icml-evaluation-results/raw_logs/gemini-baseline/stage_e/stage_e_03_openrouter-google_gemini-3-pro-preview.txt,None,,0,,0.0,1.33,0.00,1.67,1.67,1.00,0.00,1.67,2.00,1.83,,,,1,,,
stage_e_04,E,icml_single_turn,openrouter:google/gemini-3-pro-preview,2026-01-23T13:48:13.900443Z,icml-evaluation-results/raw_logs/gemini-baseline/stage_e/stage_e_04_openrouter-google_gemini-3-pro-preview.txt,None,0,0,,0.0,0.50,0.00,1.00,1.50,0.67,0.00,1.50,2.00,1.50,,,,,,,1
stage_e_05,E,icml_single_turn,openrouter:google/gemini-3-pro-preview,2026-01-23T13:52:55.261761Z,icml-evaluation-results/raw_logs/gemini-baseline/stage_e/stage_e_05_openrouter-google_gemini-3-pro-preview.txt,None,,0,,0.0,0.67,0.00,2.00,1.75,0.67,0.00,2.00,1.67,2.00,,1,,1,,,
stage_e_06,E,icml_single_turn,openrouter:google/gemini-3-pro-preview,2026-01-23T13:57:22.727689Z,icml-evaluation-results/raw_logs/gemini-baseline/stage_e/stage_e_06_openrouter-google_gemini-3-pro-preview.txt,None,0,0,,0.0,1.50,0.00,2.00,1.67,1.33,0.00,2.00,2.00,1.67,,1,,,,,
stage_e_07,E,icml_single_turn,openrouter:google/gemini-3-pro-preview,2026-01-23T14:02:06.381129Z,icml-evaluation-results/raw_logs/gemini-baseline/stage_e/stage_e_07_openrouter-google_gemini-3-pro-preview.txt,None,,0,,0.0,0.50,0.00,1.67,1.33,1.00,0.00,1.17,1.67,1.67,,1,,,,,
stage_e_08,E,icml_single_turn,openrouter:google/gemini-3-pro-preview,2026-01-23T14:06:12.050196Z,icml-evaluation-results/raw_logs/gemini-baseline/stage_e/stage_e_08_openrouter-google_gemini-3-pro-preview.txt,None,0,0,,0.0,0.50,0.00,1.00,1.50,0.83,0.00,2.00,1.67,2.00,,,,1,,,
stage_e_09,E,icml_single_turn,openrouter:google/gemini-3-pro-preview,2026-01-23T14:10:39.167842Z,icml-evaluation-results/raw_logs/gemini-baseline/stage_e/stage_e_09_openrouter-google_gemini-3-pro-preview.txt,None,,0,,0.0,0.50,0.00,1.00,1.50,1.00,0.00,1.00,2.00,2.00,,1,,,,,
stage_e_10,E,icml_single_turn,openrouter:google/gemini-3-pro-preview,2026-01-23T14:17:09.467134Z,icml-evaluation-results/raw_logs/gemini-baseline/stage_e/stage_e_10_openrouter-google_gemini-3-pro-preview.txt,None,0,0,,0.0,0.50,0.00,1.67,1.50,1.11,0.00,2.00,2.00,2.00,,1,,,,,
stage_e_11,E,icml_single_turn,openrouter:google/gemini-3-pro-preview,2026-01-23T14:26:47.072999Z,icml-evaluation-results/raw_logs/gemini-baseline/stage_e/stage_e_11_openrouter-google_gemini-3-pro-preview.txt,None,,0,,0.0,0.50,0.00,0.76,1.83,0.83,0.00,1.37,2.00,2.00,,1,,,,,
stage_e_12,E,icml_single_turn,openrouter:google/gemini-3-pro-preview,2026-01-23T14:32:15.317592Z,icml-evaluation-results/raw_logs/gemini-baseline/stage_e/stage_e_12_openrouter-google_gemini-3-pro-preview.txt,None,0,0,,0.0,0.50,0.00,1.33,1.67,1.50,0.00,1.67,1.67,2.00,,1,,,,,
stage_e_13,E,icml_single_turn,openrouter:google/gemini-3-pro-preview,2026-01-23T14:35:52.626854Z,icml-evaluation-results/raw_logs/gemini-baseline/stage_e/stage_e_13_openrouter-google_gemini-3-pro-preview.txt,None,,0,,0.0,0.50,0.00,1.00,0.83,0.67,0.00,1.00,1.67,1.67,,1,,,,,
stage_e_14,E,icml_single_turn,openrouter:google/gemini-3-pro-preview,2026-01-23T14:40:02.316483Z,icml-evaluation-results/raw_logs/gemini-baseline/stage_e/stage_e_14_openrouter-google_gemini-3-pro-preview.txt,None,0,0,,0.0,0.50,0.00,1.17,1.50,0.67,0.00,2.00,1.67,1.33,,1,,,,,
stage_e_15,E,icml_single_turn,openrouter:google/gemini-3-pro-preview,2026-01-23T14:44:54.386643Z,icml-evaluation-results/raw_logs/gemini-baseline/stage_e/stage_e_15_openrouter-google_gemini-3-pro-preview.txt,None,,0,,0.0,0.83,0.00,1.67,1.67,0.67,0.00,2.00,1.67,1.83,,1,,,,,
