prompt_id,stage,annotator,system_id,run_timestamp,response_path,tool_trace_path,tool_routing,citation_validity,fallback_robustness,evidence_integrity,rag_fidelity_score,citation_relevance_score,source_fit_score,actionability_score,clarification_quality_score,citation_quality_score,persona_compliance_score,stage_awareness_score,tone_constructive_score,timeline_guidance,expectation_management,novelty_assessment,evidence_gap_detection,hypothesis_generation,distractor_rejection,experiment_design
stage_f_01,F,icml_single_turn,openrouter:google/gemini-3-pro-preview,2026-01-23T13:35:01.378524Z,icml-evaluation-results/raw_logs/gemini-baseline/stage_f/stage_f_01_openrouter-google_gemini-3-pro-preview.txt,None,0,0,,0.0,0.50,0.00,2.00,1.67,1.24,0.00,1.83,2.00,1.50,,,,,,,
stage_f_02,F,icml_single_turn,openrouter:google/gemini-3-pro-preview,2026-01-23T13:41:17.379503Z,icml-evaluation-results/raw_logs/gemini-baseline/stage_f/stage_f_02_openrouter-google_gemini-3-pro-preview.txt,None,,0,,0.0,0.67,0.00,2.00,1.83,1.67,0.00,1.87,2.00,1.83,,,,,,,
stage_f_03,F,icml_single_turn,openrouter:google/gemini-3-pro-preview,2026-01-23T13:45:57.854915Z,icml-evaluation-results/raw_logs/gemini-baseline/stage_f/stage_f_03_openrouter-google_gemini-3-pro-preview.txt,None,,0,,0.0,0.50,0.00,0.33,1.33,1.50,0.00,1.83,1.33,1.33,,,,,,,
stage_f_04,F,icml_single_turn,openrouter:google/gemini-3-pro-preview,2026-01-23T13:49:48.483843Z,icml-evaluation-results/raw_logs/gemini-baseline/stage_f/stage_f_04_openrouter-google_gemini-3-pro-preview.txt,None,0,0,,0.3,0.67,1.00,1.83,1.83,1.33,0.67,1.83,2.00,1.67,,,,,,,
stage_f_05,F,icml_single_turn,openrouter:google/gemini-3-pro-preview,2026-01-23T13:54:19.244321Z,icml-evaluation-results/raw_logs/gemini-baseline/stage_f/stage_f_05_openrouter-google_gemini-3-pro-preview.txt,None,,0,,0.0,0.67,0.00,1.17,1.67,1.50,0.00,1.67,2.00,1.17,,,,,,,
stage_f_06,F,icml_single_turn,openrouter:google/gemini-3-pro-preview,2026-01-23T13:58:37.288546Z,icml-evaluation-results/raw_logs/gemini-baseline/stage_f/stage_f_06_openrouter-google_gemini-3-pro-preview.txt,None,0,0,,0.0,0.50,0.00,1.67,1.83,1.00,0.00,1.83,2.00,1.33,,,,,,,
stage_f_07,F,icml_single_turn,openrouter:google/gemini-3-pro-preview,2026-01-23T14:03:57.090440Z,icml-evaluation-results/raw_logs/gemini-baseline/stage_f/stage_f_07_openrouter-google_gemini-3-pro-preview.txt,None,,0,,0.0,0.50,0.00,1.67,1.33,0.67,0.00,2.00,2.00,1.83,,1,,,,,
stage_f_08,F,icml_single_turn,openrouter:google/gemini-3-pro-preview,2026-01-23T14:08:06.461698Z,icml-evaluation-results/raw_logs/gemini-baseline/stage_f/stage_f_08_openrouter-google_gemini-3-pro-preview.txt,None,0,0,,0.0,0.63,0.00,1.50,1.50,1.17,0.00,1.50,2.00,1.50,,,,,,,
stage_f_09,F,icml_single_turn,openrouter:google/gemini-3-pro-preview,2026-01-23T14:12:26.229178Z,icml-evaluation-results/raw_logs/gemini-baseline/stage_f/stage_f_09_openrouter-google_gemini-3-pro-preview.txt,None,,0,,0.0,0.50,0.00,1.67,2.00,1.00,0.00,2.00,2.00,1.83,,,,,,,
stage_f_10,F,icml_single_turn,openrouter:google/gemini-3-pro-preview,2026-01-23T14:17:05.330547Z,icml-evaluation-results/raw_logs/gemini-baseline/stage_f/stage_f_10_openrouter-google_gemini-3-pro-preview.txt,None,0,0,,0.0,0.50,0.00,1.67,1.33,0.87,0.00,1.83,2.00,1.33,,,,,,,
stage_f_11,F,icml_single_turn,openrouter:google/gemini-3-pro-preview,2026-01-23T14:26:00.830341Z,icml-evaluation-results/raw_logs/gemini-baseline/stage_f/stage_f_11_openrouter-google_gemini-3-pro-preview.txt,None,,0,,0.0,0.67,0.00,1.67,1.83,0.67,0.00,1.67,2.00,1.50,,,,,,,
stage_f_12,F,icml_single_turn,openrouter:google/gemini-3-pro-preview,2026-01-23T14:30:45.405683Z,icml-evaluation-results/raw_logs/gemini-baseline/stage_f/stage_f_12_openrouter-google_gemini-3-pro-preview.txt,None,,0,,0.0,0.67,0.00,1.83,1.50,0.83,0.00,1.83,2.00,1.33,,,,,,,
stage_f_13,F,icml_single_turn,openrouter:google/gemini-3-pro-preview,2026-01-23T14:34:37.269921Z,icml-evaluation-results/raw_logs/gemini-baseline/stage_f/stage_f_13_openrouter-google_gemini-3-pro-preview.txt,None,,0,,0.0,0.50,0.00,0.81,1.33,0.67,0.00,2.00,2.00,2.00,,1,,,,,
stage_f_14,F,icml_single_turn,openrouter:google/gemini-3-pro-preview,2026-01-23T14:40:41.151870Z,icml-evaluation-results/raw_logs/gemini-baseline/stage_f/stage_f_14_openrouter-google_gemini-3-pro-preview.txt,None,,0,,0.0,0.67,0.00,1.17,1.33,0.33,0.00,1.83,2.00,1.50,,,,,,,
stage_f_15,F,icml_single_turn,openrouter:google/gemini-3-pro-preview,2026-01-23T14:46:02.450445Z,icml-evaluation-results/raw_logs/gemini-baseline/stage_f/stage_f_15_openrouter-google_gemini-3-pro-preview.txt,None,0,0,,0.0,0.50,0.00,1.67,1.83,0.83,0.00,1.50,2.00,1.33,,,,,,,
