prompt_id,stage,annotator,system_id,run_timestamp,response_path,tool_trace_path,tool_routing,citation_validity,fallback_robustness,evidence_integrity,rag_fidelity_score,citation_relevance_score,source_fit_score,actionability_score,clarification_quality_score,citation_quality_score,persona_compliance_score,stage_awareness_score,tone_constructive_score,timeline_guidance,expectation_management,novelty_assessment,evidence_gap_detection,hypothesis_generation,distractor_rejection,experiment_design
stage_c_01,C,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T11:12:52.311221Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_c/stage_c_01_openrouter-openai_gpt-5.txt,None,0,0,0,0.0,0.50,0.00,0.67,1.33,0.63,0.00,1.00,2.00,1.33,,,,,,,
stage_c_02,C,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T11:17:35.544932Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_c/stage_c_02_openrouter-openai_gpt-5.txt,None,0,0,0,0.0,1.17,0.00,1.67,1.33,0.83,0.00,1.00,2.00,1.33,,,,,,,1
stage_c_03,C,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T11:23:41.938305Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_c/stage_c_03_openrouter-openai_gpt-5.txt,None,,0,0,0.0,0.67,0.00,1.87,1.67,1.33,0.00,1.33,1.67,1.83,,1,,,,,
stage_c_04,C,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T11:28:29.441037Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_c/stage_c_04_openrouter-openai_gpt-5.txt,None,,0,0,0.0,0.63,0.00,1.83,2.00,1.00,0.00,1.67,2.00,2.00,,,,,,,
stage_c_05,C,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T11:32:54.230139Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_c/stage_c_05_openrouter-openai_gpt-5.txt,None,,0,0,0.0,1.19,0.00,1.83,1.83,1.00,0.00,1.67,1.67,1.67,,,,,,,
stage_c_06,C,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T11:38:46.396672Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_c/stage_c_06_openrouter-openai_gpt-5.txt,None,0,0,0,0.0,0.67,0.00,1.56,1.50,0.50,0.00,1.17,2.00,1.50,,,,,,,
stage_c_07,C,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T11:44:13.161875Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_c/stage_c_07_openrouter-openai_gpt-5.txt,None,0,0,0,0.0,1.17,0.00,1.17,1.50,0.50,0.00,1.00,2.00,1.33,,,,,,,
stage_c_08,C,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T11:50:46.821332Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_c/stage_c_08_openrouter-openai_gpt-5.txt,None,0,0,0,0.0,1.50,0.00,1.69,1.67,0.83,0.00,0.74,2.00,1.33,,,,,,,
stage_c_09,C,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T11:56:30.753564Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_c/stage_c_09_openrouter-openai_gpt-5.txt,None,0,0,0,0.0,0.67,0.00,0.67,1.50,0.83,0.00,1.00,2.00,1.37,,,,,,,1
stage_c_10,C,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T12:01:45.848297Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_c/stage_c_10_openrouter-openai_gpt-5.txt,None,0,0,0,0.0,1.50,0.00,1.67,1.83,0.50,0.00,1.00,2.00,1.33,,,,,,,
stage_c_11,C,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T12:08:27.116610Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_c/stage_c_11_openrouter-openai_gpt-5.txt,None,0,0,0,0.0,0.83,0.00,1.17,1.37,0.50,0.00,1.00,2.00,1.00,,,,,,,
stage_c_12,C,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T12:12:09.993720Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_c/stage_c_12_openrouter-openai_gpt-5.txt,None,0,0,0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,0
stage_c_13,C,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T12:15:55.369848Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_c/stage_c_13_openrouter-openai_gpt-5.txt,None,0,0,0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,,,,,,,
stage_c_14,C,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T12:21:35.222588Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_c/stage_c_14_openrouter-openai_gpt-5.txt,None,0,0,0,0.0,1.00,0.00,1.37,1.50,0.83,0.00,1.00,2.00,1.33,,,,,,,1
stage_c_15,C,icml_single_turn,openrouter:openai/gpt-5,2026-01-23T12:28:03.804966Z,icml-evaluation-results/raw_logs/gpt-5-baseline/stage_c/stage_c_15_openrouter-openai_gpt-5.txt,None,0,0,0,0.0,0.67,0.00,1.17,1.83,0.83,0.00,1.00,2.00,1.00,,,,,,,
