prompt_id,stage,annotator,system_id,run_timestamp,response_path,tool_trace_path,tool_routing,citation_validity,fallback_robustness,evidence_integrity,rag_fidelity_score,citation_relevance_score,source_fit_score,actionability_score,clarification_quality_score,citation_quality_score,persona_compliance_score,stage_awareness_score,tone_constructive_score,timeline_guidance,expectation_management,novelty_assessment,evidence_gap_detection,hypothesis_generation,distractor_rejection,experiment_design
stage_a_01,A,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T09:24:35.366805Z,icml-evaluation-results/raw_logs/mentor/stage_a/stage_a_01_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,0,0.0,0.50,0.00,0.33,1.19,1.83,0.00,1.00,2.00,1.19,,,,,,,
stage_a_02,A,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T09:27:51.058058Z,icml-evaluation-results/raw_logs/mentor/stage_a/stage_a_02_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,0,0.0,0.50,0.00,0.63,1.00,2.00,0.00,1.67,2.00,1.17,,,,,,,
stage_a_03,A,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T09:31:03.206319Z,icml-evaluation-results/raw_logs/mentor/stage_a/stage_a_03_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,0,0.0,0.50,0.00,0.63,1.33,2.00,0.00,1.50,2.00,1.50,,,,,,,
stage_a_04,A,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T09:34:44.353420Z,icml-evaluation-results/raw_logs/mentor/stage_a/stage_a_04_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,0,0.0,0.50,0.00,0.33,1.17,1.83,0.00,1.00,2.00,1.17,,,,,,,
stage_a_05,A,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T09:38:10.985840Z,icml-evaluation-results/raw_logs/mentor/stage_a/stage_a_05_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,0,0.0,0.50,0.00,0.33,1.17,2.00,0.00,1.50,2.00,1.50,1,,,,,,
stage_a_06,A,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T09:41:49.146113Z,icml-evaluation-results/raw_logs/mentor/stage_a/stage_a_06_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,0,0.0,0.67,0.00,0.33,0.83,2.00,0.00,1.67,2.00,1.83,,1,,,,,
stage_a_07,A,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T09:44:28.136831Z,icml-evaluation-results/raw_logs/mentor/stage_a/stage_a_07_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,0,0.0,0.50,0.00,0.33,1.00,1.83,0.00,1.83,2.00,1.50,,,,,,,
stage_a_08,A,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T09:49:21.043070Z,icml-evaluation-results/raw_logs/mentor/stage_a/stage_a_08_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,0,0.0,0.50,0.00,0.33,1.17,2.00,0.00,1.33,2.00,1.17,0,,,,,,
stage_a_09,A,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T09:53:14.259270Z,icml-evaluation-results/raw_logs/mentor/stage_a/stage_a_09_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,0,0.0,0.50,0.00,0.33,1.17,1.83,0.00,1.67,2.00,1.33,,1,,,,,
stage_a_10,A,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T09:56:07.332090Z,icml-evaluation-results/raw_logs/mentor/stage_a/stage_a_10_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,0,0.0,0.50,0.00,0.33,1.33,1.83,0.00,1.69,2.00,2.00,,,,,,,
stage_a_11,A,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T10:00:24.696022Z,icml-evaluation-results/raw_logs/mentor/stage_a/stage_a_11_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,0,0.0,0.50,0.00,0.67,1.17,2.00,0.00,1.83,2.00,1.83,,,,,,,
stage_a_12,A,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T10:03:56.484748Z,icml-evaluation-results/raw_logs/mentor/stage_a/stage_a_12_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,0,0.0,0.50,0.00,0.33,1.17,1.83,0.00,1.83,2.00,1.50,,,,,,,
stage_a_13,A,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T10:07:56.252228Z,icml-evaluation-results/raw_logs/mentor/stage_a/stage_a_13_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,0,0.0,0.81,0.00,0.33,1.33,1.83,0.00,1.83,2.00,1.83,,1,,,,,
stage_a_14,A,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T10:11:50.180251Z,icml-evaluation-results/raw_logs/mentor/stage_a/stage_a_14_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,0,0.0,0.50,0.00,1.00,1.17,1.83,0.00,1.83,2.00,1.50,,1,,,,,
stage_a_15,A,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T10:15:36.148049Z,icml-evaluation-results/raw_logs/mentor/stage_a/stage_a_15_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,0,0.0,0.50,0.00,0.33,1.17,1.83,0.00,1.00,2.00,1.17,0,,,,,,
