prompt_id,stage,annotator,system_id,run_timestamp,response_path,tool_trace_path,tool_routing,citation_validity,fallback_robustness,evidence_integrity,rag_fidelity_score,citation_relevance_score,source_fit_score,actionability_score,clarification_quality_score,citation_quality_score,persona_compliance_score,stage_awareness_score,tone_constructive_score,timeline_guidance,expectation_management,novelty_assessment,evidence_gap_detection,hypothesis_generation,distractor_rejection,experiment_design
stage_b_01,B,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T09:55:14.431655Z,icml-evaluation-results/raw_logs/mentor/stage_b/stage_b_01_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,0,0.0,0.63,0.00,0.26,0.83,2.00,0.00,1.17,2.00,0.83,,,1,0,0,1,
stage_b_02,B,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T09:59:36.894066Z,icml-evaluation-results/raw_logs/mentor/stage_b/stage_b_02_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,0,0.0,0.50,0.00,0.67,0.83,2.00,0.00,0.67,2.00,0.87,,,1,,0,1,1
stage_b_03,B,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T10:05:03.981710Z,icml-evaluation-results/raw_logs/mentor/stage_b/stage_b_03_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,0,0.0,0.50,0.00,0.33,1.00,1.67,0.00,1.17,2.00,0.83,,1,0,,,,
stage_b_04,B,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T10:10:21.293576Z,icml-evaluation-results/raw_logs/mentor/stage_b/stage_b_04_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,0,0.0,0.50,0.00,0.00,1.00,1.83,0.00,1.19,1.67,1.00,,,,,0,,
stage_b_05,B,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T10:14:46.837092Z,icml-evaluation-results/raw_logs/mentor/stage_b/stage_b_05_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,0,0.0,0.67,0.00,0.67,0.83,1.83,0.00,1.17,2.00,1.00,,,1,,0,,
stage_b_06,B,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T10:19:44.672626Z,icml-evaluation-results/raw_logs/mentor/stage_b/stage_b_06_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,0,0.0,0.63,0.00,0.33,0.83,2.00,0.00,0.83,2.00,0.33,,,0,,,,
stage_b_07,B,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T10:24:06.825800Z,icml-evaluation-results/raw_logs/mentor/stage_b/stage_b_07_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,0,0.0,0.67,0.00,0.67,1.00,1.83,0.00,1.17,2.00,1.19,,,1,,,,
stage_b_08,B,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T10:28:05.125613Z,icml-evaluation-results/raw_logs/mentor/stage_b/stage_b_08_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,0,0.0,0.50,0.00,0.33,1.00,1.83,0.00,1.83,2.00,1.37,,,0,,0,,
stage_b_09,B,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T10:31:56.302666Z,icml-evaluation-results/raw_logs/mentor/stage_b/stage_b_09_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,0,0.0,0.50,0.00,0.33,1.00,2.00,0.00,1.33,2.00,1.17,,1,0,,,,
stage_b_10,B,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T10:36:35.464439Z,icml-evaluation-results/raw_logs/mentor/stage_b/stage_b_10_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,0,0.0,0.67,0.00,1.00,0.83,1.67,0.00,1.33,2.00,1.33,,1,1,,,,
stage_b_11,B,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T10:41:30.579568Z,icml-evaluation-results/raw_logs/mentor/stage_b/stage_b_11_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,0,0.0,0.50,0.00,0.67,1.17,2.00,0.00,1.00,2.00,0.67,,,1,,,,
stage_b_12,B,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T10:45:30.185698Z,icml-evaluation-results/raw_logs/mentor/stage_b/stage_b_12_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,0,0.0,0.50,0.00,0.26,1.00,1.33,0.00,1.50,2.00,1.50,,,1,,1,,
stage_b_13,B,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T10:49:36.524265Z,icml-evaluation-results/raw_logs/mentor/stage_b/stage_b_13_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,0,0.0,0.50,0.00,0.33,0.83,1.83,0.00,1.19,2.00,1.17,,1,0,,,,
stage_b_14,B,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T10:53:43.202770Z,icml-evaluation-results/raw_logs/mentor/stage_b/stage_b_14_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,0,0.0,0.50,0.00,0.33,0.83,1.83,0.00,1.17,2.00,1.37,,,1,,,,
stage_b_15,B,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T10:58:39.270122Z,icml-evaluation-results/raw_logs/mentor/stage_b/stage_b_15_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,0,0.0,0.63,0.00,0.33,1.19,1.17,0.00,2.00,2.00,2.00,,1,1,,,,
