prompt_id,stage,annotator,system_id,run_timestamp,response_path,tool_trace_path,tool_routing,citation_validity,fallback_robustness,evidence_integrity,rag_fidelity_score,citation_relevance_score,source_fit_score,actionability_score,clarification_quality_score,citation_quality_score,persona_compliance_score,stage_awareness_score,tone_constructive_score,timeline_guidance,expectation_management,novelty_assessment,evidence_gap_detection,hypothesis_generation,distractor_rejection,experiment_design
stage_c_01,C,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T09:55:31.954986Z,icml-evaluation-results/raw_logs/mentor/stage_c/stage_c_01_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,0,0.0,0.65,0.00,0.83,1.50,0.83,0.00,0.83,2.00,1.17,,,,,,,
stage_c_02,C,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T10:00:38.525527Z,icml-evaluation-results/raw_logs/mentor/stage_c/stage_c_02_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,0,0.0,0.50,0.00,0.33,1.33,1.33,0.00,1.17,2.00,1.33,,,,,,,1
stage_c_03,C,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T10:05:11.791172Z,icml-evaluation-results/raw_logs/mentor/stage_c/stage_c_03_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,0,0.0,0.50,0.00,0.33,1.33,1.24,0.00,1.33,2.00,1.50,,1,,,,,
stage_c_04,C,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T10:09:46.592270Z,icml-evaluation-results/raw_logs/mentor/stage_c/stage_c_04_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,0,0.0,0.50,0.00,0.67,1.50,0.83,0.00,1.50,2.00,1.67,,,,,,,
stage_c_05,C,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T10:15:18.871634Z,icml-evaluation-results/raw_logs/mentor/stage_c/stage_c_05_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,0,0.0,0.50,0.00,0.67,1.50,1.67,0.00,2.00,2.00,2.00,,,,,,,
stage_c_06,C,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T10:19:59.532350Z,icml-evaluation-results/raw_logs/mentor/stage_c/stage_c_06_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,0,0.0,0.50,0.00,0.67,1.33,1.00,0.00,1.50,2.00,1.17,,,,,,,
stage_c_07,C,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T10:24:38.512850Z,icml-evaluation-results/raw_logs/mentor/stage_c/stage_c_07_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,0,0.0,0.50,0.00,1.00,1.50,0.67,0.00,1.83,2.00,1.83,,,,,,,
stage_c_08,C,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T10:30:29.718564Z,icml-evaluation-results/raw_logs/mentor/stage_c/stage_c_08_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,0,0.0,0.50,0.00,0.33,1.33,1.67,0.00,1.17,2.00,1.50,,,,,,,
stage_c_09,C,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T10:35:49.425873Z,icml-evaluation-results/raw_logs/mentor/stage_c/stage_c_09_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,0,0.0,0.50,0.00,0.63,1.37,1.00,0.00,1.17,2.00,1.50,,,,,,,1
stage_c_10,C,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T10:40:36.109646Z,icml-evaluation-results/raw_logs/mentor/stage_c/stage_c_10_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,0,0.0,0.50,0.00,0.67,1.50,1.50,0.00,1.27,2.00,1.69,,,,,,,
stage_c_11,C,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T10:44:41.897516Z,icml-evaluation-results/raw_logs/mentor/stage_c/stage_c_11_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,0,0.0,0.50,0.00,0.33,1.33,1.00,0.00,1.00,2.00,0.83,,,,,,,
stage_c_12,C,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T10:49:54.185609Z,icml-evaluation-results/raw_logs/mentor/stage_c/stage_c_12_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,0,0.0,0.50,0.00,1.00,1.33,1.33,0.00,1.50,2.00,1.83,,,,,,,1
stage_c_13,C,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T10:55:27.520380Z,icml-evaluation-results/raw_logs/mentor/stage_c/stage_c_13_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,0,0.0,0.50,0.00,1.00,1.17,2.00,0.00,1.33,2.00,1.33,,,,,,,
stage_c_14,C,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T11:01:24.667192Z,icml-evaluation-results/raw_logs/mentor/stage_c/stage_c_14_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,0,0.0,0.50,0.00,0.33,1.33,1.33,0.00,1.00,2.00,1.67,,,,,,,1
stage_c_15,C,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T11:05:34.385891Z,icml-evaluation-results/raw_logs/mentor/stage_c/stage_c_15_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,0,0.0,0.50,0.00,0.67,1.50,1.17,0.00,1.33,2.00,1.27,,,,,,,
