prompt_id,stage,annotator,system_id,run_timestamp,response_path,tool_trace_path,tool_routing,citation_validity,fallback_robustness,evidence_integrity,rag_fidelity_score,citation_relevance_score,source_fit_score,actionability_score,clarification_quality_score,citation_quality_score,persona_compliance_score,stage_awareness_score,tone_constructive_score,timeline_guidance,expectation_management,novelty_assessment,evidence_gap_detection,hypothesis_generation,distractor_rejection,experiment_design
stage_d_01,D,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T09:55:32.293846Z,icml-evaluation-results/raw_logs/mentor/stage_d/stage_d_01_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,,0.0,0.67,0.00,1.00,1.17,1.50,0.00,1.67,2.00,1.50,,,,,,,0
stage_d_02,D,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T09:59:27.124355Z,icml-evaluation-results/raw_logs/mentor/stage_d/stage_d_02_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,,0.0,0.50,0.00,1.00,1.33,1.67,0.00,1.17,2.00,1.24,,,,,,,1
stage_d_03,D,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T10:03:24.883177Z,icml-evaluation-results/raw_logs/mentor/stage_d/stage_d_03_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,,0.0,0.50,0.00,0.33,1.50,1.50,0.00,0.83,2.00,0.83,,,,1,,,
stage_d_04,D,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T10:09:06.731350Z,icml-evaluation-results/raw_logs/mentor/stage_d/stage_d_04_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,,0.0,0.50,0.00,0.33,1.50,1.50,0.00,1.17,2.00,1.33,,,,,,,1
stage_d_05,D,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T10:15:19.620138Z,icml-evaluation-results/raw_logs/mentor/stage_d/stage_d_05_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,,0.0,0.67,0.00,1.00,1.50,1.13,0.00,1.17,2.00,1.06,,,,,,,1
stage_d_06,D,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T10:19:07.039802Z,icml-evaluation-results/raw_logs/mentor/stage_d/stage_d_06_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,,0.0,0.50,0.00,0.67,1.50,1.50,0.00,1.00,2.00,1.33,,,,1,,,
stage_d_07,D,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T10:23:38.814948Z,icml-evaluation-results/raw_logs/mentor/stage_d/stage_d_07_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,,0.0,0.50,0.00,0.67,1.33,1.00,0.00,1.25,2.00,1.33,,,,,,,1
stage_d_08,D,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T10:27:05.852336Z,icml-evaluation-results/raw_logs/mentor/stage_d/stage_d_08_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,,0.0,0.50,0.00,0.33,1.33,1.00,0.00,1.67,2.00,1.17,,,,,,,1
stage_d_09,D,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T10:30:44.690229Z,icml-evaluation-results/raw_logs/mentor/stage_d/stage_d_09_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,,0.0,0.50,0.00,1.00,1.50,1.43,0.00,0.83,2.00,1.33,,,,,,,1
stage_d_10,D,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T10:35:04.233669Z,icml-evaluation-results/raw_logs/mentor/stage_d/stage_d_10_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,,0.0,0.50,0.00,0.67,1.33,2.00,0.00,1.17,2.00,1.33,,,,,,,1
stage_d_11,D,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T10:39:28.637941Z,icml-evaluation-results/raw_logs/mentor/stage_d/stage_d_11_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,,0.0,0.50,0.00,0.63,1.33,1.33,0.00,1.17,2.00,1.17,,,,,,,1
stage_d_12,D,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T10:43:11.347896Z,icml-evaluation-results/raw_logs/mentor/stage_d/stage_d_12_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,,0.0,0.50,0.00,0.67,1.33,1.67,0.00,1.00,2.00,1.00,,,,,,,1
stage_d_13,D,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T10:46:51.616280Z,icml-evaluation-results/raw_logs/mentor/stage_d/stage_d_13_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,,0.0,0.50,0.00,0.67,1.50,1.83,0.00,0.83,2.00,1.24,,,,,,,1
stage_d_14,D,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T10:50:32.570907Z,icml-evaluation-results/raw_logs/mentor/stage_d/stage_d_14_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,,0.0,0.50,0.00,0.67,1.33,1.33,0.00,1.17,2.00,1.33,,,,,,,1
stage_d_15,D,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T10:54:15.985633Z,icml-evaluation-results/raw_logs/mentor/stage_d/stage_d_15_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,,0.0,0.50,0.00,0.33,1.33,1.17,0.00,1.00,1.74,0.83,,,,,,,1
