prompt_id,stage,annotator,system_id,run_timestamp,response_path,tool_trace_path,tool_routing,citation_validity,fallback_robustness,evidence_integrity,rag_fidelity_score,citation_relevance_score,source_fit_score,actionability_score,clarification_quality_score,citation_quality_score,persona_compliance_score,stage_awareness_score,tone_constructive_score,timeline_guidance,expectation_management,novelty_assessment,evidence_gap_detection,hypothesis_generation,distractor_rejection,experiment_design
stage_e_01,E,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T09:56:12.941770Z,icml-evaluation-results/raw_logs/mentor/stage_e/stage_e_01_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,,0.0,0.50,0.00,0.00,1.33,0.67,0.00,1.17,1.33,1.50,,1,,1,,,
stage_e_02,E,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T10:00:23.037372Z,icml-evaluation-results/raw_logs/mentor/stage_e/stage_e_02_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,,0.0,0.50,0.00,1.33,1.33,0.67,0.00,1.50,2.00,1.83,,1,,,,,
stage_e_03,E,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T10:04:55.788810Z,icml-evaluation-results/raw_logs/mentor/stage_e/stage_e_03_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,,0.0,0.50,0.00,1.00,1.33,0.74,0.00,1.17,2.00,1.33,,,,1,,,
stage_e_04,E,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T10:08:36.405472Z,icml-evaluation-results/raw_logs/mentor/stage_e/stage_e_04_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,,0.0,0.67,0.00,1.00,1.33,1.00,0.00,1.17,2.00,1.33,,,,,,,1
stage_e_05,E,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T10:14:17.322546Z,icml-evaluation-results/raw_logs/mentor/stage_e/stage_e_05_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,,0.0,0.50,0.00,0.33,1.33,1.17,0.00,1.50,2.00,1.83,,1,,1,,,
stage_e_06,E,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T10:18:50.216994Z,icml-evaluation-results/raw_logs/mentor/stage_e/stage_e_06_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,,0.0,0.50,0.00,0.33,1.33,0.67,0.00,1.00,2.00,1.50,,1,,,,,
stage_e_07,E,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T10:22:33.863058Z,icml-evaluation-results/raw_logs/mentor/stage_e/stage_e_07_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,,0.0,0.50,0.00,0.33,1.17,0.67,0.00,1.00,1.67,2.00,,1,,,,,
stage_e_08,E,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T10:26:20.414552Z,icml-evaluation-results/raw_logs/mentor/stage_e/stage_e_08_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,,0.0,0.50,0.00,0.67,1.33,0.83,0.00,1.17,1.00,1.50,,,,1,,,
stage_e_09,E,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T10:31:14.333512Z,icml-evaluation-results/raw_logs/mentor/stage_e/stage_e_09_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,,0.0,0.50,0.00,0.33,1.33,1.33,0.00,1.33,2.00,1.33,,1,,,,,
stage_e_10,E,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T10:35:45.553948Z,icml-evaluation-results/raw_logs/mentor/stage_e/stage_e_10_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,,0.0,0.50,0.00,0.33,1.50,0.67,0.00,1.00,0.67,1.50,,1,,,,,
stage_e_11,E,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T10:39:58.513931Z,icml-evaluation-results/raw_logs/mentor/stage_e/stage_e_11_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,,0.0,0.50,0.00,0.67,1.17,0.63,0.00,1.50,2.00,1.50,,1,,,,,
stage_e_12,E,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T10:44:14.237619Z,icml-evaluation-results/raw_logs/mentor/stage_e/stage_e_12_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,,0.0,0.50,0.00,0.67,1.33,0.67,0.00,1.50,2.00,1.67,,1,,,,,
stage_e_13,E,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T10:48:49.697159Z,icml-evaluation-results/raw_logs/mentor/stage_e/stage_e_13_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,,0.0,0.50,0.00,0.33,0.67,0.67,0.00,1.00,1.67,1.33,,1,,,,,
stage_e_14,E,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T10:53:28.287583Z,icml-evaluation-results/raw_logs/mentor/stage_e/stage_e_14_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,,0.0,0.50,0.00,0.33,1.33,0.83,0.00,1.00,1.67,1.50,,1,,,,,
stage_e_15,E,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T10:57:22.831941Z,icml-evaluation-results/raw_logs/mentor/stage_e/stage_e_15_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,,0.0,0.50,0.00,1.00,1.50,0.67,0.00,1.00,2.00,1.83,,1,,,,,
