prompt_id,stage,annotator,system_id,run_timestamp,response_path,tool_trace_path,tool_routing,citation_validity,fallback_robustness,evidence_integrity,rag_fidelity_score,citation_relevance_score,source_fit_score,actionability_score,clarification_quality_score,citation_quality_score,persona_compliance_score,stage_awareness_score,tone_constructive_score,timeline_guidance,expectation_management,novelty_assessment,evidence_gap_detection,hypothesis_generation,distractor_rejection,experiment_design
stage_f_01,F,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T09:55:02.701913Z,icml-evaluation-results/raw_logs/mentor/stage_f/stage_f_01_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,,0.0,0.50,0.00,2.00,1.17,1.00,0.00,1.00,2.00,1.19,,,,,,,
stage_f_02,F,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T09:58:30.584820Z,icml-evaluation-results/raw_logs/mentor/stage_f/stage_f_02_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,,0.0,0.50,0.00,0.33,1.06,2.00,0.00,1.17,1.74,1.17,,,,,,,
stage_f_03,F,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T10:02:52.662315Z,icml-evaluation-results/raw_logs/mentor/stage_f/stage_f_03_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,,0.0,0.50,0.00,0.76,1.33,1.33,0.00,1.50,2.00,1.83,,,,,,,
stage_f_04,F,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T10:07:20.836417Z,icml-evaluation-results/raw_logs/mentor/stage_f/stage_f_04_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,,0.0,0.63,0.00,2.00,1.33,1.33,0.00,1.50,2.00,1.50,,,,,,,
stage_f_05,F,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T10:11:07.427400Z,icml-evaluation-results/raw_logs/mentor/stage_f/stage_f_05_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,,0.0,0.67,0.00,1.17,1.33,1.50,0.00,1.50,2.00,1.50,,,,,,,
stage_f_06,F,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T10:15:09.037438Z,icml-evaluation-results/raw_logs/mentor/stage_f/stage_f_06_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,,0.0,0.67,0.00,1.00,1.67,0.83,0.00,1.50,2.00,1.50,,,,,,,
stage_f_07,F,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T10:20:10.059374Z,icml-evaluation-results/raw_logs/mentor/stage_f/stage_f_07_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,,0.0,0.50,0.00,0.33,0.83,0.50,0.00,0.67,2.00,1.33,,1,,,,,
stage_f_08,F,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T10:23:12.441220Z,icml-evaluation-results/raw_logs/mentor/stage_f/stage_f_08_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,,0.0,0.63,0.00,1.67,1.33,1.67,0.00,1.83,2.00,1.67,,,,,,,
stage_f_09,F,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T10:28:26.515598Z,icml-evaluation-results/raw_logs/mentor/stage_f/stage_f_09_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,,0.0,0.50,0.00,0.63,1.50,1.50,0.00,1.17,2.00,1.83,,,,,,,
stage_f_10,F,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T10:33:10.167019Z,icml-evaluation-results/raw_logs/mentor/stage_f/stage_f_10_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,,0.0,0.69,0.00,1.19,1.33,1.00,0.00,1.17,2.00,1.33,,,,,,,
stage_f_11,F,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T10:37:30.779516Z,icml-evaluation-results/raw_logs/mentor/stage_f/stage_f_11_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,,0.0,0.63,0.00,0.67,1.50,1.50,0.00,1.33,2.00,1.33,,,,,,,
stage_f_12,F,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T10:41:14.181672Z,icml-evaluation-results/raw_logs/mentor/stage_f/stage_f_12_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,,0.0,0.67,0.00,0.81,1.50,1.00,0.00,1.83,2.00,1.50,,,,,,,
stage_f_13,F,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T10:45:16.299382Z,icml-evaluation-results/raw_logs/mentor/stage_f/stage_f_13_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,,0.0,0.50,0.00,0.33,1.33,1.33,0.00,1.83,2.00,1.83,,1,,,,,
stage_f_14,F,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T10:48:59.124127Z,icml-evaluation-results/raw_logs/mentor/stage_f/stage_f_14_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,,0.0,0.67,0.00,1.00,1.50,1.33,0.00,1.67,2.00,1.33,,,,,,,
stage_f_15,F,icml_single_turn,openrouter:moonshotai/kimi-k2-thinking,2026-01-23T10:51:56.389953Z,icml-evaluation-results/raw_logs/mentor/stage_f/stage_f_15_openrouter_moonshotai_kimi-k2-thinking.txt,None,0,0,,0.0,0.50,0.00,1.00,1.50,1.67,0.00,1.33,2.00,1.50,,,,,,,
