prompt_id,stage,annotator,system_id,run_timestamp,response_path,tool_trace_path,tool_routing,citation_validity,fallback_robustness,evidence_integrity,rag_fidelity_score,citation_relevance_score,source_fit_score,actionability_score,clarification_quality_score,citation_quality_score,persona_compliance_score,stage_awareness_score,tone_constructive_score,timeline_guidance,expectation_management,novelty_assessment,evidence_gap_detection,hypothesis_generation,distractor_rejection,experiment_design
stage_a_01,A,icml_single_turn,openrouter:anthropic/claude-sonnet-4.5,2026-01-23T11:38:33.630113Z,icml-evaluation-results/raw_logs/sonnet-4.5-baseline/stage_a/stage_a_01_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,0,0.0,0.33,0.00,0.33,0.83,2.00,0.00,2.00,2.00,1.83,,,,,,,
stage_a_02,A,icml_single_turn,openrouter:anthropic/claude-sonnet-4.5,2026-01-23T11:41:57.746608Z,icml-evaluation-results/raw_logs/sonnet-4.5-baseline/stage_a/stage_a_02_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,0,0.5,1.37,2.00,2.00,1.50,1.50,1.67,2.00,2.00,2.00,,,,,,,
stage_a_03,A,icml_single_turn,openrouter:anthropic/claude-sonnet-4.5,2026-01-23T11:45:18.021422Z,icml-evaluation-results/raw_logs/sonnet-4.5-baseline/stage_a/stage_a_03_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,0,0.0,0.50,0.00,2.00,1.50,1.33,0.00,2.00,1.67,2.00,,,,,,,
stage_a_04,A,icml_single_turn,openrouter:anthropic/claude-sonnet-4.5,2026-01-23T11:49:49.432847Z,icml-evaluation-results/raw_logs/sonnet-4.5-baseline/stage_a/stage_a_04_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,0,0.0,0.50,0.00,1.67,1.83,1.67,0.00,2.00,2.00,2.00,,,,,,,
stage_a_05,A,icml_single_turn,openrouter:anthropic/claude-sonnet-4.5,2026-01-23T11:53:51.687925Z,icml-evaluation-results/raw_logs/sonnet-4.5-baseline/stage_a/stage_a_05_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,0,0.0,0.63,0.00,1.17,1.33,2.00,0.00,1.83,2.00,1.83,1,,,,,,
stage_a_06,A,icml_single_turn,openrouter:anthropic/claude-sonnet-4.5,2026-01-23T11:58:53.597826Z,icml-evaluation-results/raw_logs/sonnet-4.5-baseline/stage_a/stage_a_06_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,0,0.0,0.50,0.00,1.83,1.33,2.00,0.00,2.00,2.00,2.00,,1,,,,,
stage_a_07,A,icml_single_turn,openrouter:anthropic/claude-sonnet-4.5,2026-01-23T12:03:48.670484Z,icml-evaluation-results/raw_logs/sonnet-4.5-baseline/stage_a/stage_a_07_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,0,0.0,0.50,0.00,2.00,1.67,1.33,0.00,2.00,2.00,2.00,,,,,,,
stage_a_08,A,icml_single_turn,openrouter:anthropic/claude-sonnet-4.5,2026-01-23T12:08:43.921663Z,icml-evaluation-results/raw_logs/sonnet-4.5-baseline/stage_a/stage_a_08_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,0,0.0,0.50,0.00,1.00,1.67,1.83,0.00,2.00,2.00,2.00,0,,,,,,
stage_a_09,A,icml_single_turn,openrouter:anthropic/claude-sonnet-4.5,2026-01-23T12:12:31.126095Z,icml-evaluation-results/raw_logs/sonnet-4.5-baseline/stage_a/stage_a_09_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,0,0.0,0.50,0.00,1.00,1.67,1.50,0.00,2.00,2.00,2.00,,1,,,,,
stage_a_10,A,icml_single_turn,openrouter:anthropic/claude-sonnet-4.5,2026-01-23T12:17:48.971794Z,icml-evaluation-results/raw_logs/sonnet-4.5-baseline/stage_a/stage_a_10_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,0,0.0,0.50,0.00,1.67,2.00,0.67,0.00,2.00,2.00,2.00,,,,,,,
