prompt_id,stage,annotator,system_id,run_timestamp,response_path,tool_trace_path,tool_routing,citation_validity,fallback_robustness,evidence_integrity,rag_fidelity_score,citation_relevance_score,source_fit_score,actionability_score,clarification_quality_score,citation_quality_score,persona_compliance_score,stage_awareness_score,tone_constructive_score,timeline_guidance,expectation_management,novelty_assessment,evidence_gap_detection,hypothesis_generation,distractor_rejection,experiment_design
stage_b_01,B,icml_single_turn,openrouter:anthropic/claude-sonnet-4.5,2026-01-23T12:24:42.744630Z,icml-evaluation-results/raw_logs/sonnet-4.5-baseline/stage_b/stage_b_01_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,0,0.0,0.63,0.00,0.63,1.00,1.17,0.00,2.00,2.00,1.33,,,0,0,0,1,
stage_b_02,B,icml_single_turn,openrouter:anthropic/claude-sonnet-4.5,2026-01-23T12:29:00.914720Z,icml-evaluation-results/raw_logs/sonnet-4.5-baseline/stage_b/stage_b_02_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,0,0.0,0.50,0.00,1.00,1.67,1.50,0.00,1.67,2.00,1.67,,,1,,0,1,1
stage_b_03,B,icml_single_turn,openrouter:anthropic/claude-sonnet-4.5,2026-01-23T12:34:56.535477Z,icml-evaluation-results/raw_logs/sonnet-4.5-baseline/stage_b/stage_b_03_openrouter-anthropic_claude-sonnet-4.5.txt,None,,0,0,0.0,0.50,0.00,0.33,1.17,1.83,0.00,1.67,2.00,1.33,,1,1,,,,
stage_b_04,B,icml_single_turn,openrouter:anthropic/claude-sonnet-4.5,2026-01-23T12:39:58.797836Z,icml-evaluation-results/raw_logs/sonnet-4.5-baseline/stage_b/stage_b_04_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,0,0.0,0.50,0.00,0.50,1.33,1.83,0.00,1.50,1.00,1.33,,,,,0,,
stage_b_05,B,icml_single_turn,openrouter:anthropic/claude-sonnet-4.5,2026-01-23T12:44:24.729493Z,icml-evaluation-results/raw_logs/sonnet-4.5-baseline/stage_b/stage_b_05_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,0,0.0,0.69,0.00,0.81,0.83,1.83,0.00,0.50,2.00,0.67,,,1,,0,,
stage_b_06,B,icml_single_turn,openrouter:anthropic/claude-sonnet-4.5,2026-01-23T12:48:43.553412Z,icml-evaluation-results/raw_logs/sonnet-4.5-baseline/stage_b/stage_b_06_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,0,0.0,0.50,0.00,0.83,1.00,2.00,0.00,2.00,2.00,1.83,,,1,,,,
stage_b_07,B,icml_single_turn,openrouter:anthropic/claude-sonnet-4.5,2026-01-23T12:54:06.546958Z,icml-evaluation-results/raw_logs/sonnet-4.5-baseline/stage_b/stage_b_07_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,0,0.0,0.50,0.00,0.67,1.33,0.33,0.00,2.00,2.00,2.00,,,1,,,,
stage_b_08,B,icml_single_turn,openrouter:anthropic/claude-sonnet-4.5,2026-01-23T13:00:05.377249Z,icml-evaluation-results/raw_logs/sonnet-4.5-baseline/stage_b/stage_b_08_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,0,0.0,0.50,0.00,0.33,1.33,1.17,0.00,2.00,1.67,2.00,,,1,,0,,
stage_b_09,B,icml_single_turn,openrouter:anthropic/claude-sonnet-4.5,2026-01-23T13:05:39.163578Z,icml-evaluation-results/raw_logs/sonnet-4.5-baseline/stage_b/stage_b_09_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,0,0.0,0.50,0.00,0.33,1.33,0.33,0.00,2.00,1.83,1.33,,1,1,,,,
stage_b_10,B,icml_single_turn,openrouter:anthropic/claude-sonnet-4.5,2026-01-23T13:11:04.753417Z,icml-evaluation-results/raw_logs/sonnet-4.5-baseline/stage_b/stage_b_10_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,0,0.0,0.67,0.00,1.00,0.83,0.00,0.00,1.33,1.83,0.83,,1,1,,,,
stage_b_11,B,icml_single_turn,openrouter:anthropic/claude-sonnet-4.5,2026-01-23T13:16:22.621629Z,icml-evaluation-results/raw_logs/sonnet-4.5-baseline/stage_b/stage_b_11_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,0,0.0,0.50,0.00,0.33,1.50,0.33,0.00,2.00,1.83,2.00,,,1,,,,
stage_b_12,B,icml_single_turn,openrouter:anthropic/claude-sonnet-4.5,2026-01-23T13:20:56.056744Z,icml-evaluation-results/raw_logs/sonnet-4.5-baseline/stage_b/stage_b_12_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,0,0.0,0.50,0.00,0.67,1.33,0.67,0.00,2.00,1.83,1.67,,,1,,0,,
stage_b_13,B,icml_single_turn,openrouter:anthropic/claude-sonnet-4.5,2026-01-23T13:25:43.938542Z,icml-evaluation-results/raw_logs/sonnet-4.5-baseline/stage_b/stage_b_13_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,0,0.0,0.50,0.00,0.67,1.00,0.33,0.00,2.00,2.00,2.00,,1,1,,,,
