prompt_id,stage,annotator,system_id,run_timestamp,response_path,tool_trace_path,tool_routing,citation_validity,fallback_robustness,evidence_integrity,rag_fidelity_score,citation_relevance_score,source_fit_score,actionability_score,clarification_quality_score,citation_quality_score,persona_compliance_score,stage_awareness_score,tone_constructive_score,timeline_guidance,expectation_management,novelty_assessment,evidence_gap_detection,hypothesis_generation,distractor_rejection,experiment_design
stage_c_01,C,icml_single_turn,openrouter:anthropic/claude-sonnet-4.5,2026-01-23T12:33:11.329516Z,icml-evaluation-results/raw_logs/sonnet-4.5-baseline/stage_c/stage_c_01_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,0,0.0,1.17,0.00,1.00,2.00,0.33,0.00,1.17,2.00,1.67,,,,,,,
stage_c_02,C,icml_single_turn,openrouter:anthropic/claude-sonnet-4.5,2026-01-23T12:40:35.537718Z,icml-evaluation-results/raw_logs/sonnet-4.5-baseline/stage_c/stage_c_02_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,0,0.0,0.50,0.00,0.63,1.50,0.00,0.00,1.00,1.67,1.67,,,,,,,1
stage_c_03,C,icml_single_turn,openrouter:anthropic/claude-sonnet-4.5,2026-01-23T12:46:04.296790Z,icml-evaluation-results/raw_logs/sonnet-4.5-baseline/stage_c/stage_c_03_openrouter-anthropic_claude-sonnet-4.5.txt,None,,0,0,0.0,0.67,0.00,1.19,1.67,1.33,0.00,1.83,1.67,1.50,,1,,,,,
stage_c_04,C,icml_single_turn,openrouter:anthropic/claude-sonnet-4.5,2026-01-23T12:50:16.667781Z,icml-evaluation-results/raw_logs/sonnet-4.5-baseline/stage_c/stage_c_04_openrouter-anthropic_claude-sonnet-4.5.txt,None,,0,0,0.0,0.50,0.00,1.19,1.50,0.33,0.00,2.00,2.00,2.00,,,,,,,
stage_c_05,C,icml_single_turn,openrouter:anthropic/claude-sonnet-4.5,2026-01-23T12:54:55.199198Z,icml-evaluation-results/raw_logs/sonnet-4.5-baseline/stage_c/stage_c_05_openrouter-anthropic_claude-sonnet-4.5.txt,None,,0,0,0.0,0.50,0.00,0.83,1.33,1.17,0.00,2.00,2.00,2.00,,,,,,,
stage_c_06,C,icml_single_turn,openrouter:anthropic/claude-sonnet-4.5,2026-01-23T13:00:17.127055Z,icml-evaluation-results/raw_logs/sonnet-4.5-baseline/stage_c/stage_c_06_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,0,0.0,0.17,0.00,0.67,1.67,0.33,0.00,1.17,2.00,1.50,,,,,,,
stage_c_07,C,icml_single_turn,openrouter:anthropic/claude-sonnet-4.5,2026-01-23T13:07:38.468387Z,icml-evaluation-results/raw_logs/sonnet-4.5-baseline/stage_c/stage_c_07_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,0,0.0,0.17,0.00,0.58,1.83,0.33,0.00,1.17,2.00,1.50,,,,,,,
stage_c_08,C,icml_single_turn,openrouter:anthropic/claude-sonnet-4.5,2026-01-23T13:12:57.748170Z,icml-evaluation-results/raw_logs/sonnet-4.5-baseline/stage_c/stage_c_08_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,0,0.0,0.83,0.00,1.00,2.00,0.33,0.00,1.00,2.00,1.67,,,,,,,
stage_c_09,C,icml_single_turn,openrouter:anthropic/claude-sonnet-4.5,2026-01-23T13:19:20.008424Z,icml-evaluation-results/raw_logs/sonnet-4.5-baseline/stage_c/stage_c_09_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,0,0.0,0.83,0.00,0.67,1.83,1.17,0.00,1.50,2.00,1.33,,,,,,,1
stage_c_10,C,icml_single_turn,openrouter:anthropic/claude-sonnet-4.5,2026-01-23T13:25:11.865009Z,icml-evaluation-results/raw_logs/sonnet-4.5-baseline/stage_c/stage_c_10_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,0,0.0,0.50,0.00,1.21,1.50,1.00,0.00,1.00,2.00,1.67,,,,,,,
