prompt_id,stage,annotator,system_id,run_timestamp,response_path,tool_trace_path,tool_routing,citation_validity,fallback_robustness,evidence_integrity,rag_fidelity_score,citation_relevance_score,source_fit_score,actionability_score,clarification_quality_score,citation_quality_score,persona_compliance_score,stage_awareness_score,tone_constructive_score,timeline_guidance,expectation_management,novelty_assessment,evidence_gap_detection,hypothesis_generation,distractor_rejection,experiment_design
stage_d_01,D,icml_single_turn,openrouter:anthropic/claude-sonnet-4.5,2026-01-23T12:14:28.212155Z,icml-evaluation-results/raw_logs/sonnet-4.5-baseline/stage_d/stage_d_01_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,,0.0,0.50,0.00,1.33,0.67,2.00,0.00,2.00,0.67,1.33,,,,,,,0
stage_d_02,D,icml_single_turn,openrouter:anthropic/claude-sonnet-4.5,2026-01-23T12:19:03.539378Z,icml-evaluation-results/raw_logs/sonnet-4.5-baseline/stage_d/stage_d_02_openrouter-anthropic_claude-sonnet-4.5.txt,None,,0,,0.0,0.50,0.00,0.67,1.17,1.83,0.00,2.00,2.00,1.67,,,,,,,1
stage_d_03,D,icml_single_turn,openrouter:anthropic/claude-sonnet-4.5,2026-01-23T12:24:09.304263Z,icml-evaluation-results/raw_logs/sonnet-4.5-baseline/stage_d/stage_d_03_openrouter-anthropic_claude-sonnet-4.5.txt,None,,0,,0.0,0.50,0.00,0.33,2.00,0.83,0.00,1.50,2.00,1.83,,,,1,,,
stage_d_04,D,icml_single_turn,openrouter:anthropic/claude-sonnet-4.5,2026-01-23T12:28:47.260890Z,icml-evaluation-results/raw_logs/sonnet-4.5-baseline/stage_d/stage_d_04_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,,0.0,0.50,0.00,0.33,1.83,1.00,0.00,1.17,2.00,1.50,,,,,,,1
stage_d_05,D,icml_single_turn,openrouter:anthropic/claude-sonnet-4.5,2026-01-23T12:33:22.201334Z,icml-evaluation-results/raw_logs/sonnet-4.5-baseline/stage_d/stage_d_05_openrouter-anthropic_claude-sonnet-4.5.txt,None,,0,,0.0,0.50,0.00,0.33,1.50,0.17,0.00,1.17,2.00,1.33,,,,,,,1
stage_d_06,D,icml_single_turn,openrouter:anthropic/claude-sonnet-4.5,2026-01-23T12:39:10.852276Z,icml-evaluation-results/raw_logs/sonnet-4.5-baseline/stage_d/stage_d_06_openrouter-anthropic_claude-sonnet-4.5.txt,None,,0,,0.0,0.50,0.00,0.50,2.00,0.33,0.00,1.00,2.00,1.33,,,,0,,,
stage_d_07,D,icml_single_turn,openrouter:anthropic/claude-sonnet-4.5,2026-01-23T12:43:10.565962Z,icml-evaluation-results/raw_logs/sonnet-4.5-baseline/stage_d/stage_d_07_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,,0.0,0.50,0.00,0.33,1.50,0.00,0.00,1.00,1.83,1.00,,,,,,,1
stage_d_08,D,icml_single_turn,openrouter:anthropic/claude-sonnet-4.5,2026-01-23T12:47:48.184396Z,icml-evaluation-results/raw_logs/sonnet-4.5-baseline/stage_d/stage_d_08_openrouter-anthropic_claude-sonnet-4.5.txt,None,,0,,0.0,0.50,0.00,0.63,1.83,0.67,0.00,1.00,2.00,1.33,,,,,,,0
stage_d_09,D,icml_single_turn,openrouter:anthropic/claude-sonnet-4.5,2026-01-23T12:53:07.031964Z,icml-evaluation-results/raw_logs/sonnet-4.5-baseline/stage_d/stage_d_09_openrouter-anthropic_claude-sonnet-4.5.txt,None,,0,,0.0,0.50,0.00,1.50,1.67,0.00,0.00,0.67,2.00,1.00,,,,,,,0
stage_d_10,D,icml_single_turn,openrouter:anthropic/claude-sonnet-4.5,2026-01-23T12:57:15.866374Z,icml-evaluation-results/raw_logs/sonnet-4.5-baseline/stage_d/stage_d_10_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,,0.0,0.50,0.00,0.50,1.00,0.00,0.00,0.67,2.00,1.00,,,,,,,0
stage_d_11,D,icml_single_turn,openrouter:anthropic/claude-sonnet-4.5,2026-01-23T13:01:53.244979Z,icml-evaluation-results/raw_logs/sonnet-4.5-baseline/stage_d/stage_d_11_openrouter-anthropic_claude-sonnet-4.5.txt,None,,0,,0.0,0.50,0.00,0.33,1.83,0.00,0.00,0.83,2.00,1.00,,,,,,,1
stage_d_12,D,icml_single_turn,openrouter:anthropic/claude-sonnet-4.5,2026-01-23T13:06:16.833999Z,icml-evaluation-results/raw_logs/sonnet-4.5-baseline/stage_d/stage_d_12_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,,0.0,0.50,0.00,1.00,1.83,0.50,0.00,1.00,1.67,1.50,,,,,,,1
stage_d_13,D,icml_single_turn,openrouter:anthropic/claude-sonnet-4.5,2026-01-23T13:10:29.095753Z,icml-evaluation-results/raw_logs/sonnet-4.5-baseline/stage_d/stage_d_13_openrouter-anthropic_claude-sonnet-4.5.txt,None,,0,,0.0,0.50,0.00,0.33,1.67,0.17,0.00,0.67,1.83,1.17,,,,,,,1
stage_d_14,D,icml_single_turn,openrouter:anthropic/claude-sonnet-4.5,2026-01-23T13:14:47.463764Z,icml-evaluation-results/raw_logs/sonnet-4.5-baseline/stage_d/stage_d_14_openrouter-anthropic_claude-sonnet-4.5.txt,None,,0,,0.0,0.50,0.00,0.67,1.67,0.00,0.00,0.50,2.00,1.00,,,,,,,0
stage_d_15,D,icml_single_turn,openrouter:anthropic/claude-sonnet-4.5,2026-01-23T13:19:17.027727Z,icml-evaluation-results/raw_logs/sonnet-4.5-baseline/stage_d/stage_d_15_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,,0.0,0.33,0.00,0.33,1.67,0.00,0.00,0.50,1.67,1.00,,,,,,,1
