prompt_id,stage,annotator,system_id,run_timestamp,response_path,tool_trace_path,tool_routing,citation_validity,fallback_robustness,evidence_integrity,rag_fidelity_score,citation_relevance_score,source_fit_score,actionability_score,clarification_quality_score,citation_quality_score,persona_compliance_score,stage_awareness_score,tone_constructive_score,timeline_guidance,expectation_management,novelty_assessment,evidence_gap_detection,hypothesis_generation,distractor_rejection,experiment_design
stage_e_01,E,icml_single_turn,openrouter:anthropic/claude-sonnet-4.5,2026-01-23T12:16:23.828404Z,icml-evaluation-results/raw_logs/sonnet-4.5-baseline/stage_e/stage_e_01_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,,0.0,0.50,0.00,0.00,1.33,0.87,0.00,1.83,1.33,1.50,,1,,1,,,
stage_e_02,E,icml_single_turn,openrouter:anthropic/claude-sonnet-4.5,2026-01-23T12:20:56.620022Z,icml-evaluation-results/raw_logs/sonnet-4.5-baseline/stage_e/stage_e_02_openrouter-anthropic_claude-sonnet-4.5.txt,None,,0,,0.0,0.50,0.00,0.67,1.50,0.67,0.00,2.00,2.00,2.00,,1,,,,,
stage_e_03,E,icml_single_turn,openrouter:anthropic/claude-sonnet-4.5,2026-01-23T12:25:09.403473Z,icml-evaluation-results/raw_logs/sonnet-4.5-baseline/stage_e/stage_e_03_openrouter-anthropic_claude-sonnet-4.5.txt,None,,0,,0.0,0.50,0.00,0.33,2.00,0.50,0.00,1.33,2.00,1.67,,,,1,,,
stage_e_04,E,icml_single_turn,openrouter:anthropic/claude-sonnet-4.5,2026-01-23T12:30:12.526458Z,icml-evaluation-results/raw_logs/sonnet-4.5-baseline/stage_e/stage_e_04_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,,0.0,0.17,0.00,0.67,2.00,0.37,0.00,1.17,1.83,1.33,,,,,,,1
stage_e_05,E,icml_single_turn,openrouter:anthropic/claude-sonnet-4.5,2026-01-23T12:34:26.785422Z,icml-evaluation-results/raw_logs/sonnet-4.5-baseline/stage_e/stage_e_05_openrouter-anthropic_claude-sonnet-4.5.txt,None,,0,,0.0,0.50,0.00,1.67,2.00,0.67,0.00,1.33,1.00,1.83,,1,,1,,,
stage_e_06,E,icml_single_turn,openrouter:anthropic/claude-sonnet-4.5,2026-01-23T12:38:35.849416Z,icml-evaluation-results/raw_logs/sonnet-4.5-baseline/stage_e/stage_e_06_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,,0.0,0.33,0.00,0.67,1.67,0.33,0.00,1.33,2.00,1.33,,0,,,,,
stage_e_07,E,icml_single_turn,openrouter:anthropic/claude-sonnet-4.5,2026-01-23T12:42:53.855646Z,icml-evaluation-results/raw_logs/sonnet-4.5-baseline/stage_e/stage_e_07_openrouter-anthropic_claude-sonnet-4.5.txt,None,,0,,0.0,0.17,0.00,2.00,2.00,0.67,0.00,1.00,1.74,2.00,,1,,,,,
stage_e_08,E,icml_single_turn,openrouter:anthropic/claude-sonnet-4.5,2026-01-23T12:48:04.008536Z,icml-evaluation-results/raw_logs/sonnet-4.5-baseline/stage_e/stage_e_08_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,,0.0,0.00,0.00,0.33,2.00,0.67,0.00,1.17,2.00,2.00,,,,0,,,
stage_e_09,E,icml_single_turn,openrouter:anthropic/claude-sonnet-4.5,2026-01-23T12:53:19.427890Z,icml-evaluation-results/raw_logs/sonnet-4.5-baseline/stage_e/stage_e_09_openrouter-anthropic_claude-sonnet-4.5.txt,None,,0,,0.0,0.50,0.00,0.67,1.67,0.33,0.00,1.00,1.33,1.67,,0,,,,,
stage_e_10,E,icml_single_turn,openrouter:anthropic/claude-sonnet-4.5,2026-01-23T12:58:21.507074Z,icml-evaluation-results/raw_logs/sonnet-4.5-baseline/stage_e/stage_e_10_openrouter-anthropic_claude-sonnet-4.5.txt,None,0,0,,0.0,0.17,0.00,1.50,2.00,0.67,0.00,1.00,1.67,1.37,,1,,,,,
stage_e_11,E,icml_single_turn,openrouter:anthropic/claude-sonnet-4.5,2026-01-23T13:03:55.838995Z,icml-evaluation-results/raw_logs/sonnet-4.5-baseline/stage_e/stage_e_11_openrouter-anthropic_claude-sonnet-4.5.txt,None,,0,,0.0,0.33,0.00,0.00,1.83,0.33,0.00,1.17,2.00,1.63,,1,,,,,
